,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الرياض  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الرياض,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
سبتمبر,10563048,4820.1,5,13822641,3995.9900000000002,10,24030236,4462,3,,,,,,,,
اكتوبر,8510000,2820,4,40209250,8022.52,9,33445547,8923.25,9,,,,,,,,
نوفمبر,5900000,3780,6,1344000,310.80999999999995,2,35200000,5485,3,,,,,,,,
ديسمبر,8052536,1652,3,7040000,1291.35,3,23593800,4388.68,5,,,,,,,,
حي/المدينة الصناعية الجديدة,108945764,120054.47,15,328669788,180068.16999999998,8,103813996,224185.2929,46,16395132,25289.690000000002,10,,,,,
يناير,100000,600,1,6711788,31083.17,1,3936800,19684,3,380000,600,1,,,,,
فبراير,10000000,8000,1,,,,2000000,19840,2,5090132,9259.69,3,,,,,
مارس,,,,317413000,137185,3,7000000,12216,1,5745000,7800,4,,,,,
ابريل,10000,600,1,,,,,,,5180000,7630,2,,,,,
مايو,53287364,61766.47,2,4095000,10600,2,,,,,,,,,,,
يونيو,34728400,30688,5,,,,62819696,104420.2929,26,,,,,,,,
يوليو,,,,350000,600,1,2000000,2500,1,,,,,,,,
سبتمبر,7390000,12200,2,,,,,,,,,,,,,,
اكتوبر,840000,600,1,,,,,,,,,,,,,,
نوفمبر,2590000,5600,2,100000,600,1,7400000,35000,9,,,,,,,,
ديسمبر,,,,,,,18657500,30525,4,,,,,,,,
حي/المربع,49596333,15586.34,50,214411543,41500.990000000005,55,56195828,14222.11,26,30726787,13804.795,17,,,,,
يناير,1979511,477.4,2,37068074,3455.18,4,1250000,343.28,2,1901428,692.1800000000001,3,,,,,
فبراير,1325399,713.6299999999999,2,,,,2971500,1726.53,3,2394241,1953.2,4,,,,,
مارس,14824000,4366.22,7,21172373,14135.3,4,13573592,4269.21,2,22812600,9998.4,7,,,,,
ابريل,1226847,512.66,1,11366927,2347.69,3,2000000,300,1,3618518,1161.015,3,,,,,
مايو,4319193,1431.89,7,,,,,,,,,,,,,,
يونيو,,,,,,,9817625,2043.94,6,,,,,,,,
يوليو,3740000,1039.07,4,1200000,1241.21,3,,,,,,,,,,,
اوغسطس,1030308,471,1,1878660,275,1,1506431,769.7,2,,,,,,,,
سبتمبر,2090000,729.4,3,15479125,4360.2,8,21672080,3380.96,4,,,,,,,,
اكتوبر,5490075,1261,3,70380052,10344.310000000003,24,1300000,582.62,3,,,,,,,,
نوفمبر,13571000,4584.07,20,3716332,902.4100000000001,5,820000,164.7,1,,,,,,,,
ديسمبر,,,,52150000,4439.6900000000005,3,1284600,641.1700000000001,2,,,,,,,,
حي/المرسلات,105676707,38340.562,64,119232792,37644.2989,55,115171778,40453.85,70,69455453,21604.25,31,,,,,
يناير,12021912,5224,9,15176432,4551,4,7255300,3018,4,17960250,7044,5,,,,,
فبراير,3110000,562,2,17823908,5334.9997,7,4061150,2009.5,3,16806025,5023,8,,,,,
مارس,9425749,4323,8,2800000,1242.5,3,10716250,3777,7,21002178,6008.75,12,,,,,
ابريل,8749993,4449.142,8,2550000,1765,3,1550000,840,1,13687000,3528.5,6,,,,,
مايو,1650000,1393,3,9059290,3465.1942,7,,,,,,,,,,,
يونيو,2693800,1355,2,3650000,1920,3,25203214,8525.57,15,,,,,,,,
يوليو,5860000,3303.5,6,4572580,1887.635,4,1400000,343.75,1,,,,,,,,
اوغسطس,6190650,2286.1,3,7859800,3606.1800000000003,7,11061000,4237,7,,,,,,,,
سبتمبر,3400000,1865,4,5792592,3171.65,6,4300000,1072.4499999999998,5,,,,,,,,
اكتوبر,5016125,1364,4,4537750,2146.83,5,9720507,4018.4300000000003,9,,,,,,,,
نوفمبر,32316557,8091.82,10,100000,275,1,16974357,5830,10,,,,,,,,
ديسمبر,15241921,4124,5,45310440,8278.310000000001,5,22930000,6782.15,8,,,,,,,,
حي/المرقب,37161600,6939.014999999999,57,30058390,9976.41,38,7878000,2380.0666,23,4369720,9821.385,12,,,,,
يناير,5390000,472.115,6,5685000,1044.69,8,,,,1221120,7514.29,3,,,,,
فبراير,1730000,675.16,8,130000,48.46,1,490000,185.94,2,628600,328.92999999999995,3,,,,,
مارس,2135000,580.65,4,295000,364.44,2,150000,83.22,1,2440000,1882.355,5,,,,,
ابريل,1713280,425.83,4,1527104,547.87,4,,,,80000,95.81,1,,,,,
مايو,14700000,2374.6299999999997,8,,,,100000,50,1,,,,,,,,
يونيو,470000,426.91999999999996,6,170000,167.06,3,575000,318.64,2,,,,,,,,
يوليو,100000,63.095,1,11381286,3721.91,6,300000,107.4,1,,,,,,,,
اوغسطس,1620000,227.87,3,7200000,1300.93,2,300000,168.1,2,,,,,,,,
سبتمبر,857220,527.97,7,405000,1218.92,4,100000,129.99,1,,,,,,,,
اكتوبر,131100,123.03999999999999,2,,,,1303000,578.38,5,,,,,,,,
نوفمبر,4115000,806.575,6,2245000,1203.03,4,3180000,343.5866,4,,,,,,,,
ديسمبر,4200000,235.16,2,1020000,359.1,4,1380000,414.81000000000006,4,,,,,,,,
حي/المروة,59092097,41625.85,71,98359851,68997.37250000001,114,72313257,58377.07000000001,88,46715653,29869.0169,27,,,,,
يناير,2685520,2212.23,7,9965390,7136.01,13,10016591,8390.15,16,11318000,6755.25,6,,,,,
فبراير,7266300,6304.5,7,28384876,18682.24,16,4746423,4039.51,8,20067655,15336.846,8,,,,,
مارس,6655834,4475.73,8,10174859,6478.99,10,2574986,1813.5,3,12989598,5764.7422,10,,,,,
ابريل,9784267,4752.78,10,7059400,5614.650000000001,9,650000,450,1,2340400,2012.1787,3,,,,,
مايو,5820356,4057.42,8,4316374,2722.77,6,,,,,,,,,,,
يونيو,,,,5991592,3406.36,8,24597318,19368.760000000002,9,,,,,,,,
يوليو,3742496,3353.2400000000002,7,6129550,3238.6000000000004,10,2074300,1817.3,6,,,,,,,,
اوغسطس,1700000,1560,2,2748089,1773.21,5,3161500,2552.64,7,,,,,,,,
سبتمبر,12005925,6818.73,9,5640000,6072.689999999999,10,2629948,2195.69,5,,,,,,,,
اكتوبر,1690000,1564.29,2,2746000,1848.6599999999999,5,2780293,1733.19,4,,,,,,,,
نوفمبر,2654404,1876.23,4,7143109,5249.8025,11,5267500,3481.6,7,,,,,,,,
ديسمبر,5086995,4650.7,7,8060612,6773.39,11,13814398,12534.73,22,,,,,,,,
حي/المروج,276652776,56175.619999999995,79,346856669,71732.5038,87,418870771,50655.105299999996,83,85118496,23566.51,56,,,,,
يناير,12250000,5103.65,11,64738566,7265.8738,10,22242600,7237.0603,16,28939649,7023.34,24,,,,,
فبراير,3020000,1015,2,40028363,6912.129999999999,11,15445077,3006.01,6,23124312,6621.02,15,,,,,
مارس,11600800,4126.5,5,21752802,3422,5,6910000,1941,3,13824535,4473.65,10,,,,,
ابريل,13592495,3834.37,7,88693031,11129.16,8,508000,139.41,1,19230000,5448.5,7,,,,,
مايو,65232500,10043.5,9,8731353,3962.625,6,1600000,594,1,,,,,,,,
يونيو,18335650,2771.75,4,4930000,1698,3,18905000,6354.125,7,,,,,,,,
يوليو,15450000,5625,7,21111054,6797.375,11,5850000,1915.14,6,,,,,,,,
اوغسطس,10249996,2178,3,3075000,870,1,7460000,2058,4,,,,,,,,
سبتمبر,11700000,3725,6,14568994,3944.3,7,265998693,7863.5,7,,,,,,,,
اكتوبر,64477707,7936.35,10,6110000,2019.5,4,14974286,4316.75,7,,,,,,,,
نوفمبر,8050000,2400.75,4,19226163,4769.23,9,11909999,4233.5,7,,,,,,,,
ديسمبر,42693628,7415.75,11,53891343,18942.31,12,47067116,10996.609999999999,18,,,,,,,,
حي/المزرعة,950000,607.1,1,1900000,990,1,,,,,,,,,,,
اوغسطس,950000,607.1,1,,,,,,,,,,,,,,
نوفمبر,,,,1900000,990,1,,,,,,,,,,,
حي/المشاعل,448879766,982771.2801000001,26,58312321,76523.16,21,54899014,78785.73,33,115767000,76294.61,12,,,,,
يناير,,,,41863859,55607.020000000004,6,2008500,15142.64,2,80477000,45722.84,6,,,,,
فبراير,,,,371544,3600,2,3019200,3552,4,,,,,,,,
مارس,,,,600000,620,1,2737363,1825,1,33700000,29151.77,4,,,,,
ابريل,370621598,919338.5601000001,5,,,,,,,1590000,1420,2,,,,,
مايو,1550000,4152,5,5007500,6480.1900000000005,5,1383720,1786.78,2,,,,,,,,
يونيو,2700000,1450,2,,,,38390013,30964.64,18,,,,,,,,
يوليو,2155000,3792,5,1000000,1200,1,,,,,,,,,,,
اوغسطس,800000,617.5,1,,,,,,,,,,,,,,
سبتمبر,32156000,16233.4,2,,,,4285000,2420.75,2,,,,,,,,
اكتوبر,800000,600,1,1274418,2716,2,2235218,21493.92,2,,,,,,,,
نوفمبر,1350000,2160,3,250000,738.15,1,100000,800,1,,,,,,,,
ديسمبر,36747168,34427.82,2,7945000,5561.8,3,740000,800,1,,,,,,,,
حي/المشرق,150000,2169,3,559000,3960,7,1930000,9328.61,12,3815000,14398.470000000001,16,,,,,
يناير,,,,,,,,,,1405000,5543.6,6,,,,,
فبراير,,,,,,,,,,1475000,5905.8,7,,,,,
مارس,,,,50000,420,1,,,,465000,899.07,2,,,,,
ابريل,,,,,,,,,,470000,2050,1,,,,,
يونيو,,,,,,,25000,1020,2,,,,,,,,
يوليو,,,,99000,450,1,,,,,,,,,,,
سبتمبر,,,,135000,1350,3,,,,,,,,,,,
اكتوبر,60000,900,1,275000,1740,2,,,,,,,,,,,
نوفمبر,,,,,,,320000,1799.0700000000002,4,,,,,,,,
ديسمبر,90000,1269,2,,,,1585000,6509.540000000001,6,,,,,,,,
حي/المصانع,222457099,167533.89250000007,29,216575875,347223.37600000005,68,107552927,147341.927,46,168102695,161452.808,80,,,,,
يناير,300000,2450,2,,,,35901556,53019.009,8,43238600,48711.863999999994,19,,,,,
فبراير,669482,960.63,2,21490813,36444.134000000005,7,,,,42564716,29192.665999999997,18,,,,,
مارس,199384633,136519.74750000003,11,18806776,33450.068,3,1174900,1746,2,43601511,45906.111000000004,18,,,,,
ابريل,3320000,1500,2,28138191,44147.227,7,,,,38697868,37642.166999999994,25,,,,,
مايو,,,,9456976,14089.289,10,,,,,,,,,,,
يونيو,9500000,7700,2,2373000,9066.869999999999,3,14635510,19649.01,10,,,,,,,,
يوليو,700000,12311.23,3,24070536,39082.191999999995,12,,,,,,,,,,,
اوغسطس,312500,737.2,1,13910877,23596.157,3,2365980,2664.17,3,,,,,,,,
سبتمبر,1400000,750,1,53037724,69999.784,5,10163825,6914.37,3,,,,,,,,
اكتوبر,5635250,4086.545,3,11182560,20656.582000000002,6,4150000,10987.5,4,,,,,,,,
نوفمبر,,,,21565370,41086.073000000004,8,2425137,1577,3,,,,,,,,
ديسمبر,1235234,518.54,2,12543052,15605,4,36736019,50784.868,13,,,,,,,,
حي/المصفاة,872794583,1430504.8450000002,304,391046746,654056.5899999999,250,431465696,772599.2309999998,292,231519698,323232.24,122,,,,,
يناير,6800000,33938.71,7,44695241,83754.73000000001,39,113075280,206052.93999999997,37,138871884,140346.065,41,,,,,
فبراير,375000,2995.9300000000003,5,7705000,19632.100000000002,17,30953886,56062.530000000006,24,11141477,20291.49,25,,,,,
مارس,1310800,1799.6999999999998,3,8451555,20025.895000000004,25,2046038,6693.834999999999,11,47499275,106017.42999999998,29,,,,,
ابريل,1054000,4138.55,7,4064806,16586.789999999997,23,,,,34007062,56577.255,27,,,,,
مايو,214030599,285015.76,36,9073068,19612.960000000006,17,,,,,,,,,,,
يونيو,53257735,57033.024999999994,16,6343210,12174.16,6,115688323,188705.80499999996,62,,,,,,,,
يوليو,88697675,181168.655,42,62453152,70196.76500000001,21,12203588,20209.996000000003,25,,,,,,,,
اوغسطس,103445502,199698.18999999997,31,7904395,14962.19,10,23755684,52054.64,20,,,,,,,,
سبتمبر,91079821,160122,36,22233565,36652.575000000004,17,12207192,27414.46,14,,,,,,,,
اكتوبر,102883034,113554.56500000002,21,91738648,150537.24,29,24273350,45412.82,24,,,,,,,,
نوفمبر,82722790,148940.30000000005,33,107419088,174917.33,30,44261156,88455.10999999999,46,,,,,,,,
ديسمبر,127137627,242099.45999999996,67,18965018,35003.855,16,53001199,81537.095,29,,,,,,,,
حي/المصيف,105543717,44644.615,97,141585534,50692.67999999999,75,183166150,56693.733199999995,87,101108079,32524.86,52,,,,,
يناير,9381517,3823,9,10200000,4673.18,7,43575392,8534.92,9,21129588,8187.93,13,,,,,
فبراير,9110735,4697.360000000001,8,14922000,9710.5,10,7340000,4357.5,8,25453000,9682.84,12,,,,,
مارس,6999020,2653,6,3955000,2056.5,4,11390000,5168.75,9,19921491,6985.05,15,,,,,
ابريل,4070277,2923,4,5390000,3923,6,4290000,1932.5,4,34604000,7669.04,12,,,,,
مايو,12369000,4881.849999999999,13,7208844,3257.92,8,14275300,2500.6800000000003,3,,,,,,,,
يونيو,4825000,2494,5,2888750,1552,4,18238850,5875.49,12,,,,,,,,
يوليو,14128750,3546.035,8,30052000,3616.56,3,22637630,6342,10,,,,,,,,
اوغسطس,8645000,2912.67,8,6147400,2791.25,5,19552207,5100.66,5,,,,,,,,
سبتمبر,4155000,3138.67,6,4840000,1835.39,6,8059636,3054.7200000000003,7,,,,,,,,
اكتوبر,18274775,8045.360000000001,17,14572300,5675.97,6,12545000,3118.02,5,,,,,,,,
نوفمبر,6520000,2726.67,7,29344572,5930,6,14192135,6810.9932,10,,,,,,,,
ديسمبر,7064643,2803,6,12064668,5670.41,10,7070000,3897.5,5,,,,,,,,
حي/المعارض,,,,670000,330,1,,,,,,,,,,,
اكتوبر,,,,670000,330,1,,,,,,,,,,,
حي/المعذر,192302918,90878.44200000001,58,164292204,41307.92,56,427041125,130529.1028,102,119740500,36272.07,33,,,,,
يناير,41000000,35150.9,4,57007296,5396.08,9,40415000,14805,12,20303000,6574.25,5,,,,,
فبراير,5775000,1905,4,6350000,2837.5,2,46250000,4966.1,7,16675000,4066.04,8,,,,,
مارس,8155000,3612.2799999999997,6,8549996,2765,6,19267000,7950,3,22912500,5955,11,,,,,
ابريل,14696074,5289.23,9,13274880,3294.5,6,910000,337.5,1,59850000,19676.78,9,,,,,
مايو,7090971,1961.35,5,213000,150,1,2160000,965.2,2,,,,,,,,
يونيو,42740000,17828.28,4,1600000,345,1,180410117,57950.85,24,,,,,,,,
يوليو,14892772,3425.51,7,24007000,9950,6,4950000,1654.6728,5,,,,,,,,
اوغسطس,2600000,1005,2,8559232,1998.5900000000001,3,7226837,3133.2,7,,,,,,,,
سبتمبر,10783101,5341.63,5,4350000,1739.4,2,15985623,5405,8,,,,,,,,
اكتوبر,37700000,13202.952000000001,5,11675800,3096.4700000000003,8,20342591,4619.1900000000005,5,,,,,,,,
نوفمبر,4200000,1356.31,4,7050000,2154.7799999999997,5,53798958,20443.309999999998,12,,,,,,,,
ديسمبر,2670000,800,3,21655000,7580.6,7,35324999,8299.08,16,,,,,,,,
حي/المعيزلية,105306883,87791.53,155,232783045,165876.79499999998,270,163569588,101906.486,166,77726471,46110.61,73,,,,,
يناير,3438000,1513.37,4,22366978,16881.3,33,18237617,10933.39,20,22251456,15920.590000000002,26,,,,,
فبراير,8939600,6652.85,10,15214700,12494.71,22,18662160,13498.63,18,25234782,14528.75,18,,,,,
مارس,5129775,3695.76,8,15169584,9582.62,20,15192075,7444.87,15,15385355,8586.869999999999,15,,,,,
ابريل,10970208,9321.130000000001,19,19495558,16772.775,21,3095000,1568.6,3,14854878,7074.4,14,,,,,
مايو,10195625,9728.330000000002,15,12541082,10886.015,15,1200000,521,2,,,,,,,,
يونيو,1326050,1156.5,2,9708800,7327.139999999999,13,28810352,17799.011,21,,,,,,,,
يوليو,5670975,6288.5,11,26216509,19175.31,30,10298585,7622.88,11,,,,,,,,
اوغسطس,1782000,1980,3,14197334,9216.4,17,10559743,7563.18,11,,,,,,,,
سبتمبر,10612672,7946,14,35541485,23374.78,34,7569965,5219.535,11,,,,,,,,
اكتوبر,13935305,12913.42,21,24359909,17310.24,27,13074532,6916.530000000001,13,,,,,,,,
نوفمبر,13957625,10057.35,20,23784956,12085.759999999998,20,25085825,15458.539999999999,25,,,,,,,,
ديسمبر,19349048,16538.32,28,14186150,10769.744999999999,18,11783734,7360.32,16,,,,,,,,
حي/المغرزات,63493755,20663.76,55,315376359,66061.2045,84,335467631,120996.1821,112,98157724,22791.02,35,,,,,
يناير,7000000,1237.83,2,6939000,2257.45,9,27316181,7146.7699999999995,6,22930948,6927.5,14,,,,,
فبراير,3075000,2010,3,17261413,6097.76,13,11673671,3883.2200000000003,11,38670108,6838.39,8,,,,,
مارس,1518700,507.5,2,17480000,6543.75,5,53515142,16129.109999999999,5,15751668,4320.85,7,,,,,
ابريل,7209165,3055,6,14582700,4522.97,19,3640000,797.85,4,20805000,4704.28,6,,,,,
مايو,10768010,3589.6200000000003,12,27352940,7260.94,8,,,,,,,,,,,
يونيو,3440000,851.35,5,1407250,473.37,2,71584240,20614.969999999998,40,,,,,,,,
يوليو,829526,312.5,1,23963918,8157.5,7,8741000,2408.4,9,,,,,,,,
اوغسطس,3100000,1092.5,2,13700000,1162.7875,2,14071968,4569.110000000001,6,,,,,,,,
سبتمبر,6053799,2422.86,6,3415520,1381,3,15519091,4202.37,18,,,,,,,,
اكتوبر,10625000,2460.52,5,9075000,2989.08,5,8248575,2406.4921,5,,,,,,,,
نوفمبر,2367000,766.71,5,23448000,5616.9400000000005,5,115188763,57081,5,,,,,,,,
ديسمبر,7507555,2357.37,6,156750618,19597.657,6,5969000,1756.8899999999999,3,,,,,,,,
حي/الملز,158819147,67149.3196,112,144851805,78090.87,126,204017030,81027.5598,144,314618625,145833.47,71,,,,,
يناير,2140000,1542.9,5,14977266,12311.89,12,7211750,5522.25,8,51075000,16506.3,18,,,,,
فبراير,39016584,13037.349999999999,16,3155631,2589.1800000000003,6,19522509,6088.95,9,31862375,16596.79,15,,,,,
مارس,22118555,7917.91,13,15856915,8818.97,16,12352000,3245.41,7,167631750,85983.19,20,,,,,
ابريل,15588796,4662.85,7,9995000,4056.2799999999997,8,910000,506.25,1,64049500,26747.190000000002,18,,,,,
مايو,16613000,3956,8,15985500,6176.6,11,10095135,4019.1099999999997,8,,,,,,,,
يونيو,9103870,6747.601,13,7754950,5545.48,8,63787425,24031.305000000004,30,,,,,,,,
يوليو,10223884,7593.5,7,21240956,13356.84,15,5250173,3475.45,7,,,,,,,,
اوغسطس,4119272,2553.58,6,2783000,1822.75,4,5360000,2575.4298000000003,6,,,,,,,,
سبتمبر,6279436,3274.9100000000003,7,4641493,3240.87,7,23448173,10588.995,19,,,,,,,,
اكتوبر,7836000,4011.1499999999996,8,26242650,9928.12,18,10095600,6872.44,13,,,,,,,,
نوفمبر,17731250,5720.45,9,9510350,5363.71,11,33604265,10139.550000000001,26,,,,,,,,
ديسمبر,8048500,6131.1186,13,12708094,4880.18,10,12380000,3962.42,10,,,,,,,,
حي/الملقا,3127918066,1182014.572,1173,7491944556,4247090.327999998,1425,6723893884,6159757.3296,1268,2066465412,406536.67559999996,522,,,,,
يناير,116506926,51661.5112,46,735300711,225144.77499999997,126,142352756,36279.56000000001,73,301411946,59872.11879999998,117,,,,,
فبراير,510383424,192470.13,84,592132935,207773.19,182,356626944,80524.8181,85,658540520,113066.19579999993,217,,,,,
مارس,192278560,70765.37,111,2056726158,2477884.249999998,185,182386638,47062.024,48,519301874,114305.16100000002,115,,,,,
ابريل,208495126,87538.22400000003,117,660275802,199720.992,168,61277643,13179.585000000001,27,587211072,119293.20000000001,73,,,,,
مايو,216372705,68017.91500000001,106,525448511,158196.91799999998,111,45039263,10707.11,34,,,,,,,,
يونيو,359634994,52691.07,29,304787803,105875.79,65,2221341269,956790.0889999991,321,,,,,,,,
يوليو,283000777,106276.56,99,493935914,169831.39299999998,142,134977856,36502.601,83,,,,,,,,
اوغسطس,85142507,47759.799999999996,41,109287675,41081.64000000001,47,273462402,70539.315,68,,,,,,,,
سبتمبر,213248883,96749.04749999999,99,774099985,281163.57,104,479272726,108360.421,93,,,,,,,,
اكتوبر,214561749,73661.82500000003,124,378937974,124561.28999999998,109,1734175117,4508817.45,76,,,,,,,,
نوفمبر,296333101,124249.63430000003,153,437760143,133740.69,91,421903804,116671.27500000005,182,,,,,,,,
ديسمبر,431959314,210173.485,164,423250945,122115.83000000006,95,671077466,174323.08150000003,178,,,,,,,,
حي/الملك عبد الله,140606858,54302.276,114,359758048,124237.966,151,339870767,87166.82250000002,141,68655466,19313.732000000004,26,,,,,
يناير,10824640,3663.71,10,31618717,8737.862000000001,12,37712426,14526.36,21,4691079,1305.11,3,,,,,
فبراير,10301809,3213.612,9,36180935,17002.724,28,13182644,4662.502,11,10380115,2920.7219999999998,4,,,,,
مارس,26765359,8989.849999999999,10,18802778,5176.3820000000005,11,9561060,2990.6,7,6311520,1920.18,4,,,,,
ابريل,14327426,5486.774,16,25023055,16433.56,10,850000,369.25,1,47272752,13167.720000000001,15,,,,,
مايو,13927886,5960.072,12,40873514,18985.652,17,10330791,3635.2900000000004,8,,,,,,,,
يونيو,858102,408.62,1,10141582,9872.52,7,209200420,41190.38800000001,52,,,,,,,,
يوليو,4279087,1150.5,3,17980067,6509.429999999999,12,4550000,1410.2805,3,,,,,,,,
اوغسطس,11241673,4302.17,9,29095490,11193.442,15,16879590,7008.246,5,,,,,,,,
سبتمبر,10592061,4412.49,9,12147703,4810.052,10,8018163,2608.5119999999997,8,,,,,,,,
اكتوبر,14249548,4388.492,11,22712407,4438.352,9,11028830,4000.9240000000004,9,,,,,,,,
نوفمبر,12444513,6246.544000000001,15,18721160,5902.08,12,6741443,1947.3,8,,,,,,,,
ديسمبر,10794754,6079.442,9,96460640,15175.909999999998,8,11815400,2817.17,8,,,,,,,,
حي/الملك عبدالعزيز,197156302,46376.3,29,179582191,42546.71,28,49396856,14700.349999999999,29,34907117,7941.620000000001,10,,,,,
يناير,3484165,1561.5,3,5900000,2009.18,4,3264000,1438,2,3000000,478,1,,,,,
فبراير,6628013,2157.5,3,3500000,882.5,2,2629000,478,1,1567984,450,1,,,,,
مارس,5819700,2136.79,5,5251000,1344.5,3,2250000,900,1,3410633,1387.65,3,,,,,
ابريل,1890000,427.73,1,1304778,1099.37,2,,,,26928500,5625.97,5,,,,,
مايو,6658152,2446.36,5,5710417,1622.22,2,2730000,921.29,2,,,,,,,,
يونيو,,,,,,,13962855,3394.98,6,,,,,,,,
يوليو,,,,144012500,30265,2,3924375,1195.9,3,,,,,,,,
اوغسطس,1000000,239.46,1,360000,323.18,2,1980000,426.67,1,,,,,,,,
سبتمبر,3100000,870.3399999999999,2,3510577,1346.82,3,2839737,1145.33,2,,,,,,,,
اكتوبر,23263200,5093.57,4,589583,1052.91,2,3600000,700,1,,,,,,,,
نوفمبر,2200000,412.55,1,6693336,2163.5299999999997,5,5973089,2017.14,5,,,,,,,,
ديسمبر,143113072,31030.5,4,2750000,437.5,1,6243800,2083.04,5,,,,,,,,
حي/الملك فهد,102947315,39564.56999999999,69,213808166,43780.105,79,162264647,65622.49,99,45756452,14894.57,32,,,,,
يناير,15169993,4365.25,8,136224009,15530.93,18,10740000,3645,5,2200000,835.97,2,,,,,
فبراير,3130000,1347.6,3,5280000,1853.62,6,14405000,7086,9,17166758,6248.1,12,,,,,
مارس,12838559,3837.18,9,8737766,3439.25,9,9914350,4784,9,13371804,4179.5,9,,,,,
ابريل,5201657,2506,4,9915000,5425,9,2000000,810,1,13017890,3631,9,,,,,
مايو,4240500,1710,4,4450000,1899.625,4,1050000,362.5,1,,,,,,,,
يونيو,4500000,887.5,1,5620542,2133.59,6,22391100,11884,24,,,,,,,,
يوليو,15000000,4536.82,5,5400000,2247.5,4,11195000,5345,9,,,,,,,,
اوغسطس,5448043,2578.59,6,,,,5401228,1960,3,,,,,,,,
سبتمبر,5150000,2838.0299999999997,6,2076849,1230,2,17741968,9245,12,,,,,,,,
اكتوبر,10161147,3394.35,6,10004000,2323.5899999999997,7,34516000,12057.800000000001,8,,,,,,,,
نوفمبر,3200000,1193,3,16175000,4125,7,21150000,5006.6,12,,,,,,,,
ديسمبر,18907416,10370.25,14,9925000,3572,7,11760001,3436.59,6,,,,,,,,
حي/الملك فيصل,718268605,199831.8925,99,117718780,67536.1,111,132320453,65357.56,110,52961139,25031.24,39,,,,,
يناير,621330392,152274.61,14,15455543,8947.9,15,13942000,6823.78,13,13783475,6752.1,12,,,,,
فبراير,8244525,4234.5625,9,9463843,6682.68,11,22168842,10237.220000000001,16,18980981,8235.130000000001,13,,,,,
مارس,6125000,3709.59,8,16421745,9877.59,15,7940000,3305.7200000000003,6,14506683,7770,10,,,,,
ابريل,10668812,3727.08,8,7405829,5736.25,8,4731180,2331.14,4,5690000,2274.01,4,,,,,
مايو,10851296,5810.8099999999995,10,5400000,2646.25,5,2270000,1288.04,3,,,,,,,,
يونيو,2500000,2361,3,4491400,4190,8,24296589,11435.24,18,,,,,,,,
يوليو,11787716,4928.87,11,23304267,10472,11,4450000,3557.5,4,,,,,,,,
اوغسطس,2700000,1787.5,4,3650000,2245,4,2621600,1750,3,,,,,,,,
سبتمبر,20688162,4525,6,7020000,4399.84,8,5388378,3102.6400000000003,7,,,,,,,,
اكتوبر,3100000,1350,2,13149000,6410.87,14,11432000,6820,9,,,,,,,,
نوفمبر,4314776,3972.8,7,8214653,3993.7099999999996,8,10946780,7980.43,15,,,,,,,,
ديسمبر,15957926,11150.07,17,3742500,1934.01,4,22133084,6725.85,12,,,,,,,,
حي/المليحية,1850000,1217,2,735000,525,1,4815000,2586,4,1162641,625,1,,,,,
يناير,,,,,,,,,,1162641,625,1,,,,,
فبراير,,,,,,,800000,546,1,,,,,,,,
ابريل,1850000,1217,2,735000,525,1,1705000,750,1,,,,,,,,
مايو,,,,,,,1000000,750,1,,,,,,,,
اكتوبر,,,,,,,1310000,540,1,,,,,,,,
حي/المناخ,46954444,71194.31,63,74815505,110924.26,91,67763257,107750.57199999999,106,21347000,22751.16,46,,,,,
يناير,550000,865.23,2,1800500,2213.56,2,6655000,7226.07,6,3265000,6070,11,,,,,
فبراير,,,,9757750,17952.54,9,5995987,10329.9,14,10245000,9281.02,16,,,,,
مارس,1530000,4142.33,8,1185000,1330.78,5,20140000,36856.24,11,5822000,5405.08,14,,,,,
ابريل,2884500,5124.66,13,4115000,5646.93,15,,,,2015000,1995.06,5,,,,,
مايو,6490000,7889.09,8,8991770,25156.13,10,1497250,2326.94,3,,,,,,,,
يونيو,375000,312.5,1,8803511,17711.61,9,13212604,24065.89,16,,,,,,,,
يوليو,1215000,2633.79,8,1943177,3106.04,7,1240400,2575.312,6,,,,,,,,
اوغسطس,11860000,6709.92,5,390000,798.2,2,2905930,5089.31,9,,,,,,,,
سبتمبر,2057000,4112.62,7,6785344,10992.24,4,3313562,4358.06,12,,,,,,,,
اكتوبر,570000,791.6800000000001,2,10637137,8334.05,15,4389350,4855.77,9,,,,,,,,
نوفمبر,845000,762.34,3,18218816,15307.18,4,5745000,6941.18,10,,,,,,,,
ديسمبر,18577944,37850.15,6,2187500,2375,9,2668174,3125.9,10,,,,,,,,
حي/المنار,73539196,27289.505000000005,64,86204339,43893.99,107,222036665,47026.79,71,46016314,18086.05,29,,,,,
