,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الرياض  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الرياض,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
سبتمبر,4620438,3246,6,21693800,10815.5,14,1485226,425,1,,,,,,,,
اكتوبر,5718021,4794.37,8,31312475,18847.95,26,,,,,,,,,,,
نوفمبر,8487020,7837.5,11,30004970,14563,9,,,,,,,,,,,
ديسمبر,13148350,9940,14,55696869,31732,24,4453509,2975,3,,,,,,,,
حي/الامير مشعل,525107,550,1,,,,,,,,,,,,,,
مايو,525107,550,1,,,,,,,,,,,,,,
حي/الاندلس,137749670,59354.82999999999,125,147287496,80145.07,164,149868500,72831.26500000001,133,82435428,37355.020000000004,38,,,,,
يناير,3822555,1704.96,5,21527662,11304,24,17111829,8283.8,17,6394600,3192.1,6,,,,,
فبراير,5908336,2517.5,5,17864097,8460.3,21,19838340,9609.49,15,40135500,19836.55,18,,,,,
مارس,3093535,1887.29,4,16530865,9289.210000000001,20,15083399,8139.97,13,33666328,12776.37,11,,,,,
ابريل,11639989,5177.37,12,13594090,7466.5599999999995,14,725000,150.3,1,2239000,1550,3,,,,,
مايو,12167929,5779.15,9,9163659,5845,9,5718561,2162.5,5,,,,,,,,
يونيو,3346588,1903.8,5,1807029,880,2,41153381,20119.255,36,,,,,,,,
يوليو,37606630,13835.77,21,10704478,5307.91,12,4553592,2181.13,5,,,,,,,,
اوغسطس,4497475,2943.08,7,13727750,7276,14,12248658,6113.19,9,,,,,,,,
سبتمبر,13339523,6115.7699999999995,16,8369900,6285.75,10,5056900,2305,4,,,,,,,,
اكتوبر,22288801,10035.189999999999,22,10249989,4411.28,12,10970234,4849.83,10,,,,,,,,
نوفمبر,4380713,2242.5,6,13544875,8490.41,14,10771106,6423.049999999999,13,,,,,,,,
ديسمبر,15657596,5212.45,13,10203102,5128.65,12,6637500,2493.75,5,,,,,,,,
حي/البديعة,175344933,133295.86360000004,256,295792203,207092.46139999997,283,215739983,134369.4325,255,85400265,62399.76,94,,,,,
يناير,8585000,7010.57,14,9858599,9999.89,22,14723032,9176.57,21,19218058,15414.2,27,,,,,
فبراير,16794375,8938.97,21,18795244,12395.52,28,12684052,7969.31,19,22026817,18298.18,23,,,,,
مارس,16521125,14822.13,24,19292619,15754.141,30,15349937,11683.65,20,37665390,23999.88,36,,,,,
ابريل,15477250,11833.61,22,17560340,11130.474999999999,25,7947700,4685.530000000001,9,6490000,4687.5,8,,,,,
مايو,16768926,12075.74,27,10891258,8235.260400000001,20,4297500,2539.5,6,,,,,,,,
يونيو,5629587,2725,6,4604250,3120.5,6,35063575,25417.010000000002,56,,,,,,,,
يوليو,27634600,21819.05,30,14071202,8459.96,18,51424094,21325.050000000003,26,,,,,,,,
اوغسطس,5471102,3495.895,8,11666048,6183.46,15,5364665,5290.61,12,,,,,,,,
سبتمبر,16497684,12863.044600000001,32,120375934,78873.95000000001,40,17682100,12316.58,22,,,,,,,,
