,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الدمام  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الدمام,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
حي/احد,118965595,62237.31,136,144466196,69143.625,148,78526733,51401.630000000005,107,50096508,33491.340000000004,67,,,,,
يناير,12151008,6223.03,13,29684596,9995.79,21,8191195,3526.12,8,10943877,6639.950000000001,14,,,,,
فبراير,13700621,6471.11,15,8863202,5054.8099999999995,12,8346280,5349.03,13,12261262,7780.7300000000005,18,,,,,
مارس,7169654,4141.71,10,10933155,6441.095,14,9184286,7564.8099999999995,14,16589489,13062.880000000003,23,,,,,
ابريل,8555804,5360.19,13,9038876,4525.969999999999,10,4472000,2452.26,6,10301880,6007.780000000001,12,,,,,
مايو,4796431,2566.02,8,21024911,7205.139999999999,13,5084180,1893.36,5,,,,,,,,
يونيو,550000,268.13,1,3486869,3521.4900000000002,8,11116553,5690.29,12,,,,,,,,
يوليو,13163283,4484.209999999999,9,12763335,6139.66,15,5364978,4001.8300000000004,10,,,,,,,,
اوغسطس,9968403,5935.789999999999,16,2795798,3364.7000000000003,6,5306600,6674.1,9,,,,,,,,
سبتمبر,9343105,7218.25,15,9849453,5669.9,14,6076095,3955.01,9,,,,,,,,
اكتوبر,27789006,11588.34,19,15449654,8043.99,17,4589250,2510.73,4,,,,,,,,
نوفمبر,5079444,2654.6800000000003,7,11343000,5648.82,10,3676000,2250,5,,,,,,,,
ديسمبر,6698836,5325.85,10,9233347,3532.2599999999993,8,7119316,5534.09,12,,,,,,,,
حي/احد تجارى,,,,5348000,2083.7,2,2450000,1204.9,1,,,,,,,,
سبتمبر,,,,3000000,878.8,1,,,,,,,,,,,
اكتوبر,,,,,,,2450000,1204.9,1,,,,,,,,
نوفمبر,,,,2348000,1204.9,1,,,,,,,,,,,
حي/الأنوار,187713153,59590.2742,25,43556436,68197.04,6,,,,1625000,2500,1,,,,,
يناير,124046600,18892.29,5,,,,,,,,,,,,,,
فبراير,,,,10801614,18002.69,1,,,,,,,,,,,
مارس,15881000,8624.66,4,7990048,12531.33,2,,,,1625000,2500,1,,,,,
ابريل,,,,3244945,2949.95,1,,,,,,,,,,,
اكتوبر,4741114,4610.9042,6,,,,,,,,,,,,,,
ديسمبر,43044439,27462.42,10,21519829,34713.07,2,,,,,,,,,,,
حي/الاتصالات,9620969,5696.82,13,14915154,8965,20,6810000,5015.639999999999,13,15626817,6714,12,,,,,
يناير,1650000,400,1,3050000,1612.5,4,1850000,1275,3,5155025,2820.5,6,,,,,
فبراير,732000,400,1,3898255,2342,4,,,,2200000,970.5,2,,,,,
مارس,,,,,,,900000,203.64,1,5171792,2473,3,,,,,
ابريل,1628500,800,2,,,,,,,3100000,450,1,,,,,
مايو,,,,1480000,1250,3,,,,,,,,,,,
يونيو,500000,425,1,,,,2870000,1845,5,,,,,,,,
يوليو,,,,1000000,415,1,,,,,,,,,,,
اوغسطس,200000,400,1,,,,,,,,,,,,,,
سبتمبر,2530000,1546.8200000000002,3,1475000,850,2,600000,400,1,,,,,,,,
اكتوبر,,,,1530378,800,2,,,,,,,,,,,
نوفمبر,2380469,1725,4,877021,850,2,,,,,,,,,,,
ديسمبر,,,,1604500,845.5,2,590000,1292,3,,,,,,,,
حي/الاثير,80910000,44844.06,15,28387256,52615.49,8,37065590,16372.62,20,3710500,2400.93,3,,,,,
يناير,75160000,38618.72,5,2145833,1000,1,,,,1178500,982.87,1,,,,,
فبراير,2080000,1000,3,8500000,1916.71,1,,,,600000,492,1,,,,,
مارس,1000000,963.75,1,500000,474.2,1,350000,1290.5,1,1932000,926.06,1,,,,,
ابريل,,,,360000,600,1,,,,,,,,,,,
مايو,1200000,871.09,1,,,,2292782,881.27,1,,,,,,,,
يونيو,,,,,,,12509478,6101.389999999999,7,,,,,,,,
يوليو,320000,1500,3,,,,5000000,1000,2,,,,,,,,
سبتمبر,850000,600,1,,,,,,,,,,,,,,
اكتوبر,,,,1875000,23309.01,1,6957330,3309.35,5,,,,,,,,
نوفمبر,300000,1290.5,1,13106423,24015.32,2,5320000,1850,2,,,,,,,,
ديسمبر,,,,1900000,1300.25,1,4636000,1940.1100000000001,2,,,,,,,,
حي/الاسكان,30920544,31602.29,123,23284000,23935.12,93,16470775,17753.2,69,2596000,3086.69,12,,,,,
يناير,3050000,3096.04,12,3426000,3589.2799999999997,14,3738000,3861.5100000000007,15,,,,,,,,
فبراير,2665000,2552.7800000000007,10,4290000,4379.01,17,3165000,3363.74,13,650000,1020.89,4,,,,,
مارس,1540000,1537.7599999999998,6,4145000,4136.540000000001,16,124775,254.88,1,1386000,1556.0400000000002,6,,,,,
ابريل,2582500,2586.81,10,1065000,1303.38,5,,,,560000,509.76,2,,,,,
مايو,3500000,3592.1200000000003,14,838000,764.64,3,240000,254.88,1,,,,,,,,
يونيو,2000000,2050.99,8,,,,685000,1037.75,4,,,,,,,,
يوليو,2250000,2308.31,9,585000,509.76,2,2250000,2297.9,9,,,,,,,,
اوغسطس,3600000,3840.1500000000005,15,,,,2270000,2311.57,9,,,,,,,,
سبتمبر,2600000,2599.0800000000004,10,,,,3103000,3084.67,12,,,,,,,,
اكتوبر,3350000,3587.8700000000003,14,200000,256.25,1,260000,509.46000000000004,2,,,,,,,,
نوفمبر,1890044,2052.0099999999998,8,7145000,7212.0999999999985,28,375000,521.96,2,,,,,,,,
ديسمبر,1893000,1798.3700000000001,7,1590000,1784.1600000000003,7,260000,254.88,1,,,,,,,,
حي/الامانة,120595909,145287.09000000003,224,162956124,179956.22999999998,278,123204163,109158.76000000001,176,49112329,40473.65,60,,,,,
يناير,9054000,12148.58,17,15188697,18674.120000000003,27,11868488,13115.02,20,11922514,10079.39,15,,,,,
فبراير,7232500,6937.02,11,13971000,17935.03,27,16548672,16182.5,26,19133215,13815.910000000002,22,,,,,
مارس,13662067,14481.539999999999,22,14600752,17392.94,25,7622000,6003.52,9,11806600,9849.35,14,,,,,
ابريل,9293047,11731.73,18,18689278,20099.95,31,20483093,8899.5,20,6250000,6729,9,,,,,
مايو,10251152,11073.61,19,11287840,11591.92,19,5653000,3585,7,,,,,,,,
يونيو,3520000,2838.48,4,5218000,7325,11,14140548,12775.119999999999,21,,,,,,,,
يوليو,6681000,9528,14,10846252,11622,18,930000,1800,3,,,,,,,,
اوغسطس,6160000,6640,10,8644780,8366.619999999999,15,4861000,7038.28,11,,,,,,,,
سبتمبر,8987674,12105.83,19,15735338,15641.44,24,7409745,9228.52,14,,,,,,,,
اكتوبر,15512793,18063.5,27,16683960,15859.740000000002,28,7070000,7880.93,12,,,,,,,,
نوفمبر,10643000,14805.32,23,11775227,13013.59,20,10645667,9676.33,15,,,,,,,,
ديسمبر,19598676,24933.48,40,20315000,22433.879999999997,33,15971950,12974.04,18,,,,,,,,
حي/الامراء,2156000,11345.07,6,14468348,65319.59,23,13292865,39277.28,29,10024228,19123.46,21,,,,,
يناير,,,,704550,5032.5,1,845200,6200.5,2,374000,767.65,1,,,,,
فبراير,,,,3575291,20806.73,3,3193112,8163.120000000001,4,3310000,6646.150000000001,9,,,,,
مارس,,,,736000,5400.89,1,735000,2176.09,3,5000228,9763.6,8,,,,,
