,,,,,
,,,,,
,,,,,
,المتوسط السنوي للرقم القياسي العام والأقسام والمجموعات والفصول,,,,
,"Annual Average of General Index & Divis,Groups & Classes",,,,
,جدول 10-5, ( 2007 = 100 ),,,Table10-5
,الرقــم القـياسـى الـعــــام,المتوسط السنوى للرقم القياسى لعام,,نسبة التغير بين عام 2012 و 2013,General index and 
,المجوهرات والساعات بانواعها والتحف الثمينة,179.8,162.9,-9.4,"Jewellery, clocks and watches"
,الأمتعة الشخصية الأخرى,96.6,98.7,2.2,Other personal effects
,الخدمات الإجتماعية,107.9,110.9,2.8,SOCIAL PROTECTION
,الخدمات الإجتماعية,107.9,110.9,2.8,Social protection
,التأمين,103.3,123.5,19.6,INSURANCE
,التأمين على المسكن,102.3,101.8,-0.5,Insurance connected with the dwelling 
,التأمين على الصحة,102.2,104.5,2.2,Insurance connected with health 
,التأمين المتصل بالنقل,102.9,136.5,32.7,Insurance connected with transport 
,أنواع أخرى من التأمين,106.1,108.6,2.3,Other insurances
,الخدمات المالية الأخرى,105.2,106.4,1.1,FINANCIAL SERVICES N.E C.
,الخدمات البنكية الأخرى,105.2,106.4,1.1,Other financial services n.e.c.
,خدمات أخرى,100.7,104,3.3,OTHER SERVICES N.E.C.
,خدمات أخرى غير مصنفة في مكان آخر,100.7,104,3.3,Other services not elsewhere classified
