,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 1: Monetary Base,,,,,,,جدول 1: القاعدة النقدية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,النقد المتداول,النقد في,ودائع لدى البنك المركزي  Deposits with SAMA,,,القاعدة النقدية,
,,خارج المصارف,الصندوق,ودائع البنوك ,ودائع المؤسسات ,المجموع,Monetary ,
,,Currency,Cash in ,المحلية,المالية العامة,, Base,
End of Period,,Outside Banks,Vault,Deposits of Banks,Public Fin. Ins.,Total,(Reserve Money),
,,1,2,3,4,5 = 3 + 4,6 = 1 + 2 + 5,
2008-08-31T00:00:00,,76869.631,11613.589,65526,4652,70178,158661.22,
2008-09-30T00:00:00,,84326.015,16196.105,65000,4897,69897,170419.12,
2008-10-31T00:00:00,,81865.962,10039.228,53491,3365,56856,148761.19,
2008-11-30T00:00:00,,83413.18,11858.38,54114,6262.400000000001,60376.4,155647.96,
2008-12-31T00:00:00,,83006.39199999999,11006.798,44698,4592,49290,143303.19,
2009-01-31T00:00:00,,82917.594,11267.556,44924,2861.4,47785.4,141970.55,
2009-02-28T00:00:00,,83809.017,10967.633,45408,4001,49409,144185.65000000002,
2009-03-31T00:00:00,,82860.384,10626.866,46821,1312.8,48133.8,141621.05,
2009-04-30T00:00:00,,83248.03499999999,10509.115,47557.7,2638,50195.7,143952.84999999998,
2009-05-31T00:00:00,,84457.26500000001,10381.945,48573.9,733.1999999999999,49307.1,144146.31000000003,
2009-06-30T00:00:00,,85458.739,10289.401,48707,1447,50154,145902.14,
2009-07-31T00:00:00,,85523.08099999999,10450.259,49219,7554.9,56773.9,152747.24,
2009-08-31T00:00:00,,85550.091,11286.029,50093.6,891.9000000000001,50985.5,147821.62,
2009-09-30T00:00:00,,88568.808,13425.952,49416.9,2836,52252.9,154247.66,
2009-10-31T00:00:00,,88059.306,11343.834,49664,3687.1000000000004,53351.1,152754.24,
2009-11-30T00:00:00,,93305.08600000001,17691.464,49808,3944.6,53752.6,164749.15000000002,
2009-12-31T00:00:00,,88395.351,10856.269,50715.33315326,1777.8496316600001,52493.18278492,151744.80278492,
2010-01-31T00:00:00,,88355.0640291,10620.788,51696.50755692,2103.18832669,53799.695883609995,152775.54791271,
2010-02-28T00:00:00,,88599.21476958999,11187.357,51024.13915765,5164.88985184,56189.029009490005,155975.60077908,
2010-03-31T00:00:00,,89822.43005877998,11264.623,51229.35932193,1931.18451973,53160.54384166,154247.59690043997,
2010-04-30T00:00:00,,91086.26590965,10665.096,53443.163296419996,2803.27102915,56246.43432556999,157997.79623521998,
2010-05-31T00:00:00,,90613.9336772,10735.865,51202.3246463,4225.34363858,55427.668284880005,156777.46696208,
2010-06-30T00:00:00,,92422.55834878,11685.507,52015.00487828,5478.91169595,57493.91657423,161601.98192301,
2010-07-31T00:00:00,,91904.1046847,12403.348,53140.53590526999,5226.6840514000005,58367.21995666999,162674.67264136998,
