,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,مؤسسات الإقراض المتخصصة الحكومية       Government Specialized Credit Institutions
,,,,,,,,,,,,,
Table 1a: Consolidated Balance Sheet Of Government Specialized Credit Institutions-Assets,,,,,,,,,,,,,جدول 1a: المركز المالي الموحد لمؤسسات الإقراض المتخصصة الحكومية - المــوجـــودات 
(Million ﷼),,,,,,,,,,,,,(مليون ﷼)
نهاية ,,الأصول ,عملة ,ودائع لدى ,ودائع لدى ,أصول نقدية ,القروض ,الإستثمارات ,داخلية ,خارجية ,الأصول ,الأصول ,مجموع 
الفترة ,,النقدية , سعودية ,البنك المركزي,المصارف المحلية ,تحت التحصيل ,,,,,الثابتة ,الأخرى ,الأصول 
End of,,Monetary,Saudi,Dep. with,Deposits with,Monetary Assets,Loans,Investments,Domestic,Foreign,Fixed,Other ,Total
Period,,Assets,Currency,SAMA,Local Banks,under Collection,,,,,Assets,Assets,Assets
2008,,17929.954,0.327,17273.22,544.53,111.87700000000001,111948.96,15993.86,15993.86,0,66.8,7576.950000000001,153516.524
2009,,21959.35,0.44999999999999996,21433.7,415.1,110.1,121330.17000000001,11832.9,11832.9,0,69,8899,164090.42
2010,,25079.6,0.9,23219.4,1714.8999999999999,144.4,126334.1,11204.300000000001,11204.300000000001,0,75.7,6261.3,168955
2011,,41313,3.4,38290.7,2851.8,167.1,136717.1,46157.8,46157.8,0,77.5,79168.5,303433.9
2012,,42584.6,3.1,37507.8,4872.4,201.3,162585.7,11874.1,11874.1,0,78.8,63241.95,280365.15
2013,,46312.6,0.1,40178,5917.5,217,179687.4,9902.099999999999,9902.099999999999,0,88.9,40981.3,276972.3
2014,,43320.2,0.7,38064.8,5007.799999999999,246.9,206044.9,10116.2,10116.2,0,100.7,30277.5,289859.5
2015,,38878.66,0.2,30784.8,7631.86,461.8,233370.2,9314.1,9314.1,0,102.5,20111.699999999997,301777.16
2016,,28491.309999999998,0.21000000000000002,13381.5,14273.1,836.5,239690.32,15406.4,15406.4,0,635.1,8339.6,292562.73
2017-12-31T00:00:00,,21129.532887,0.1,590.21197,18685.487768,1853.7331490000001,236914.762105,28700.4,28700.4,0,683.3,7454.299999999999,294882.294992
2018,,31135.944654,0,2836.7813840000003,22266.280226,6032.883044,230735.07983399997,38300.05066,38300.05066,0,696.524942,4390.206571000001,305257.806661
