,,,,,,,
القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,
Table 12f: Residential New Mortgages Finance for Individuals Provided by Banks,,,,,,جدول 12f: التمويل العقاري السكني الجديد للأفراد المقدم من المصارف,
,,,,,,,
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل,
,,,,,,,
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total,
,,, (Million SAR مليون ريال ),,,,
2022-11-30T00:00:00,,9785,5127.35944256901,1878.858407328,380.07506942,7386.292919317009,
2022-12-31T00:00:00,,8265,4397.38777997901,1648.474442139,312.70297093,6358.565193048011,
2023-01-31T00:00:00,,11113,5645.319000449,2314.966905868,412.5751027,8372.861009017,
2023-02-28T00:00:00,,9574,4964.27184523099,1823.338442561,350.84611689,7138.4564046819905,
2023-03-31T00:00:00,,9526,5048.25958828801,1745.332870719,457.099920335,7250.69237934201,
2023-04-30T00:00:00,,5270,2781.31664344,1050.157033311,314.4236059,4145.897282651,
2023-05-31T00:00:00,,8888,4683.963780969,1733.9135068057,382.943721059,6800.821008833701,
2023-06-30T00:00:00,,7615,4243.5372675,1428.8570855,296.513547189,5968.9079001889995,
2023-07-31T00:00:00,,7058,3896.90333369999,1226.34870421,301.38915172,5424.64118962999,
2023-08-31T00:00:00,,9054,4966.51513771,1776.072543399,399.13434412,7141.722025229,
2023-09-30T00:00:00,,7767,3977.94601547,1562.63195622,296.5600368,5837.138008489999,
2023-10-31T00:00:00,,9177,4455.49349575899,1943.385732709,366.89948203,6765.778710497991,
2023-11-30T00:00:00,,9164,4362.77000946,1964.291426459,327.965096619,6655.0265325380005,
2023-12-31T00:00:00,,8647,4306.94235542,1675.936153759,254.57984435,6237.458353529,
2024-01-31T00:00:00,,10505,5132.3650797,1966.63045231,439.73201211,7538.72754412,
2024-02-29T00:00:00,,9504,4528.83327591001,1979.54503618,432.90251126,6941.28082335001,
2024-03-31T00:00:00,,10320,4911.65674172,2237.35848233,473.908836449999,7622.9240604999995,
2024-04-30T00:00:00,,7085,3681.16911978,1388.86874707,270.4782267,5340.51609355,
2024-05-31T00:00:00,,10123,5113.64163221,2152.69671833,407.99114578,7674.32949632,
2024-06-30T00:00:00,,7274,3427.48773228,1616.411894738,263.48613865,5307.385765667999,
2024-07-31T00:00:00,,9605,4380.39955871,2262.12601937,429.31689714,7071.84247522,
2024-08-31T00:00:00,,9109,3790.85367199,2445.74667255,361.90242272,6598.50276726,
2024-09-30T00:00:00,,9321,3883.2588902,2539.831788499,396.88813189,6819.978810589,
2024-10-31T00:00:00,,11020,4828.35987634,2855.22712837,457.97163739,8141.5586421,
2024-11-30T00:00:00,,13142,6501.62192217001,3154.61573485,407.82690455,10064.06456157001,
2024-12-31T00:00:00,,15294,8120,3486,335,11941,
2025-01-31T00:00:00,,13411,6637.74086337999,3350.67997551,475.30321149,10463.72405037999,
2025-02-28T00:00:00,,11757,5572.94022655,2899.07226363,435.53308126,8907.545571440001,
2025-03-31T00:00:00,,11112,5185.75927497,2798.12941278,414.79170886,8398.68039661,
2025-04-30T00:00:00,,8204,3929.86616149,2063.888815899,303.50808764,6297.263065029,
