,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,القائمة الرئيسية   Main List,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30b: Distribution of ATMs by Bank,,,,,,,,,,,جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف,,Contd. 2 table 30b: Distribution of ATMs by Bank,,,,,,,,,,,,تابع 2 جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف
,,,,,,,,,,,,,,,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك ,بنك الإمارات ,بنك ,بنك ,مصرف,بنك ,بنك,بنك,بنك قطر, أخرى **,المجموع
الفترة,,السعودي***,,الفرنسي,الوطني,الأول*,الجزيرة,,للإستثمار,الراجحي,المالية ***,,الفترة,,البلاد ,دبي الوطني,الكويت الوطني,مسقط,الإنماء, البحرين الوطني,الخليج الدولي,أبو ظبي الأول,الوطني,,
End of,, Saudi National ,Riyad, Banque Saudi ,The Arab,Saudi Awwal,Bank,Alawwal,Saudi Investment,Al-Rajhi ,Samba,,End of,,AL-Bilad,Emirates, National Bank , Muscat,Alinma,  National Bank ,Gulf International,First Abu Dhabi,Qatar National, Others **,Total
Period,, Bank***,  Bank,Fransi,National Bank,Bank*, Al-Jazira,Bank*,Bank,Bank,Financial Group***,,Period,,Bank ,NBD,of Kuwait,Bank,Bank,of Bahrain,Bank,Bank,Bank,,
2012-04-30T00:00:00,,1830,2597,463,848,527,318,252,358,3111,518,,2012-04-30T00:00:00,,615,15,2,6,461,1, ---, ---,---,12,11934
2012-05-31T00:00:00,,1844,2591,466,850,529,316,251,364,3136,526,,2012-05-31T00:00:00,,643,15,2,6,480,1, ---, ---,---,12,12032
2012-06-30T00:00:00,,1858,2602,472,850,531,313,251,365,3182,528,,2012-06-30T00:00:00,,652,15,2,6,510,1, ---, ---,---,12,12150
2012-07-31T00:00:00,,1865,2614,476,859,535,318,253,371,3219,529,,2012-07-31T00:00:00,,667,15,1,6,540,1, ---, ---,---,12,12281
2012-08-31T00:00:00,,1869,2620,479,860,541,318,256,371,3238,532,,2012-08-31T00:00:00,,669,15,1,6,577,1, ---, ---,---,12,12365
2012-09-30T00:00:00,,1884,2615,474,864,544,327,259,371,3254,529,,2012-09-30T00:00:00,,686,15,1,6,589,1, ---, ---,---,12,12431
2012-10-31T00:00:00,,1907,2611,478,868,548,330,258,373,3267,529,,2012-10-31T00:00:00,,697,15,1,6,603,1, ---, ---,---,12,12504
2012-11-30T00:00:00,,1931,2605,482,870,559,332,257,374,3274,529,,2012-11-30T00:00:00,,708,15,1,6,616,1, ---, ---,---,12,12572
2012-12-31T00:00:00,,1960,2591,482,886,569,350,257,379,3297,528,,2012-12-31T00:00:00,,728,15,1,6,650,1, ---, ---,---,12,12712
2013-01-31T00:00:00,,1976,2570,489,887,579,345,261,380,3341,530,,2013-01-31T00:00:00,,731,15,1,6,672,1, ---, ---,---,12,12796
2013-02-28T00:00:00,,1998,2566,489,912,586,347,265,386,3369,532,,2013-02-28T00:00:00,,744,15,1,6,690,1, ---, ---,---,12,12919
2013-03-31T00:00:00,,2026,2562,489,910,593,350,265,399,3387,532,,2013-03-31T00:00:00,,755,15,1,6,700,1, ---, ---,---,12,13003
2013-04-30T00:00:00,,2056,2550,490,913,595,352,265,400,3406,535,,2013-04-30T00:00:00,,760,16,1,6,717,1, ---, ---,---,12,13075
2013-05-31T00:00:00,,2082,2560,487,918,602,352,263,397,3413,537,,2013-05-31T00:00:00,,769,16,1,6,726,1, ---, ---,---,12,13142
2013-06-30T00:00:00,,2103,2563,487,931,608,349,267,405,3441,534,,2013-06-30T00:00:00,,775,16,1,6,732,1, ---, ---,---,12,13231
2013-07-31T00:00:00,,2120,2519,487,946,615,355,265,406,3476,532,,2013-07-31T00:00:00,,785,16,1,6,749,1, ---, ---,---,12,13291
2013-08-31T00:00:00,,2130,2528,491,958,619,352,264,412,3505,533,,2013-08-31T00:00:00,,798,16,1,6,759,1, ---, ---,---,12,13385
2013-09-30T00:00:00,,2139,2526,490,964,635,353,266,413,3552,536,,2013-09-30T00:00:00,,825,16,1,4,784,1, ---, ---,---,12,13517
2013-10-31T00:00:00,,2157,2526,491,979,640,359,266,412,3576,535,,2013-10-31T00:00:00,,832,16,1,4,792,1, ---, ---,---,12,13599
2013-11-30T00:00:00,,2205,2525,491,985,655,359,265,391,3607,538,,2013-11-30T00:00:00,,844,16,1,4,803,1, ---, ---,---,12,13702
2013-12-31T00:00:00,,2252,2520,490,995,667,369,268,419,3644,540,,2013-12-31T00:00:00,,856,16,1,4,829,1, ---, ---,---,12,13883
2014-01-31T00:00:00,,2288,2529,487,1008,675,378,270,427,3706,543,,2014-01-31T00:00:00,,864,16,1,4,852,1, ---, ---,---,12,14061
2014-02-28T00:00:00,,2315,2544,486,1017,690,399,270,430,3724,545,,2014-02-28T00:00:00,,873,16,1,4,867,1, ---, ---,---,12,14194
2014-03-31T00:00:00,,2324,2542,489,1022,708,408,271,399,3748,545,,2014-03-31T00:00:00,,886,17,1,4,877,1, ---, ---,---,12,14254
2014-04-30T00:00:00,,2359,2542,489,1033,724,425,284,419,3797,546,,2014-04-30T00:00:00,,898,17,1,4,888,1, ---, ---,---,12,14439
2014-05-31T00:00:00,,2369,2561,487,1046,758,429,294,402,3823,543,,2014-05-31T00:00:00,,911,17,1,4,909,1, ---, ---,---,12,14567
2014-06-30T00:00:00,,2387,2545,476,1051,771,452,302,403,3868,545,,2014-06-30T00:00:00,,924,17,1,4,921,1, ---, ---,---,12,14680
2014-07-31T00:00:00,,2415,2552,481,1062,780,461,304,412,3878,545,,2014-07-31T00:00:00,,928,17,1,4,929,1, ---, ---,---,12,14782
2014-08-31T00:00:00,,2430,2565,480,1065,795,486,307,417,3908,544,,2014-08-31T00:00:00,,930,17,1,4,953,1, ---, ---,---,12,14915
2014-09-30T00:00:00,,2478,2548,481,1081,817,489,305,421,3928,544,,2014-09-30T00:00:00,,933,17,1,4,968,1, ---, ---,---,12,15028
2014-10-31T00:00:00,,2497,2551,480,1089,832,492,334,428,3948,544,,2014-10-31T00:00:00,,934,17,1,4,977,1, ---, ---,---,13,15142
2014-11-30T00:00:00,,2539,2559,473,1100,857,500,357,435,3980,542,,2014-11-30T00:00:00,,945,18,1,4,996,1, ---, ---,---,13,15320
2014-12-31T00:00:00,,2643,2551,471,1110,854,511,382,442,3997,543,,2014-12-31T00:00:00,,953,18,1,4,1022,1, ---, ---,---,13,15516
2015-01-31T00:00:00,,2686,2553,573,1220,870,518,390,452,4008,544,,2015-01-31T00:00:00,,945,6,1,4,1028,1,6, ---,---,13,15818
2015-02-28T00:00:00,,2728,2557,571,1224,877,521,400,460,4023,548,,2015-02-28T00:00:00,,938,6,1,4,1041,1,6, ---,---,13,15919
2015-03-31T00:00:00,,2810,2581,563,1225,890,533,400,473,4014,552,,2015-03-31T00:00:00,,937,6,1,3,1051,1,6, ---,---,13,16059
2015-04-30T00:00:00,,2816,2660,558,1225,900,555,400,474,4034,553,,2015-04-30T00:00:00,,932,6,1,3,1062,1,6, ---,---,13,16199
2015-05-31T00:00:00,,2833,2684,557,1235,904,577,401,483,4049,553,,2015-05-31T00:00:00,,929,6,1,3,1077,1,6, ---,---,13,16312
2015-06-30T00:00:00,,2820,2698,558,1239,912,583,404,491,4050,553,,2015-06-30T00:00:00,,925,6,1,3,1091,1,6, ---,---,13,16354
2015-07-31T00:00:00,,2870,2718,558,1240,917,594,420,495,4057,554,,2015-07-31T00:00:00,,924,6,1,3,1099,1,6, ---,---,13,16476
2015-08-31T00:00:00,,2887,2752,556,1238,927,595,429,500,4083,557,,2015-08-31T00:00:00,,924,6,1,3,1111,1,6, ---,---,13,16589
2015-09-30T00:00:00,,2921,2782,556,1241,938,594,454,498,4088,557,,2015-09-30T00:00:00,,919,6,1,3,1121,1,6, ---,---,13,16699
2015-10-31T00:00:00,,2962,2820,553,1245,953,602,464,501,4113,557,,2015-10-31T00:00:00,,911,6,1,2,1131,1,6, ---,---,13,16841
2015-11-30T00:00:00,,3013,2896,552,1240,967,606,472,495,4111,557,,2015-11-30T00:00:00,,913,8,1,2,1152,1,6, ---,---,13,17005
2015-12-31T00:00:00,,3107,2929,551,1255,977,611,500,500,4121,561,,2015-12-31T00:00:00,,914,8,1,2,1166,1,6, ---,---,13,17223
2016-01-31T00:00:00,,3115,2783,552,1264,978,608,501,507,4158,561,,2016-01-31T00:00:00,,927,8,1,2,1186,1,6, ---,---,13,17171
2016-02-29T00:00:00,,3128,2795,551,1261,969,610,501,513,4161,561,,2016-02-29T00:00:00,,908,8,1,2,1199,1,6, ---,---,13,17188
2016-03-31T00:00:00,,3143,2807,551,1256,977,607,506,519,4175,558,,2016-03-31T00:00:00,,915,7,1,0,1209,1,6, ---,---,13,17251
2016-04-30T00:00:00,,3151,2783,550,1260,970,610,506,517,4211,558,,2016-04-30T00:00:00,,904,7,1,0,1220,1,6, ---,---,13,17268
2016-05-31T00:00:00,,3164,2782,545,1262,969,612,506,513,4237,558,,2016-05-31T00:00:00,,899,8,1,0,1233,1,6, ---,---,13,17309
2016-06-30T00:00:00,,3166,2735,546,1265,971,614,504,506,4254,556,,2016-06-30T00:00:00,,903,8,1,0,1242,1,6, ---,---,13,17291
2016-07-31T00:00:00,,3213,2729,546,1264,971,614,505,506,4292,552,,2016-07-31T00:00:00,,910,8,1,0,1250,1,6, ---,---,13,17381
2016-08-31T00:00:00,,3254,2730,546,1268,968,617,505,497,4314,552,,2016-08-31T00:00:00,,917,8,1,0,1273,1,6, ---,---,13,17470
2016-09-30T00:00:00,,3266,2735,546,1262,968,614,511,497,4323,552,,2016-09-30T00:00:00,,908,8,1,0,1288,1,6, ---,---,13,17499
2016-10-31T00:00:00,,3341,2729,546,1260,971,615,513,492,4388,544,,2016-10-31T00:00:00,,904,8,1,0,1320,1,6, ---,---,13,17652
2016-11-30T00:00:00,,3429,2707,546,1262,970,620,536,496,4439,544,,2016-11-30T00:00:00,,900,8,1,0,1341,1,6, ---,---,13,17819
2016-12-31T00:00:00,,3477,2667,550,1266,966,621,560,500,4475,540,,2016-12-31T00:00:00,,896,8,1,0,1340,1,6, ---,---,13,17887
2017-01-31T00:00:00,,3504,2659,555,1266,962,622,573,508,4556,540,,2017-01-31T00:00:00,,897,8,1,0,1342,1,6, ---,---,13,18013
2017-02-28T00:00:00,,3547,2635,553,1275,957,620,574,509,4603,540,,2017-02-28T00:00:00,,910,8,1,0,1351,1,6, ---,---,13,18103
2017-03-31T00:00:00,,3602,2550,547,1269,955,613,574,511,4627,538,,2017-03-31T00:00:00,,917,8,1,0,1367,1,6, ---,---,3,18089
2017-04-30T00:00:00,,3645,2552,543,1261,954,614,578,509,4659,539,,2017-04-30T00:00:00,,901,8,1,0,1371,1,6, ---,---,0,18142
2017-05-31T00:00:00,,3719,2512,539,1264,954,614,583,505,4675,541,,2017-05-31T00:00:00,,893,8,1,0,1373,1,7, ---,---,0,18189
2017-06-30T00:00:00,,3732,2527,545,1264,954,613,583,507,4679,541,,2017-06-30T00:00:00,,896,8,1,0,1368,1,6, ---,---,0,18225
2017-07-31T00:00:00,,3759,2549,546,1257,955,613,585,499,4711,541,,2017-07-31T00:00:00,,894,8,1,0,1377,1,6, ---,---,0,18302
2017-08-31T00:00:00,,3778,2568,547,1246,957,615,585,499,4737,541,,2017-08-31T00:00:00,,872,8,1,0,1403,1,5, ---,---,0,18363
2017-09-30T00:00:00,,3549,2593,545,1249,959,624,582,492,4745,544,,2017-09-30T00:00:00,,871,8,1,0,1404,1,4, ---,---,0,18171
2017-10-31T00:00:00,,3588,2596,543,1252,938,627,584,491,4799,544,,2017-10-31T00:00:00,,872,8,1,0,1420,1,4, ---,---,0,18268
2017-11-30T00:00:00,,3616,2583,548,1264,940,627,585,486,4801,543,,2017-11-30T00:00:00,,867,8,1,0,1433,1,4, ---,---,0,18307
2017-12-31T00:00:00,,3630,2592,554,1274,933,630,586,488,4794,541,,2017-12-31T00:00:00,,860,8,1,0,1437,1,4, ---,---,0,18333
2018-01-31T00:00:00,,3627,2594,557,1275,931,622,584,488,4823,544,,2018-01-31T00:00:00,,866,8,1,0,1428,1,9, ---,---,0,18358
2018-02-28T00:00:00,,3622,2583,560,1273,932,622,607,488,4829,542,,2018-02-28T00:00:00,,868,8,1,0,1433,1,9, ---,---,0,18378
2018-03-31T00:00:00,,3664,2582,555,1268,935,618,612,489,4854,539,,2018-03-31T00:00:00,,853,10,1,0,1443,1,9, ---,---,0,18433
2018-04-30T00:00:00,,3668,2585,558,1267,932,618,612,491,4878,537,,2018-04-30T00:00:00,,849,10,1,0,1439,1,9, ---,---,0,18455
2018-05-31T00:00:00,,3705,2599,556,1263,930,618,612,494,4880,535,,2018-05-31T00:00:00,,835,10,1,0,1438,1,9, ---,---,0,18486
2018-06-30T00:00:00,,3706,2602,556,1262,930,620,609,493,4883,533,,2018-06-30T00:00:00,,833,10,1,0,1442,1,9, ---,---,0,18490
2018-07-31T00:00:00,,3702,2604,559,1263,925,619,609,491,4898,531,,2018-07-31T00:00:00,,838,10,1,0,1455,1,9, ---,---,0,18515
2018-08-31T00:00:00,,3706,2605,562,1263,925,621,600,488,4906,534,,2018-08-31T00:00:00,,833,8,1,0,1464,1,9, ---,---,0,18526
2018-09-30T00:00:00,,3703,2609,560,1263,926,615,600,489,4918,530,,2018-09-30T00:00:00,,834,12,1,0,1468,1,9, ---,---,0,18538
2018-10-31T00:00:00,,3728,2602,564,1259,926,621,603,499,4953,526,,2018-10-31T00:00:00,,846,12,1,0,1464,1,9, ---,---,0,18614
2018-11-30T00:00:00,,3728,2593,563,1256,926,622,609,499,4972,524,,2018-11-30T00:00:00,,849,12,1,0,1466,1,9, ---,---,0,18630
2018-12-31T00:00:00,,3729,2588,566,1243,925,618,617,499,5006,520,,2018-12-31T00:00:00,,863,12,1,0,1488,1,9, ---,---,0,18685
2019-01-31T00:00:00,,3725,2565,568,1241,915,608,615,483,5047,519,,2019-01-31T00:00:00,,873,14,1,0,1490,1,9, ---,---,0,18674
2019-02-28T00:00:00,,3712,2556,572,1237,915,611,630,483,5068,520,,2019-02-28T00:00:00,,873,16,1,0,1502,1,9, ---,---,0,18706
2019-03-31T00:00:00,,3718,2550,574,1236,914,606,632,477,5095,519,,2019-03-31T00:00:00,,882,17,1,0,1511,1,9, ---,---,0,18742
2019-04-30T00:00:00,,3715,2540,572,1237,910,606,635,478,5120,520,,2019-04-30T00:00:00,,891,17,1,0,1512,1,9, ---,---,0,18764
2019-05-31T00:00:00,,3757,2540,571,1235,886,605,634,478,5133,518,,2019-05-31T00:00:00,,890,17,1,0,1514,1,10, ---,---,0,18790
2019-06-30T00:00:00,,3770,2551,573,1233,1516,604,---,475,5142,516,,2019-06-30T00:00:00,,896,17,3,0,1512,1,11, ---,---,0,18820
2019-07-31T00:00:00,,3758,2555,572,1233,1506,605,---,473,5160,525,,2019-07-31T00:00:00,,905,17,4,0,1510,2,11, ---,---,0,18836
2019-08-31T00:00:00,,3739,2556,571,1241,1471,606,---,471,5172,533,,2019-08-31T00:00:00,,901,17,4,0,1502,2,11, ---,---,0,18797
2019-09-30T00:00:00,,3741,2559,571,1241,1472,609,---,468,5190,534,,2019-09-30T00:00:00,,910,17,4,0,1503,2,11, ---,---,0,18832
2019-10-31T00:00:00,,3724,2559,572,1237,1453,611,---,468,5192,537,,2019-10-31T00:00:00,,940,17,4,0,1512,2,11, ---,---,0,18839
2019-11-30T00:00:00,,3715,2563,570,1236,1445,604,---,468,5189,546,,2019-11-30T00:00:00,,952,17,4,0,1517,2,11, ---,---,0,18839
2019-12-31T00:00:00,,3723,2558,569,1236,1433,607,---,469,5215,540,,2019-12-31T00:00:00,,971,17,4,0,1527,2,11, ---,---,0,18882
2020-01-31T00:00:00,,3719,2549,474,1148,1434,605,---,416,5236,543,,2020-01-31T00:00:00,,972,18,4,0,1532,2,11, ---,---,0,18663
2020-02-29T00:00:00,,3719,2545,475,1146,1410,606,---,416,5236,546,,2020-02-29T00:00:00,,975,18,4,0,1532,2,12,---,---,0,18642
2020-03-31T00:00:00,,3719,2538,469,1141,1401,599,---,418,5259,535,,2020-03-31T00:00:00,,982,18,4,0,1537,2,12,---,---,0,18634
2020-04-30T00:00:00,,3715,2536,468,1140,1397,599,---,418,5263,527,,2020-04-30T00:00:00,,982,18,4,0,1533,2,12,---,---,0,18614
2020-05-31T00:00:00,,3710,2538,468,1134,1391,598,---,418,5256,525,,2020-05-31T00:00:00,,986,18,4,0,1533,2,12,---,---,0,18593
2020-06-30T00:00:00,,3698,2534,468,1133,1380,598,---,418,5253,526,,2020-06-30T00:00:00,,986,19,4,0,1528,2,12,---,---,0,18559
2020-07-31T00:00:00,,3628,2505,469,1106,1371,602,---,415,5254,525,,2020-07-31T00:00:00,,990,19,4,0,1525,2,12,---,---,0,18427
2020-08-31T00:00:00,,3615,2496,470,1211,1356,601,---,412,5252,521,,2020-08-31T00:00:00,,992,19,4,0,1533,4,12,---,---,0,18498
2020-09-30T00:00:00,,3583,2499,471,1203,1336,600,---,412,5261,526,,2020-09-30T00:00:00,,992,20,4,0,1533,4,12,---,---,0,18456
2020-10-31T00:00:00,,3570,2517,472,1196,1312,605,---,409,5249,526,,2020-10-31T00:00:00,,978,20,4,0,1536,4,12,---,---,0,18410
2020-11-30T00:00:00,,3574,2518,471,1206,1240,611,---,409,5230,529,,2020-11-30T00:00:00,,973,20,4,0,1545,4,12,---,---,0,18346
2020-12-31T00:00:00,,3571,2486,472,1199,1236,612,---,409,5211,528,,2020-12-31T00:00:00,,978,20,4,0,1557,4,12,---,---,0,18299
2021-01-31T00:00:00,,2658,2467,472,1196,1186,615,---,397,5205,529,,2021-01-31T00:00:00,,980,20,4,0,1554,2,12,6,---,0,17303
2021-02-28T00:00:00,,2648,2457,470,1199,1146,615,---,398,5151,527,,2021-02-28T00:00:00,,983,21,4,0,1556,2,12,6,---,0,17195
2021-03-31T00:00:00,,2642,2452,470,1206,1135,614,---,399,5074,530,,2021-03-31T00:00:00,,981,25,4,0,1565,2,12,6,---,0,17117
2021-04-30T00:00:00,,3157,2438,469,1203,1127,613,---,399,5003,---,,2021-04-30T00:00:00,,978,25,4,0,1557,2,12,6,---,0,16993
2021-05-31T00:00:00,,3146,2439,469,1204,1127,614,---,399,4964,---,,2021-05-31T00:00:00,,977,25,4,0,1559,2,12,6,---,0,16947
2021-06-30T00:00:00,,3143,2389,469,1183,1109,615,---,368,4930,---,,2021-06-30T00:00:00,,965,27,4,0,1544,2,0,6,---,0,16754
2021-07-31T00:00:00,,3156,2369,469,1177,1107,614,---,364,4920,---,,2021-07-31T00:00:00,,966,27,4,0,1571,2,0,6,---,0,16752
2021-08-31T00:00:00,,3133,2323,470,1178,1107,618,---,368,4910,---,,2021-08-31T00:00:00,,967,27,4,0,1576,2,0,6,---,0,16689
2021-09-30T00:00:00,,3113,2285,470,1179,1098,620,---,369,4910,---,,2021-09-30T00:00:00,,963,26,4,0,1577,2,0,6,---,0,16622
2021-10-31T00:00:00,,3063,2249,469,1175,1094,622,---,369,4910,---,,2021-10-31T00:00:00,,961,26,4,0,1579,2,0,6,---,0,16529
2021-11-30T00:00:00,,3060,2248,466,1161,1092,628,---,373,4913,---,,2021-11-30T00:00:00,,963,26,4,0,1579,2,0,6,---,0,16521
2021-12-31T00:00:00,,3118,2242,466,1142,1089,635,---,372,4891,---,,2021-12-31T00:00:00,,964,29,4,0,1584,2,0,6,---,0,16544
2022-01-31T00:00:00,,3174,2237,455,1132,1081,633,---,371,4884,---,,2022-01-31T00:00:00,,963,29,4,0,1586,2,0,6,---,0,16557
2022-02-28T00:00:00,,3114,2232,454,1140,1085,632,---,370,4861,---,,2022-02-28T00:00:00,,960,30,4,0,1578,2,0,6,---,0,16468
2022-03-31T00:00:00,,3131,2235,456,1144,1085,631,---,371,4844,---,,2022-03-31T00:00:00,,953,29,4,0,1572,2,0,6,---,0,16463
2022-04-30T00:00:00,,3098,2239,456,1144,1086,630,---,372,4847,---,,2022-04-30T00:00:00,,953,29,4,0,1579,2,0,6,---,0,16445
2022-05-31T00:00:00,,3090,2242,457,1139,1087,626,---,374,4837,---,,2022-05-31T00:00:00,,948,29,4,0,1573,2,0,6,---,0,16414
2022-06-30T00:00:00,,3087,2240,457,1146,1088,626,---,369,4824,---,,2022-06-30T00:00:00,,936,29,4,0,1584,2,0,6,---,0,16398
2022-07-31T00:00:00,,3094,2240,457,1147,1089,623,---,366,4809,---,,2022-07-31T00:00:00,,942,28,4,0,1579,2,0,6,---,0,16386
2022-08-31T00:00:00,,3085,2238,457,1148,1089,620,---,367,4791,---,,2022-08-31T00:00:00,,945,28,4,0,1546,2,0,6,---,0,16326
2022-09-30T00:00:00,,3052,2220,458,1145,1088,621,---,369,4776,---,,2022-09-30T00:00:00,,946,28,4,0,1553,2,0,6,---,0,16268
2022-10-31T00:00:00,,3052,2218,458,1141,1085,622,---,370,4776,---,,2022-10-31T00:00:00,,947,31,4,0,1565,2,0,6,---,0,16277
2022-11-30T00:00:00,,3060,2214,458,1141,1084,621,---,369,4757,---,,2022-11-30T00:00:00,,944,31,4,0,1568,2,0,6,---,0,16259
2022-12-31T00:00:00,,3065,2219,460,1148,1086,622,---,376,4727,---,,2022-12-31T00:00:00,,941,31,4,0,1564,2,0,6,---,0,16251
2023-01-31T00:00:00,,3088,2224,459,1157,1089,624,---,375,4715,---,,2023-01-31T00:00:00,,939,31,4,0,1555,2,0,6,---,0,16268
2023-02-28T00:00:00,,3081,2227,455,1171,1085,630,---,375,4696,---,,2023-02-28T00:00:00,,937,32,4,0,1541,2,0,6,---,0,16242
2023-03-31T00:00:00,,3033,2231,450,1178,1086,630,---,377,4679,---,,2023-03-31T00:00:00,,938,32,4,0,1525,2,0,6,---,0,16171
2023-04-30T00:00:00,,3019,2224,449,1178,1083,641,---,375,4669,---,,2023-04-30T00:00:00,,939,32,4,0,1524,2,0,6,---,0,16145
2023-05-31T00:00:00,,3019,2223,450,1184,1078,643,---,373,4660,---,,2023-05-31T00:00:00,,935,33,4,0,1516,2,0,6,---,0,16126
2023-06-30T00:00:00,,3012,2226,451,1174,1074,642,---,373,4644,---,,2023-06-30T00:00:00,,935,35,4,0,1511,2,0,6,---,0,16089
2023-07-31T00:00:00,,3011,2225,452,1176,1076,638,---,371,4633,---,,2023-07-31T00:00:00,,936,35,4,0,1513,2,0,6,---,0,16078
2023-08-31T00:00:00,,2998,2213,451,1180,1079,641,---,371,4625,---,,2023-08-31T00:00:00,,939,35,4,0,1508,2,0,6,---,0,16052
2023-09-30T00:00:00,,2999,2214,452,1185,1082,643,---,370,4604,---,,2023-09-30T00:00:00,,941,41,4,0,1509,2,0,6,---,0,16052
2023-10-31T00:00:00,,2975,2207,452,1185,1083,645,---,369,4590,---,,2023-10-31T00:00:00,,932,44,4,0,1507,2,0,6,---,0,16001
2023-11-30T00:00:00,,2961,2211,454,1190,1078,643,---,370,4576,---,,2023-11-30T00:00:00,,932,46,4,0,1506,2,0,6,---,0,15979
2023-12-31T00:00:00,,2940,2218,457,1178,1091,641,---,372,4552,---,,2023-12-31T00:00:00,,939,50,4,0,1504,2,0,6,---,0,15954
2024-01-31T00:00:00,,2932,2195,458,1185,1053,636,---,374,4544,---,,2024-01-31T00:00:00,,929,52,4,0,1507,2,0,6,---,0,15877
2024-02-29T00:00:00,,2947,2185,455,1191,1064,628,---,374,4536,---,,2024-02-29T00:00:00,,927,55,4,0,1507,2,0,6,---,0,15881
2024-03-31T00:00:00,,2932,2174,452,1187,1067,627,---,372,4515,---,,2024-03-31T00:00:00,,920,55,4,0,1509,2,0,6,---,0,15822
2024-04-30T00:00:00,,2940,2177,452,1173,1082,616,---,373,4500,---,,2024-04-30T00:00:00,,911,57,4,0,1525,2,0,6,---,0,15818
2024-05-31T00:00:00,,2942,2143,448,1170,1089,608,---,373,4492,---,,2024-05-31T00:00:00,,898,57,3,0,1530,2,0,6,---,0,15761
2024-06-30T00:00:00,,2959,2117,441,1167,1086,605,---,375,4481,---,,2024-06-30T00:00:00,,880,57,3,0,1537,2,0,6,---,0,15716
2024-07-31T00:00:00,,2991,2065,439,1167,1089,605,---,371,4467,---,,2024-07-31T00:00:00,,878,59,3,0,1538,2,0,6,---,0,15680
2024-08-31T00:00:00,,2986,2021,440,1143,1090,604,---,360,4438,---,,2024-08-31T00:00:00,,876,59,3,0,1518,2,0,6,---,0,15546
2024-09-30T00:00:00,,2995,1979,430,1140,1092,598,---,360,4420,---,,2024-09-30T00:00:00,,863,59,3,0,1501,2,0,6,---,0,15448
2024-10-31T00:00:00,,2993,1867,411,1102,1083,595,---,356,4396,---,,2024-10-31T00:00:00,,855,60,3,0,1488,2,0,6,---,0,15217
2024-11-30T00:00:00,,3005,1830,395,1096,1070,589,---,355,4380,---,,2024-11-30T00:00:00,,856,60,3,0,1483,2,0,6,---,0,15130
2024-12-31T00:00:00,,3004,1796,393,1091,1069,587,---,354,4371,---,,2024-12-31T00:00:00,,854,62,3,0,1483,2,0,6,---,0,15075
2025-01-31T00:00:00,,3028,1751,391,1080,1065,586,---,351,4360,---,,2025-01-31T00:00:00,,850,62,3,0,1477,2,0,6,2,0,15014
2025-02-28T00:00:00,,3036,1737,389,1064,1059,587,---,350,4345,---,,2025-02-28T00:00:00,,844,62,3,0,1467,2,0,6,2,0,14953
2025-03-31T00:00:00,,3071,1728,387,1061,1052,589,---,350,4322,---,,2025-03-31T00:00:00,,844,62,3,0,1461,2,0,6,2,0,14940
2025-04-30T00:00:00,,3110,1721,386,1064,1050,581,---,348,4306,---,,2025-04-30T00:00:00,,841,63,3,0,1460,2,0,6,2,0,14943
2025-05-31T00:00:00,,3121,1699,381,1074,1048,578,---,348,4302,---,,2025-05-31T00:00:00,,836,63,3,0,1457,2,0,6,2,0,14920
2025-06-30T00:00:00,,3109,1671,373,1078,1043,576,---,331,4304,---,,2025-06-30T00:00:00,,826,63,3,0,1455,2,0,6,2,0,14842
2025-07-31T00:00:00,,3157,1673,372,1076,1034,576,---,331,4296,---,,2025-07-31T00:00:00,,823,63,3,0,1449,2,0,6,2,0,14863
2025-08-31T00:00:00,,3124,1677,369,1075,1031,572,---,329,4296,---,,2025-08-31T00:00:00,,823,63,3,0,1442,2,0,6,2,0,14814
2025-09-30T00:00:00,,3098,1679,367,1081,1035,569,---,327,4302,---,,2025-09-30T00:00:00,,822,65,3,0,1440,2,0,6,2,0,14798
2025-10-31T00:00:00,,3090,1660,368,1071,1038,566,---,331,4306,---,,2025-10-31T00:00:00,,824,67,3,0,1434,2,0,6,2,0,14768
2025-11-30T00:00:00,,3099,1668,369,1044,1026,566,---,325,4319,---,,2025-11-30T00:00:00,,824,67,3,0,1424,2,0,6,2,0,14744
2025-12-31T00:00:00,,3093,1670,370,1012,999,565,---,328,4327,---,,2025-12-31T00:00:00,,822,67,3,0,1408,2,0,6,2,0,14674
2026-01-31T00:00:00,,3104,1679,369,998,1001,565,---,330,4331,---,,2026-01-31T00:00:00,,822,67,3,0,1395,2,0,6,2,0,14674
2026-02-28T00:00:00,,3098,1665,368,985,1002,565,---,332,4322,---,,2026-02-28T00:00:00,,825,67,3,0,1384,2,0,6,2,0,14626
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
