,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,القائمة الرئيسية   Main List,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30b: Distribution of ATMs by Bank,,,,,,,,,,,جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف,,Contd. 2 table 30b: Distribution of ATMs by Bank,,,,,,,,,,,,تابع 2 جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف
,,,,,,,,,,,,,,,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك ,بنك الإمارات ,بنك ,بنك ,مصرف,بنك ,بنك,بنك,بنك قطر, أخرى **,المجموع
الفترة,,السعودي***,,الفرنسي,الوطني,الأول*,الجزيرة,,للإستثمار,الراجحي,المالية ***,,الفترة,,البلاد ,دبي الوطني,الكويت الوطني,مسقط,الإنماء, البحرين الوطني,الخليج الدولي,أبو ظبي الأول,الوطني,,
End of,, Saudi National ,Riyad, Banque Saudi ,The Arab,Saudi Awwal,Bank,Alawwal,Saudi Investment,Al-Rajhi ,Samba,,End of,,AL-Bilad,Emirates, National Bank , Muscat,Alinma,  National Bank ,Gulf International,First Abu Dhabi,Qatar National, Others **,Total
Period,, Bank***,  Bank,Fransi,National Bank,Bank*, Al-Jazira,Bank*,Bank,Bank,Financial Group***,,Period,,Bank ,NBD,of Kuwait,Bank,Bank,of Bahrain,Bank,Bank,Bank,,
Q2,2002,649,412,141,265,181,20,121,61,742,208,,Q2,2002, ---, ---, ---, ---, ---, ---, ---,---,---,12,2812
Q3,2002,675,476,150,277,193,21,123,63,762,220,,Q3,2002, ---, ---, ---, ---, ---, ---, ---,---,---,12,2972
Q4,2002,710,505,149,283,207,23,125,74,800,232,,Q4,2002, ---, ---, ---, ---, ---, ---, ---,---,---,12,3120
Q1,2003,733,514,153,285,211,25,129,86,819,244,,Q1,2003, ---, ---, ---, ---, ---, ---, ---,---,---,12,3211
Q2,2003,755,539,155,293,219,26,132,92,835,259,,Q2,2003, ---, ---, ---, ---, ---, ---, ---,---,---,12,3317
Q3,2003,763,550,160,301,224,26,134,93,895,268,,Q3,2003, ---, ---, ---, ---, ---, ---, ---,---,---,12,3426
Q4,2003,810,556,162,312,234,25,136,94,1060,275,,Q4,2003, ---, ---, ---, ---, ---, ---, ---,---,---,12,3676
Q1,2004,842,566,164,325,236,25,137,103,1090,291,,Q1,2004, ---, ---, ---, ---, ---, ---, ---,---,---,12,3791
Q2,2004,869,574,168,342,238,26,136,106,1126,302,,Q2,2004, ---, ---, ---, ---, ---, ---, ---,---,---,12,3899
Q3,2004,876,586,169,356,239,25,140,110,1141,311,,Q3,2004, ---, ---, ---, ---, ---, ---, ---,---,---,12,3965
Q4,2004,892,619,174,381,240,27,144,123,1175,316,,Q4,2004, ---,1, ---, ---, ---, ---, ---,---,---,12,4104
Q1,2005,890,627,178,404,243,31,144,133,1200,320,,Q1,2005, ---,1, ---, ---, ---, ---, ---,---,---,12,4183
Q2,2005,912,649,185,411,244,46,149,137,1264,327,,Q2,2005,11,1, ---, ---, ---, ---, ---,---,---,12,4348
Q3,2005,911,660,186,404,254,53,152,139,1284,342,,Q3,2005,21,1, ---, ---, ---, ---, ---,---,---,12,4419
Q4,2005,931,687,194,417,258,61,155,141,1338,362,,Q4,2005,31,1, ---, ---, ---, ---, ---,---,---,12,4588
Q1,2006,944,785,199,423,258,73,158,142,1482,368,,Q1,2006,80,1, ---, ---, ---, ---, ---,---,---,12,4925
Q2,2006,992,1011,206,434,266,85,161,158,1530,382,,Q2,2006,139,1, ---, ---, ---, ---, ---,---,---,12,5377
Q3,2006,1031,1162,211,487,281,94,164,169,1566,392,,Q3,2006,194,1, ---, ---, ---, ---, ---,---,---,12,5764
Q4,2006,1048,1262,222,534,308,112,166,184,1592,398,,Q4,2006,240,1, ---, ---, ---, ---, ---,---,---,12,6079
Q1,2007,1097,1336,226,579,336,127,169,209,1715,411,,Q1,2007,300,1,1,3, ---, ---, ---,---,---,12,6522
Q2,2007,1141,1358,231,629,362,130,170,218,1798,423,,Q2,2007,376,1,1,3, ---, ---, ---,---,---,12,6853
Q3,2007,1169,1442,237,676,383,158,174,218,1850,430,,Q3,2007,396,3,2,3, ---, ---, ---,---,---,12,7153
Q4,2007,1184,1562,320,705,401,190,179,221,1921,438,,Q4,2007,400,5,2,3, ---, ---, ---,---,---,12,7543
Q1,2008,1238,1811,250,708,420,278,183,227,2004,443,,Q1,2008,404,5,2,3, ---, ---, ---,---,---,12,7988
Q2,2008,1279,1867,264,759,430,290,183,239,2089,457,,Q2,2008,405,5,2,3, ---, ---, ---,---,---,12,8284
Q3,2008,1328,1968,269,794,438,307,190,244,2187,469,,Q3,2008,412,5,2,3, ---, ---, ---,---,---,12,8628
Q4,2008,1384,2027,274,842,452,314,169,247,2266,476,,Q4,2008,420,5,2,3, ---, ---, ---,---,---,12,8893
Q1,2009,1426,2181,284,870,464,318,201,251,2318,487,,Q1,2009,431,10,2,3, ---, ---, ---,---,---,12,9258
Q2,2009,1467,2258,303,886,468,322,216,259,2382,490,,Q2,2009,434,10,2,4, ---, ---,,---,---,12,9513
Q3,2009,1471,2354,317,899,465,282,219,271,2431,494,,Q3,2009,436,12,2,4,65,1,,---,---,12,9735
Q4,2009,1485,2433,330,899,474,296,221,293,2460,496,,Q4,2009,450,12,2,4,82,1, ---,---,---,12,9950
Q1,2010,1542,2511,338,910,479,300,225,300,2514,497,,Q1,2010,458,13,2,4,110,1, ---,---,---,12,10216
Q2,2010,1569,2534,351,922,492,306,229,310,2612,498,,Q2,2010,467,14,2,4,139,1, ---,---,---,12,10462
Q3,2010,1589,2565,363,925,501,309,233,317,2672,506,,Q3,2010,490,15,2,4,155,1, ---,---,---,12,10659
Q4,2010,1626,2576,385,927,510,308,245,324,2750,512,,Q4,2010,497,15,2,5,190,1, ---,---,---,12,10885
Q1,2011,1656,2592,396,929,502,305,255,330,2812,513,,Q1,2011,503,15,2,5,243,1, ---,---,---,12,11071
Q2,2011,1702,2579,401,930,509,304,256,327,2920,512,,Q2,2011,521,15,2,6,303,1, ---,---,---,12,11300
Q3,2011,1742,2587,413,932,514,307,256,331,2986,518,,Q3,2011,540,15,2,6,355,1, ---,---,---,12,11517
Q4,2011,1791,2594,437,935,524,318,257,334,3034,520,,Q4,2011,586,15,2,6,400,1, ---,---,---,12,11766
Q1,2012,1824,2594,454,846,521,320,253,354,3090,518,,Q1,2012,613,15,2,6,450,1, ---,---,---,12,11873
Q2,2012,1858,2602,472,850,531,313,251,365,3182,528,,Q2,2012,652,15,2,6,510,1, ---,---,---,12,12150
Q3,2012,1884,2615,474,864,544,327,259,371,3254,529,,Q3,2012,686,15,1,6,589,1, ---,---,---,12,12431
Q4,2012,1960,2591,482,886,569,350,257,379,3297,528,,Q4,2012,728,15,1,6,650,1, ---,---,---,12,12712
Q1,2013,2026,2562,489,910,593,350,265,399,3387,532,,Q1,2013,755,15,1,6,700,1, ---,---,---,12,13003
Q2,2013,2103,2563,487,931,608,349,267,405,3441,534,,Q2,2013,775,16,1,6,732,1, ---,---,---,12,13231
Q3,2013,2139,2526,490,964,635,353,266,413,3552,536,,Q3,2013,825,16,1,4,784,1, ---,---,---,12,13517
Q4,2013,2252,2520,490,995,667,369,268,419,3644,540,,Q4,2013,856,16,1,4,829,1, ---,---,---,12,13883
Q1,2014,2324,2542,489,1022,708,408,271,399,3748,545,,Q1,2014,886,17,1,4,877,1, ---,---,---,12,14254
Q2,2014,2387,2545,476,1051,771,452,302,403,3868,545,,Q2,2014,924,17,1,4,921,1, ---,---,---,12,14680
Q3,2014,2478,2548,481,1081,817,489,305,421,3928,544,,Q3,2014,933,17,1,4,968,1, ---,---,---,12,15028
Q4,2014,2643,2551,471,1110,854,511,382,442,3997,543,,Q4,2014,953,18,1,4,1022,1, ---,---,---,13,15516
Q1,2015,2810,2581,563,1225,890,533,400,473,4014,552,,Q1,2015,937,6,1,3,1051,1,6,---,---,13,16059
Q2,2015,2820,2698,558,1239,912,583,404,491,4050,553,,Q2,2015,925,6,1,3,1091,1,6,---,---,13,16354
Q3,2015,2921,2782,556,1241,938,594,454,498,4088,557,,Q3,2015,919,6,1,3,1121,1,6,---,---,13,16699
Q4,2015,3107,2929,551,1255,977,611,500,500,4121,561,,Q4,2015,914,8,1,2,1166,1,6,---,---,13,17223
Q1,2016,3143,2807,551,1256,977,607,506,519,4175,558,,Q1,2016,915,7,1,0,1209,1,6,---,---,13,17251
Q2,2016,3166,2735,546,1265,971,614,504,506,4254,556,,Q2,2016,903,8,1,0,1242,1,6,---,---,13,17291
Q3,2016,3266,2735,546,1262,968,614,511,497,4323,552,,Q3,2016,908,8,1,0,1288,1,6,---,---,13,17499
Q4,2016,3477,2667,550,1266,966,621,560,500,4475,540,,Q4,2016,896,8,1,0,1340,1,6,---,---,13,17887
Q1,2017,3602,2550,547,1269,955,613,574,511,4627,538,,Q1,2017,917,8,1,0,1367,1,6,---,---,3,18089
Q2,2017,3732,2527,545,1264,954,613,583,507,4679,541,,Q2,2017,896,8,1,0,1368,1,6,---,---,0,18225
Q3,2017,3549,2593,545,1249,959,624,582,492,4745,544,,Q3,2017,871,8,1,0,1404,1,4,---,---,0,18171
Q4,2017,3630,2592,554,1274,933,630,586,488,4794,541,,Q4,2017,860,8,1,0,1437,1,4,---,---,0,18333
Q1,2018,3664,2582,555,1268,935,618,612,489,4854,539,,Q1,2018,853,10,1,0,1443,1,9,---,---,0,18433
Q2,2018,3706,2602,556,1262,930,620,609,493,4883,533,,Q2,2018,833,10,1,0,1442,1,9,---,---,0,18490
Q3,2018,3703,2609,560,1263,926,615,600,489,4918,530,,Q3,2018,834,12,1,0,1468,1,9,---,---,0,18538
Q4,2018,3729,2588,566,1243,925,618,617,499,5006,520,,Q4,2018,863,12,1,0,1488,1,9,---,---,0,18685
Q1,2019,3718,2550,574,1236,914,606,632,477,5095,519,,Q1,2019,882,17,1,0,1511,1,9,---,---,0,18742
Q2,2019,3770,2551,573,1233,1516,604,---,475,5142,516,,Q2,2019,896,17,3,0,1512,1,11,---,---,0,18820
Q3,2019,3741,2559,571,1241,1472,609,---,468,5190,534,,Q3,2019,910,17,4,0,1503,2,11,---,---,0,18832
Q4,2019,3723,2558,569,1236,1433,607,---,469,5215,540,,Q4,2019,971,17,4,0,1527,2,11,---,---,0,18882
