,,,,,,
القائمة الرئيسية   Main List,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,
Table 1: RIYAL - SDR  Exchange Rate,,,,,جدول 1:  سعر الـصرف للريال وحقوق السحب الخاصة,
,,,,,,
,,ريال سعودي لكل وحدة حقوق سحـب خاصة ,,وحـدة حقوق سحـب خاصة لكل ريال سعودي,,
الفترة,,Saudi Riyal per SDR,,SDR per Saudi Riyal,,
Period,,نهاية,متوسط,نهاية,متوسط,
,,End,Average,End,Average,
Q1,2023,5.04638,5.027111304347827,0.1981618506731558,0.19892858489797194,
Q2,2023,5.02816,5.028355238095238,0.19887990835613825,0.19887926941430692,
Q3,2023,4.91746,4.994935714285715,0.20335701764732197,0.20021888473640828,
Q4,2023,5.02074,4.95683695652174,0.1991738269657461,0.20175392884374688,
Q1,2024,4.98706,4.9915937999999995,0.20051894302454754,0.20033906284039582,
Q2,2024,4.93128,4.951931428571426,0.20278710598465308,0.20194322890188776,
Q3,2024,5.08639,5.015011176470589,0.19660309178022134,0.19941691175405252,
Q4,2024,4.8939,4.960939166666667,0.20433601013506608,0.20159168737450836,
Q1,2025,4.9837,4.919857555555557,0.20065413247185826,0.20327593940518227,
Q2,2025,5.15251,5.081448,0.19408016675367926,0.1968039181254892,
Q3,2025,5.14115,5.13355,0.19450901062991743,0.19479921478800688,
Q4,2025,5.13563,5.1113702040816325,0.19471807743159067,0.19564465761993402,
,,,,,,
2005-01-31T00:00:00,,5.70184,5.71577142857143,0.175381981956702,0.174957295972019,
2005-02-28T00:00:00,,5.74495,5.6907875,0.174065918763436,0.17572855196629,
2005-03-31T00:00:00,,5.66559,5.71994,0.176504124018858,0.174836946573057,
2005-04-30T00:00:00,,5.68793,5.6655705,0.175810883748569,0.176507288331669,
2005-05-31T00:00:00,,5.53103,5.61834947368421,0.180798151519699,0.178000737215664,
2005-06-30T00:00:00,,5.4623,5.5013745,0.183073064460026,0.18177619726478,
2005-07-31T00:00:00,,5.43789,5.4359845,0.183894856276975,0.183961270861066,
2005-08-31T00:00:00,,5.47438,5.50093434782609,0.182669087640975,0.181789200407097,
2005-09-30T00:00:00,,5.43549,5.49771363636364,0.183976053676853,0.181905130479986,
2005-10-31T00:00:00,,5.42173,5.42026761904762,0.184442972999393,0.184494138242676,
2005-11-30T00:00:00,,5.34051,5.35119666666667,0.187248034363759,0.186879528959811,
2005-12-31T00:00:00,,5.35975,5.36709590909091,0.18657586641168,0.186325607445176,
2006-01-31T00:00:00,,5.42023,5.42608954545454,0.184494015936593,0.18429892335514,
2006-02-28T00:00:00,,5.38135,5.3835505,0.185826976502179,0.185752317057013,
2006-03-31T00:00:00,,5.40316,5.39643086956522,0.185076880936341,0.185309477651851,
2006-04-30T00:00:00,,5.51648,5.44212,0.181275015952201,0.183758846922988,
2006-05-31T00:00:00,,5.60318,5.5829652173913,0.178470083059977,0.179120128044697,
2006-06-30T00:00:00,,5.54763,5.54258545454545,0.180257154857119,0.180426548943834,
2006-07-31T00:00:00,,5.56449,5.54133476190476,0.179710988787831,0.180464421924648,
2006-08-31T00:00:00,,5.58198,5.57631652173913,0.179147900924045,0.179330639221163,
2006-09-30T00:00:00,,5.53639,5.55601857142857,0.180623113617357,0.179986378540898,
2006-10-31T00:00:00,,5.55016,5.52641952380952,0.180174985946351,0.180950905337946,
2006-11-30T00:00:00,,5.65397,5.58636681818182,0.176866874072554,0.179013271379591,
2006-12-31T00:00:00,,5.64149,5.654555,0.177258135705284,0.176850392784722,
2007-01-31T00:00:00,,5.58806,5.60516727272727,0.178952981893537,0.178408636896292,
2007-02-28T00:00:00,,5.64267,5.6142675,0.1772210673316,0.178119005300552,
2007-03-31T00:00:00,,5.66319,5.65335181818182,0.176578924599033,0.176887538315989,
2007-04-30T00:00:00,,5.72151,5.6985195,0.174779035604237,0.175486683935047,
2007-05-31T00:00:00,,5.67321,5.69076043478261,0.176267051633907,0.175724680463021,
2007-06-30T00:00:00,,5.6834,5.66748142857143,0.175951015237358,0.176446433371957,
2007-07-31T00:00:00,,5.74208,5.73421227272727,0.174152920196166,0.174393962828975,
2007-08-31T00:00:00,,5.74736,5.73532739130435,0.173992928927368,0.17435932578381,
2007-09-30T00:00:00,,5.83744,5.7889455,0.171307970617257,0.172747700748671,
2007-10-31T00:00:00,,5.89456,5.8440047826087,0.169647946581255,0.171118422668425,
2007-11-30T00:00:00,,5.96317,5.94917545454545,0.167696040864171,0.168094244988398,
2007-12-31T00:00:00,,5.9193,5.90594368421053,0.16893889480175,0.169327058684224,
2008-01-31T00:00:00,,5.98226,5.93984863636364,0.167160905744652,0.168356275246598,
2008-02-29T00:00:00,,6.0396,5.94591523809524,0.165573879064839,0.168188801248378,
2008-03-31T00:00:00,,6.16686,6.12093380952381,0.162157078318626,0.16338271379457,
2008-04-30T00:00:00,,6.08917,6.13693090909091,0.164225994675793,0.162950516684421,
2008-05-31T00:00:00,,6.07759,6.08923954545455,0.164538904401251,0.164226857651992,
2008-06-30T00:00:00,,6.12606,6.07155714285714,0.163237056117635,0.164705472029684,
2008-07-31T00:00:00,,6.07833,6.11575869565217,0.164518872782491,0.163514693961938,
2008-08-31T00:00:00,,5.88703,5.94769578947368,0.169864940385899,0.168155548995617,
2008-09-30T00:00:00,,5.83959,5.83365090909091,0.17124489904257,0.171430227311589,
2008-10-31T00:00:00,,5.5811,5.67991,0.179176148071169,0.17609187423573,
2008-11-30T00:00:00,,5.57989,5.56048842105263,0.179215002446285,0.179845026582283,
2008-12-31T00:00:00,,5.77601,5.70467181818182,0.173129894165696,0.175364912626177,
2009-01-31T00:00:00,,5.59472,5.66159666666667,0.178739954814539,0.176643224678749,
2009-02-28T00:00:00,,5.50261,5.5712845,0.181731941751278,0.179499105411706,
2009-03-31T00:00:00,,5.60654,5.56224181818182,0.1783631259208,0.179814043409567,
2009-04-30T00:00:00,,5.61687,5.59539454545454,0.178035097839188,0.178721347901494,
2009-05-31T00:00:00,,5.80518,5.7073445,0.172259947150648,0.175231053560857,
2009-06-30T00:00:00,,5.82086,5.79352,0.171795920190487,0.1726109988121,
2009-07-31T00:00:00,,5.82499,5.81972782608695,0.171674114461999,0.17183170998804,
2009-08-31T00:00:00,,5.87275,5.8508480952381,0.170277978800392,0.170917650055371,
2009-09-30T00:00:00,,5.94142,5.91694772727273,0.168309932642365,0.16901141779678,
2009-10-31T00:00:00,,5.9621,5.96095681818182,0.167726136763892,0.167760713342387,
2009-11-30T00:00:00,,6.03817,5.9996219047619,0.165613091383648,0.166680196880703,
2009-12-31T00:00:00,,5.87883,5.93577454545455,0.170101874012346,0.168488890172447,
2010-01-31T00:00:00,,5.82822,5.8685815,0.171578972653743,0.170401846477876,
2010-02-28T00:00:00,,5.74719,5.76800789473684,0.173998075581284,0.173374626951729,
2010-03-31T00:00:00,,5.6934,5.72801869565217,0.175641971405487,0.174584556512932,
2010-04-30T00:00:00,,5.66669,5.68943181818182,0.176469861594688,0.175766910043138,
2010-05-31T00:00:00,,5.52874,5.549525,0.180873037979721,0.180207559716835,
2010-06-30T00:00:00,,5.54585,5.50616181818182,0.180315010323034,0.181620278551094,
2010-07-31T00:00:00,,5.69444,5.6422495,0.175609893158941,0.177243557206335,
2010-08-31T00:00:00,,5.65841,5.69181409090909,0.176728091460322,0.17569776766107,
2010-09-30T00:00:00,,5.8357,5.72637714285714,0.171359048614562,0.174645433331477,
2010-10-31T00:00:00,,5.89421,5.8873015,0.169658020328424,0.169859889699389,
2010-11-30T00:00:00,,5.72167,5.857552,0.174774148107109,0.170739450232492,
2010-12-31T00:00:00,,5.77514,5.75855857142857,0.173155975439556,0.173656362168979,
2011-01-31T00:00:00,,5.85727,5.800027,0.170728001270216,0.172426331999706,
2011-02-28T00:00:00,,5.89894,5.86084368421053,0.169521981915395,0.170626782119617,
2011-03-31T00:00:00,,5.94566,5.92548956521739,0.168189906587326,0.168765317759258,
2011-04-30T00:00:00,,6.07858,5.993292,0.164512106445913,0.166861647567196,
2011-05-31T00:00:00,,6.00287,5.99111238095238,0.166586982560009,0.166925041744755,
2011-06-30T00:00:00,,6.00168,5.99657272727273,0.166620013063009,0.166766004278408,
2011-07-31T00:00:00,,5.99625,5.979959,0.166770898478216,0.167230021238437,
2011-08-31T00:00:00,,6.03511,6.0222052173913,0.16569706268817,0.166054137248264,
2011-09-30T00:00:00,,5.8561,5.90551285714286,0.170762111302744,0.169344209157024,
2011-10-31T00:00:00,,5.94714,5.899258,0.168148050995941,0.169524915451971,
2011-11-30T00:00:00,,5.81835,5.8742765,0.171870031881891,0.170238114019593,
2011-12-31T00:00:00,,5.75725,5.79784047619048,0.173694037952147,0.172483885528222,
2012-01-31T00:00:00,,5.81656,5.75997,0.17192292351493,0.17361624420649,
2012-02-29T00:00:00,,5.83509,5.809581,0.171376962480442,0.172130938194068,
