,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,
,,,,
,,,,
,,,,
Table 5: Monetary Ratios,,,,جدول 5  : نــســـــــب نـقـــــديــــــــة 
(Percentage Shares),,,,(نـسـب مـئـوية)
نهاية الفترة,,النقد المتداول خارج المصارف / ن3,ن1/ ن3,ن2/ ن3
End of Period,,Currency Outside Banks /M3,M1/M3,M2/M3
Q4,2022,8.013462673162135,61.23840664636347,87.47755123766834
Q1,2023,7.9573343406906,59.883198427271836,86.6604300358717
Q2,2023,8.300549778613002,58.14568912023842,87.09784696464271
Q3,2023,7.808944293696525,57.76129381006933,88.2236673197238
Q4,2023,7.890420797978345,56.76053465420071,88.93777798129241
Q1,2024,8.056348264397531,57.88783684241906,87.75059006212742
Q2,2024,7.906529413487464,56.942984047403385,88.1193946038987
Q3,2024,7.636125078481562,56.64858149191843,88.81483247142019
Q4,2024,7.841532325830417,57.153675481879475,89.66152780902921
Q1,2025,8.231192732228818,56.071661424884,91.26707907849944
Q2,2025,7.830441403961694,55.75586744081955,91.00829652800121
Q3,2025,7.481542978816402,54.06678691849063,90.40445442480986
Q4,2025,7.638343339099951,52.85363600501282,89.90915778678007
,,,,
1993-01-31T00:00:00,,19.27040418827469,55.92646748553166,76.15803364806843
1993-02-28T00:00:00,,19.18405152881298,54.990950800933504,74.50094807903137
1993-03-31T00:00:00,,19.953890730535175,56.55521354578321,76.15610334488154
1993-04-30T00:00:00,,19.863333233106843,56.39944516367702,76.00285422039553
1993-05-31T00:00:00,,20.72938404550369,57.15026278030123,76.7236778287758
1993-06-30T00:00:00,,19.850031581416946,56.890766085177766,76.02583487073186
1993-07-31T00:00:00,,19.40874190109167,56.91112660538447,76.19310091638114
1993-08-31T00:00:00,,18.40708615773065,55.350602663788194,74.6421032182043
1993-09-30T00:00:00,,18.23082656301198,55.35744753606456,74.59943069556414
1993-10-31T00:00:00,,18.456282229582452,53.892349741706525,73.70951357245352
1993-11-30T00:00:00,,18.400177895480844,53.39693682891874,73.42810810354874
1993-12-31T00:00:00,,18.659610992727142,53.192054481964824,74.15859035560686
1994-01-31T00:00:00,,18.428271362576133,53.598282233504555,74.28229295892771
1994-02-28T00:00:00,,19.741539518786887,55.66959315361646,75.6010239580584
1994-03-31T00:00:00,,19.333872721755093,54.033382847298384,75.08659534288881
1994-04-30T00:00:00,,19.40422680684475,54.566224599200005,75.45177805303462
1994-05-31T00:00:00,,19.331431980094287,54.66106384274176,75.27044028240859
1994-06-30T00:00:00,,19.23593369969665,54.60578081366347,75.26551833182495
1994-07-31T00:00:00,,19.115778395008945,55.129546122085834,75.36255934682777
1994-08-31T00:00:00,,18.613636501712374,54.576251860411716,74.89193790168017
1994-09-30T00:00:00,,18.147133180614993,53.96679697361495,74.78921468357291
1994-10-31T00:00:00,,18.556577227093555,53.64963520059535,74.6544117266544
1994-11-30T00:00:00,,19.088860624251865,53.849785199635505,75.19188315566461
1994-12-31T00:00:00,,19.034374239007327,53.187124078865175,74.95274173055209
1995-01-31T00:00:00,,19.213834200019303,52.941130836086735,74.90277876897777
1995-02-28T00:00:00,,20.018300788424025,53.28025353568891,75.71776787357489
1995-03-31T00:00:00,,19.196742091108636,53.27378184257397,75.85102536995191
1995-04-30T00:00:00,,19.6611613473012,53.35095913300033,75.57286708254534
1995-05-31T00:00:00,,19.22890060003785,53.431857898501654,76.38161102864622
1995-06-30T00:00:00,,19.10097159884995,53.403023657221205,76.28405931712918
1995-07-31T00:00:00,,18.804206837021578,52.88801222963725,76.4149869847578
1995-08-31T00:00:00,,18.267687860074787,51.49828910253875,75.74300172179575
1995-09-30T00:00:00,,17.786017484094952,51.740312986498374,76.07197024608656
1995-10-31T00:00:00,,17.848952322936647,51.83247654814416,76.25549103139916
1995-11-30T00:00:00,,17.888216221847326,52.1399127448454,76.92056089961308
