,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,
Table 27c: SARIE Messages (Bulk Transactions)*,,,,,,,,جدول 27c:  عدد رسائل ســريــع (عمليات مجمعة)*,
,,,,,,,,,
,, مدفوعات العملاء ,,,مدفوعات ما بين المصارف,,,,
الفترة,,Customer Payments,,,Interbank Payments,,,المجموع,
,,مجمعة,مفردة,مجموع,مجمعة,مفردة,مجموع,Total,
Period,,,,Total,,,Total,(1+2),
,,Bulk,Single,(1),Bulk,Single,(2),,
2004-11-30T00:00:00,,17493,76243,93736,309,12682,12991,106727,
2004-12-31T00:00:00,,19147,87892,107039,425,15449,15874,122913,
2005-01-31T00:00:00,,17504,73818,91322,294,14375,14669,105991,
2005-02-28T00:00:00,,17375,78096,95471,375,14076,14451,109922,
2005-03-31T00:00:00,,20477,99274,119751,443,18650,19093,138844,
2005-04-30T00:00:00,,27376,89146,116522,379,17212,17591,134113,
2005-05-31T00:00:00,,19553,98932,118485,378,16761,17139,135624,
2005-06-30T00:00:00,,21013,100752,121765,385,17196,17581,139346,
2005-07-31T00:00:00,,31096,102607,133703,454,19611,20065,153768,
2005-08-31T00:00:00,,21287,97070,118357,415,19070,19485,137842,
2005-09-30T00:00:00,,20119,88187,108306,417,14961,15378,123684,
2005-10-31T00:00:00,,27560,121976,149536,468,20339,20807,170343,
2005-11-30T00:00:00,,20073,83665,103738,332,17026,17358,121096,
2005-12-31T00:00:00,,23846,124846,148692,533,18008,18541,167233,
2006-01-31T00:00:00,,20781,113773,134554,490,15122,15612,150166,
2006-02-28T00:00:00,,21791,121333,143124,515,16523,17038,160162,
2006-03-31T00:00:00,,25572,125005,150577,553,20869,21422,171999,
2006-04-30T00:00:00,,24571,128963,153534,521,18865,19386,172920,
2006-05-31T00:00:00,,28682,132565,161247,571,21317,21888,183135,
2006-06-30T00:00:00,,26095,122618,148713,532,17620,18152,166865,
2006-07-31T00:00:00,,26925,135611,162536,487,26290,26777,189313,
2006-08-31T00:00:00,,28126,126258,154384,531,21968,22499,176883,
2006-09-30T00:00:00,,24777,124253,149030,511,15894,16405,165435,
2006-10-31T00:00:00,,27433,122976,150409,470,15502,15972,166381,
2006-11-30T00:00:00,,29304,122461,151765,556,18533,19089,170854,
2006-12-31T00:00:00,,32522,135240,167762,545,21174,21719,189481,
2007-01-31T00:00:00,,28022,118862,146884,567,17786,18353,165237,
2007-02-28T00:00:00,,31870,118021,149891,676,18289,18965,168856,
2007-03-31T00:00:00,,33694,142538,176232,600,17998,18598,194830,
2007-04-30T00:00:00,,38278,139982,178260,685,23658,24343,202603,
2007-05-31T00:00:00,,40900,153111,194011,680,23650,24330,218341,
2007-06-30T00:00:00,,39929,150720,190649,706,22783,23489,214138,
2007-07-31T00:00:00,,41044,164896,205940,944,49582,50526,256466,
2007-08-31T00:00:00,,37201,140495,177696,767,21042,21809,199505,
2007-09-30T00:00:00,,34725,156833,191558,748,19448,20196,211754,
2007-10-31T00:00:00,,35120,146505,181625,655,17787,18442,200067,
2007-11-30T00:00:00,,38495,151964,190459,764,22206,22970,213429,
2007-12-31T00:00:00,,39994,163040,203034,643,19565,20208,223242,
2008-01-31T00:00:00,,42739,174716,217455,786,22365,23151,240606,
2008-02-29T00:00:00,,40345,168312,208657,670,21339,22009,230666,
2008-03-31T00:00:00,,52761,199422,252183,793,27245,28038,280221,
2008-04-30T00:00:00,,49058,189319,238377,765,26241,27006,265383,
2008-05-31T00:00:00,,65226,194770,259996,768,34187,34955,294951,
2008-06-30T00:00:00,,56294,216236,272530,752,23646,24398,296928,
2008-07-31T00:00:00,,58656,227102,285758,809,26954,27763,313521,
2008-08-31T00:00:00,,53526,206509,260035,769,22878,23647,283682,
2008-09-30T00:00:00,,51737,202579,254316,642,22360,23002,277318,
2008-10-31T00:00:00,,45583,171488,217071,627,21493,22120,239191,
2008-11-30T00:00:00,,62392,214797,277189,873,25060,25933,303122,
2008-12-31T00:00:00,,56711,199588,256299,608,21354,21962,278261,
2009-01-31T00:00:00,,54412,208490,262902,699,22098,22797,285699,
2009-02-28T00:00:00,,53071,199860,252931,734,20934,21668,274599,
2009-03-31T00:00:00,,63269,240894,304163,836,25010,25846,330009,
2009-04-30T00:00:00,,73156,221657,294813,857,33339,34196,329009,
2009-05-31T00:00:00,,64546,234948,299494,725,27584,28309,327803,
2009-06-30T00:00:00,,64539,242058,306597,794,24282,25076,331673,
2009-07-31T00:00:00,,66188,239296,305484,753,25745,26498,331982,
2009-08-31T00:00:00,,67379,245422,312801,846,22891,23737,336538,
2009-09-30T00:00:00,,51354,182198,233552,713,21711,22424,255976,
2009-10-31T00:00:00,,65058,210719,275777,1033,27494,28527,304304,
2009-11-30T00:00:00,,67843,211503,279346,996,25325,26321,305667,
2009-12-31T00:00:00,,71365,221419,292784,984,22302,23286,316070,
2010-01-31T00:00:00,,65964,226389,292353,965,22370,23335,315688,
2010-02-28T00:00:00,,67298,215728,283026,835,20305,21140,304166,
2010-03-31T00:00:00,,81705,264402,346107,962,24304,25266,371373,
2010-04-30T00:00:00,,79800,240170,319970,986,22549,23535,343505,
2010-05-31T00:00:00,,85249,274338,359587,1009,26055,27064,386651,
2010-06-30T00:00:00,,78636,271325,349961,935,25118,26053,376014,
2010-07-31T00:00:00,,81969,240709,322678,949,26462,27411,350089,
2010-08-31T00:00:00,,95247,296018,391265,815,22849,23664,414929,
2010-09-30T00:00:00,,49595,202640,252235,621,17328,17949,270184,
2010-10-31T00:00:00,,79150,275685,354835,972,21789,22761,377596,
2010-11-30T00:00:00,,74759,243623,318382,768,18426,19194,337576,
2010-12-31T00:00:00,,95437,286922,382359,1090,24425,25515,407874,
2011-01-31T00:00:00,,101237,292321,393558,1077,22808,23885,417443,
2011-02-28T00:00:00,,79098,233378,312476,933,21096,22029,334505,
2011-03-31T00:00:00,,110523,301168,411691,1194,26823,28017,439708,
2011-04-30T00:00:00,,121121,307402,428523,1026,30862,31888,460411,
2011-05-31T00:00:00,,113732,319174,432906,1226,29053,30279,463185,
2011-06-30T00:00:00,,101766,295899,397665,1098,26366,27464,425129,
2011-07-31T00:00:00,,101957,305061,407018,1109,25584,26693,433711,
2011-08-31T00:00:00,,105197,298392,403589,926,24796,25722,429311,
2011-09-30T00:00:00,,85539,258546,344085,940,23571,24511,368596,
2011-10-31T00:00:00,,111969,361596,473565,1239,27341,28580,502145,
2011-11-30T00:00:00,,95905,281055,376960,877,23358,24235,401195,
2011-12-31T00:00:00,,124359,330000,454359,1148,28089,29237,483596,
2012-01-31T00:00:00,,113594,336145,449739,1145,30063,31208,480947,
2012-02-29T00:00:00,,114050,326730,440780,1090,26321,27411,468191,
2012-03-31T00:00:00,,125046,347600,472646,1249,33627,34876,507522,
2012-04-30T00:00:00,,135693,356997,492690,1221,29018,30239,522929,
2012-05-31T00:00:00,,138583,372325,510908,1304,33157,34461,545369,
2012-06-30T00:00:00,,126072,359911,485983,1148,27695,28843,514826,
2012-07-31T00:00:00,,138094,391190,529284,1227,30658,31885,561169,
2012-08-31T00:00:00,,121686,325685,447371,1190,48879,50069,497440,
2012-09-30T00:00:00,,124044,365783,489827,1213,32219,33432,523259,
2012-10-31T00:00:00,,134109,379009,513118,1153,26272,27425,540543,
2012-11-30T00:00:00,,124223,354753,478976,1098,25001,26099,505075,
2012-12-31T00:00:00,,153589,466376,619965,1300,30481,31781,651746,
2013-01-31T00:00:00,,141342,436046,577388,1289,33915,35204,612592,
2013-02-28T00:00:00,,133199,401951,535150,1122,27700,28822,563972,
2013-03-31T00:00:00,,154075,441492,595567,1292,32518,33810,629377,
2013-04-30T00:00:00,,152282,438956,591238,1230,33722,34952,626190,
2013-05-31T00:00:00,,164078,445939,610017,1335,34527,35862,645879,
2013-06-30T00:00:00,,151722,451587,603309,1275,30617,31892,635201,
2013-07-31T00:00:00,,182616,520931,703547,1250,37768,39018,742565,
2013-08-31T00:00:00,,110719,336196,446915,999,29169,30168,477083,
2013-09-30T00:00:00,,158418,446719,605137,1207,29368,30575,635712,
2013-10-31T00:00:00,,178763,456614,635377,1216,29489,30705,666082,
2013-11-30T00:00:00,,152963,411330,564293,1090,27482,28572,592865,
2013-12-31T00:00:00,,198765,541081,739846,1448,33506,34954,774800,
2014-01-31T00:00:00,,176445,482879,659324,1250,33018,34268,693592,
2014-02-28T00:00:00,,154100,447976,602076,1052,29165,30217,632293,
2014-03-31T00:00:00,,193167,531996,725163,1346,37554,38900,764063,
2014-04-30T00:00:00,,196876,525044,721920,1304,34360,35664,757584,
2014-05-31T00:00:00,,193283,516404,709687,1333,32824,34157,743844,
2014-06-30T00:00:00,,202078,556769,758847,1389,34904,36293,795140,
2014-07-31T00:00:00,,199867,542050,741917,1301,35776,37077,778994,
2014-08-31T00:00:00,,153601,436363,589964,1194,29851,31045,621009,
2014-09-30T00:00:00,,163053,449059,612112,1139,31147,32286,644398,
2014-10-31T00:00:00,,168385,457242,625627,1118,31244,32362,657989,
2014-11-30T00:00:00,,203558,536445,740003,1032,34472,35504,775507,
2014-12-31T00:00:00,,264074,651190,915264,1235,45721,46956,962220,
2015-01-31T00:00:00,,194600,528142,722742,998,37818,38816,761558,
2015-02-28T00:00:00,,239068,629566,868634,994,38062,39056,907690,
2015-03-31T00:00:00,,256704,685030,941734,1229,41796,43025,984759,
2015-04-30T00:00:00,,258916,656322,915238,1217,52497,53714,968952,
2015-05-31T00:00:00,,245042,667464,912506,1255,45724,46979,959485,
2015-06-30T00:00:00,,255254,717515,972769,1150,40618,41768,1014537,
2015-07-31T00:00:00,,242284,645328,887612,1046,37021,38067,925679,
2015-08-31T00:00:00,,260591,685408,945999,1193,44327,45520,991519,
2015-09-30T00:00:00,,244041,620199,864240,1048,33962,35010,899250,
2015-10-31T00:00:00,,247882,625293,873175,1127,33209,34336,907511,
2015-11-30T00:00:00,,269044,739264,1008308,1208,33696,34904,1043212,
2015-12-31T00:00:00,,276250,843787,1120037,1232,42219,43451,1163488,
2016-01-31T00:00:00,,242857,713803,956660,1167,37052,38219,994879,
2016-02-29T00:00:00,,237655,695787,933442,1213,36266,37479,970921,
2016-03-31T00:00:00,,256832,800716,1057548,1374,45082,46456,1104004,
2016-04-30T00:00:00,,220040,709217,929257,1257,52404,53661,982918,
2016-05-31T00:00:00,,259679,845587,1105266,1363,49267,50630,1155896,
2016-06-30T00:00:00,,273782,923824,1197606,1234,48970,50204,1247810,
2016-07-31T00:00:00,,151840,578697,730537,990,34192,35182,765719,
2016-08-31T00:00:00,,259170,842383,1101553,1367,42408,43775,1145328,
2016-09-30T00:00:00,,180323,670296,850619,942,36606,37548,888167,
2016-10-31T00:00:00,,224260,801159,1025419,1189,40460,41649,1067068,
2016-11-30T00:00:00,,229254,796738,1025992,1259,39208,40467,1066459,
2016-12-31T00:00:00,,241963,815197,1057160,1192,38449,39641,1096801,
2017-01-31T00:00:00,,235352,870227,1105579,1344,44458,45802,1151381,
2017-02-28T00:00:00,,205715,764155,969870,1091,34884,35975,1005845,
2017-03-31T00:00:00,,244818,909704,1154522,1261,41584,42845,1197367,
2017-04-30T00:00:00,,229339,896591,1125930,1254,45883,47137,1173067,
2017-05-31T00:00:00,,251033,1019900,1270933,1400,57805,59205,1330138,
2017-06-30T00:00:00,,234784,872238,1107022,1278,63817,65095,1172117,
2017-07-31T00:00:00,,213554,781026,994580,1453,42312,43765,1038345,
2017-08-31T00:00:00,,276119,962470,1238589,3295,45122,48417,1287006,
2017-09-30T00:00:00,,184160,616709,800869,2122,30831,32953,833822,
2017-10-31T00:00:00,,290571,887299,1177870,3060,60873,63933,1241803,
2017-11-30T00:00:00,,270514,892981,1163495,2400,41450,43850,1207345,
2017-12-31T00:00:00,,312775,865739,1178514,3630,39868,43498,1222012,
2018-01-31T00:00:00,,300092,804370,1104462,2904,46403,49307,1153769,
2018-02-28T00:00:00,,252650,727905,980555,2556,38627,41183,1021738,
2018-03-31T00:00:00,,289450,838229,1127679,2544,47556,50100,1177779,
2018-04-30T00:00:00,,313145,893735,1206880,2617,62361,64978,1271858,
2018-05-31T00:00:00,,339378,956368,1295746,2744,56430,59174,1354920,
2018-06-30T00:00:00,,247713,722976,970689,1913,36420,38333,1009022,
2018-07-31T00:00:00,,328341,967866,1296207,2610,46908,49518,1345725,
2018-08-31T00:00:00,,282017,851424,1133441,2067,36930,38997,1172438,
2018-09-30T00:00:00,,270982,869968,1140950,2012,40369,42381,1183331,
2018-10-31T00:00:00,,313670,1015357,1329027,2429,47505,49934,1378961,
2018-11-30T00:00:00,,291874,959452,1251326,2233,42108,44341,1295667,
2018-12-31T00:00:00,,352800,1102853,1455653,2519,45496,48015,1503668,
2019-01-31T00:00:00,,335036,1123174,1458210,2558,46655,49213,1507423,
2019-02-28T00:00:00,,283858,978948,1262806,2308,42027,44335,1307141,
