,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,
Table 29c: Remittance Services Centers,,,,,,,,,,جدول 29c: مراكز الحوالات,
,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك العربي,بنك الجزيرة,مصرف الراجحي,مجموعة سامبا,بنك البلاد,مصرف الإنماء,المجموع,
الفترة,,السعودي*,,الوطني,,,المالية *,,,,
End of,,Saudi National ,Riyad,The Arab, Bank ,Al-Rajhi ,Samba,Bank,Alinma,Total ,
Period,,Bank*,  Bank,National Bank,Al-Jazira,Bank,Financial Group *, Albilad ,Bank,,
2004-09-30T00:00:00,,---,---,15,---,34,26,---,---,75,
2004-10-31T00:00:00,,---,---,15,---,34,27,---,---,76,
2004-11-30T00:00:00,,---,---,15,---,36,27,---,---,78,
2004-12-31T00:00:00,,---,---,15,---,39,27,---,---,81,
2005-01-31T00:00:00,,---,---,18,---,40,27,---,---,85,
2005-02-28T00:00:00,,---,---,18,---,40,27,---,---,85,
2005-03-31T00:00:00,,---,---,18,---,41,27,---,---,86,
2005-04-30T00:00:00,,---,---,20,---,41,27,---,---,88,
2005-05-31T00:00:00,,---,---,21,---,42,28,6,---,97,
2005-06-30T00:00:00,,---,---,21,---,44,28,13,---,106,
2005-07-31T00:00:00,,---,---,21,---,48,28,18,---,115,
2005-08-31T00:00:00,,---,---,22,---,51,28,20,---,121,
2005-09-30T00:00:00,,---,---,22,---,54,28,23,---,127,
2005-10-31T00:00:00,,---,---,22,---,56,29,39,---,146,
2005-11-30T00:00:00,,---,---,25,---,56,29,40,---,150,
2005-12-31T00:00:00,,---,---,25,---,58,29,60,---,172,
2006-01-31T00:00:00,,---,---,25,---,58,29,64,---,176,
2006-02-28T00:00:00,,---,---,27,---,58,29,64,---,178,
2006-03-31T00:00:00,,---,---,27,---,59,29,69,---,184,
2006-04-30T00:00:00,,---,---,28,---,59,29,72,---,188,
2006-05-31T00:00:00,,---,---,30,---,60,29,72,---,191,
2006-06-30T00:00:00,,---,---,32,---,61,29,72,---,194,
2006-07-31T00:00:00,,---,---,32,---,63,30,78,---,203,
2006-08-31T00:00:00,,---,---,32,---,65,30,78,---,205,
2006-09-30T00:00:00,,---,---,32,---,68,31,78,---,209,
2006-10-31T00:00:00,,---,---,32,---,68,31,78,---,209,
2006-11-30T00:00:00,,---,---,33,---,69,31,78,---,211,
2006-12-31T00:00:00,,---,---,36,---,73,31,78,---,218,
2007-01-31T00:00:00,,---,---,36,---,76,33,78,---,223,
2007-02-28T00:00:00,,---,---,36,---,84,33,78,---,231,
2007-03-31T00:00:00,,---,---,36,---,87,34,78,---,235,
2007-04-30T00:00:00,,---,---,38,---,89,34,78,---,239,
2007-05-31T00:00:00,,---,---,38,---,90,34,78,---,240,
2007-06-30T00:00:00,,---,---,38,---,99,34,80,---,251,
2007-07-31T00:00:00,,---,---,38,---,99,34,82,---,253,
2007-08-31T00:00:00,,---,---,39,---,99,34,82,---,254,
2007-09-30T00:00:00,,---,---,39,---,100,35,82,---,256,
2007-10-31T00:00:00,,---,---,41,---,101,35,82,---,259,
2007-11-30T00:00:00,,---,---,41,---,102,35,82,---,260,
2007-12-31T00:00:00,,---,---,41,---,107,35,82,---,265,
2008-01-31T00:00:00,,---,---,45,---,111,36,82,---,274,
2008-02-29T00:00:00,,---,---,46,---,113,36,82,---,277,
2008-03-31T00:00:00,,1,---,46,---,113,36,82,---,278,
2008-04-30T00:00:00,,1,---,46,---,113,36,82,---,278,
2008-05-31T00:00:00,,1,---,47,---,113,35,84,---,280,
2008-06-30T00:00:00,,1,---,47,---,114,35,84,---,281,
2008-07-31T00:00:00,,1,---,48,---,114,35,84,---,282,
2008-08-31T00:00:00,,1,---,48,---,116,35,84,---,284,
2008-09-30T00:00:00,,1,---,50,---,120,35,84,---,290,
2008-10-31T00:00:00,,1,---,50,---,120,35,84,---,290,
2008-11-30T00:00:00,,3,---,50,---,120,35,84,---,292,
2008-12-31T00:00:00,,4,---,50,---,122,35,84,---,295,
2009-01-31T00:00:00,,4,---,51,---,122,35,84,---,296,
2009-02-28T00:00:00,,6,---,52,---,123,35,85,---,301,
2009-03-31T00:00:00,,6,---,52,---,123,35,87,---,303,
2009-04-30T00:00:00,,6,---,54,---,124,35,88,---,307,
2009-05-31T00:00:00,,7,---,54,---,125,35,88,---,309,
2009-06-30T00:00:00,,7,---,57,---,127,35,88,---,314,
2009-07-31T00:00:00,,7,---,57,---,128,35,88,---,315,
2009-08-31T00:00:00,,7,---,57,---,128,35,92,---,319,
2009-09-30T00:00:00,,8,---,58,---,129,35,93,---,323,
2009-10-31T00:00:00,,8,---,58,---,129,35,94,---,324,
2009-11-30T00:00:00,,8,---,60,---,129,34,94,---,325,
2009-12-31T00:00:00,,8,---,61,---,130,34,94,---,327,
2010-01-31T00:00:00,,8,---,61,---,130,34,95,---,328,
2010-02-28T00:00:00,,8,---,61,---,130,34,95,---,328,
2010-03-31T00:00:00,,8,---,61,---,130,34,97,---,330,
2010-04-30T00:00:00,,8,---,62,---,130,33,98,---,331,
2010-05-31T00:00:00,,9,---,64,---,133,33,99,---,338,
