,,,,,
القائمة الرئيسية   Main List,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
1996-05-31T00:00:00,,,22813.47,49759.443,72572.913
1996-06-30T00:00:00,,,22384.197,51377.769,73761.966
1996-07-31T00:00:00,,,22528.026,52491.492000000006,75019.51800000001
1996-08-31T00:00:00,,,20412.475,52149.134,72561.609
1996-09-30T00:00:00,,,20174.655,52606.584,72781.239
1996-10-31T00:00:00,,,19897.5,53575.530999999995,73473.03099999999
1996-11-30T00:00:00,,,17955.898,54102.045,72057.943
1996-12-31T00:00:00,,,16703.244,56607.252,73310.496
1997-01-31T00:00:00,,,16847.409,60504.671,77352.08
1997-02-28T00:00:00,,,18098.483,62779.791,80878.274
1997-03-31T00:00:00,,,18194.159,66761.902,84956.061
1997-04-30T00:00:00,,,17667.894,70918.587,88586.481
1997-05-31T00:00:00,,,17762.8,75210.255,92973.05500000001
1997-06-30T00:00:00,,,17695.645,76075.191,93770.83600000001
1997-07-31T00:00:00,,,18711.56,77490.763,96202.323
1997-08-31T00:00:00,,,18735.372,75199.695,93935.06700000001
1997-09-30T00:00:00,,,18675.837,75564.382,94240.219
1997-10-31T00:00:00,,,17716.34,75641.287,93357.627
1997-11-30T00:00:00,,,18567.101,73503.459,92070.56
1997-12-31T00:00:00,,,20860.733,75927.059,96787.79199999999
1998-01-31T00:00:00,,,21907.681,75489.342,97397.023
1998-02-28T00:00:00,,,21286.313,76727.017,98013.33
1998-03-31T00:00:00,,,21689.77,78329.911,100019.681
1998-04-30T00:00:00,,,21252.742,79729.755,100982.497
1998-05-31T00:00:00,,,21343.039,80697.7,102040.739
1998-06-30T00:00:00,,,21824.311,83311.941,105136.25200000001
1998-07-31T00:00:00,,,24254.281,84132.178,108386.459
1998-08-31T00:00:00,,,24264.399,81965.12,106229.519
1998-09-30T00:00:00,,,26663.695,82202.87,108866.565
1998-10-31T00:00:00,,,25095.688,81640.769,106736.457
1998-11-30T00:00:00,,,25349.919,84204.448,109554.367
1998-12-31T00:00:00,,,23599.041,85807.385,109406.42599999999
1999-01-31T00:00:00,,,23594.252,84472.092,108066.34400000001
1999-02-28T00:00:00,,,21914.674,88692.849,110607.523
1999-03-31T00:00:00,,,20000.471,91860.013,111860.48400000001
1999-04-30T00:00:00,,,19119.168,100241.134,119360.30200000001
1999-05-31T00:00:00,,,18606.242,100648.218,119254.45999999999
1999-06-30T00:00:00,,,18369.442,97859.985,116229.427
1999-07-31T00:00:00,,,17941.482,99425.759,117367.24100000001
1999-08-31T00:00:00,,,18412.722,102848.135,121260.85699999999
1999-09-30T00:00:00,,,17262.782,101065.824,118328.606
1999-10-31T00:00:00,,,16438.541,101221.789,117660.33
1999-11-30T00:00:00,,,15705.784,100375.27,116081.054
1999-12-31T00:00:00,,,14347.381,99978.949,114326.32999999999
2000-01-31T00:00:00,,,17171.336,99340.457,116511.79299999999
2000-02-29T00:00:00,,,18069.065,98871.974,116941.039
2000-03-31T00:00:00,,,17163.351,98868.647,116031.99799999999
2000-04-30T00:00:00,,,16015.901000000002,99988.015,116003.916
2000-05-31T00:00:00,,,15830.268999999998,101584.107,117414.376
2000-06-30T00:00:00,,,14945.33,103972.29699999999,118917.627
2000-07-31T00:00:00,,,14437.444,108116.42,122553.864
2000-08-31T00:00:00,,,14432.201,110703.49,125135.691
2000-09-30T00:00:00,,,14329.943,112158.215,126488.158
2000-10-31T00:00:00,,,13107.377999999999,112396.979,125504.357
2000-11-30T00:00:00,,,13223.306,112003.21199999998,125226.51799999998
2000-12-31T00:00:00,,,12438.802,110062.408,122501.20999999999
2001-01-31T00:00:00,,,12510.203,109424.319,121934.522
2001-02-28T00:00:00,,,12518.685000000001,111128.59199999999,123647.27699999999
2001-03-31T00:00:00,,,11977.711,110428.34599999999,122406.05699999999
2001-04-30T00:00:00,,,11251.945,111076.534,122328.47899999999
2001-05-31T00:00:00,,,12262.564999999999,114258.50799999999,126521.07299999999
2001-06-30T00:00:00,,,11469.5,116546.91600000001,128016.41600000001
2001-07-31T00:00:00,,,11044.196,117690.59,128734.786
2001-08-31T00:00:00,,,10777.804,118538.414,129316.21800000001
2001-09-30T00:00:00,,,10999.146,121972.16200000001,132971.30800000002
2001-10-31T00:00:00,,,11163.314,121427.495,132590.809
2001-11-30T00:00:00,,,11669.911999999998,122607.769,134277.681
2001-12-31T00:00:00,,,10816.963,121843.239,132660.202
2002-01-31T00:00:00,,,10974.974,121206.102,132181.076
2002-02-28T00:00:00,,,11071.033000000001,118051.409,129122.442
2002-03-31T00:00:00,,,10938.786000000002,119090.96100000001,130029.74700000002
2002-04-30T00:00:00,,,10696.412,117533.007,128229.419
2002-05-31T00:00:00,,,10846.308999999997,124696.60800000001,135542.91700000002
2002-06-30T00:00:00,,,10065.255000000001,125152.71500000001,135217.97
2002-07-31T00:00:00,,,10550.927,126825.932,137376.859
2002-08-31T00:00:00,,,10692.386,127236.858,137929.244
2002-09-30T00:00:00,,,8786.617,126354.309,135140.926
2002-10-31T00:00:00,,,8874.904,129906.399,138781.303
2002-11-30T00:00:00,,,8955.348,131136.863,140092.211
2002-12-31T00:00:00,,,11960.023,131555.69700000001,143515.72
2003-01-31T00:00:00,,,12933.544,135130.35900000003,148063.90300000002
2003-02-28T00:00:00,,,24716.514,140052.206,164768.72
2003-03-31T00:00:00,,,24874.995,143960.177,168835.172
2003-04-30T00:00:00,,,24297.643,146295.932,170593.575
2003-05-31T00:00:00,,,24333.049,149164.751,173497.8
2003-06-30T00:00:00,,,24900.107,151966.91199999998,176867.01899999997
2003-07-31T00:00:00,,,24440.752,149076.525,173517.277
2003-08-31T00:00:00,,,24777.245000000003,149462.917,174240.16199999998
2003-09-30T00:00:00,,,25032.869,149235.188,174268.057
2003-10-31T00:00:00,,,24399.256,150571.552,174970.808
2003-11-30T00:00:00,,,25414.351000000002,149247.539,174661.88999999998
2003-12-31T00:00:00,,,25844.2,150547.573,176391.77300000002
2004-01-31T00:00:00,,,25533.392,153170.103,178703.495
2004-02-29T00:00:00,,,25358.563000000002,156135.526,181494.089
2004-03-31T00:00:00,,,25727.419,159524.005,185251.424
2004-04-30T00:00:00,,,26203.586000000003,153336.926,179540.51200000002
2004-05-31T00:00:00,,,26571.072,151188.39299999998,177759.46499999997
2004-06-30T00:00:00,,,27031.388,152106.73,179138.11800000002
2004-07-31T00:00:00,,,26534.819,147997.423,174532.242
2004-08-31T00:00:00,,,26775.744,150424.951,177200.695
2004-09-30T00:00:00,,,26866.934,150882.632,177749.56600000002
2004-10-31T00:00:00,,,28966.56,151671.776,180638.336
2004-11-30T00:00:00,,,29032.24,150505.32299999997,179537.56299999997
2004-12-31T00:00:00,,,29137.585,146389.893,175527.478
2005-01-31T00:00:00,,,29483.654,145558.095,175041.749
2005-02-28T00:00:00,,,30117.942000000003,144922.041,175039.983
2005-03-31T00:00:00,,,31623.862,144727.67,176351.532
2005-04-30T00:00:00,,,31994.947999999997,138172.211,170167.159
2005-05-31T00:00:00,,,32628,140000.123,172628.123
2005-06-30T00:00:00,,,32599.762,145026.81,177626.572
2005-07-31T00:00:00,,,33015.490999999995,133796.885,166812.376
2005-08-31T00:00:00,,,32448.055,134186.82799999998,166634.88299999997
2005-09-30T00:00:00,,,32468.278,132484.704,164952.982
2005-10-31T00:00:00,,,32198.03,131685.88499999998,163883.91499999998
2005-11-30T00:00:00,,,33020.672,130095.644,163116.316
2005-12-31T00:00:00,,,31672.425000000003,127091.087,158763.512
2006-01-31T00:00:00,,,32291.784,128984.41,161276.19400000002
2006-02-28T00:00:00,,,33480.128,128627.568,162107.696
2006-03-31T00:00:00,,,33013.615999999995,123874.144,156887.76
2006-04-30T00:00:00,,,33295.943,116913.735,150209.678
2006-05-31T00:00:00,,,33401.987,116763.023,150165.01
2006-06-30T00:00:00,,,33723.612,115045.922,148769.534
2006-07-31T00:00:00,,,34382.986000000004,111911.072,146294.05800000002
2006-08-31T00:00:00,,,34343.49800000001,113410.74799999999,147754.24599999998
2006-09-30T00:00:00,,,33905.736,113811.298,147717.03399999999
2006-10-31T00:00:00,,,34131.854999999996,114091.70300000001,148223.55800000002
2006-11-30T00:00:00,,,35614.784,114815.005,150429.789
2006-12-31T00:00:00,,,34964.619999999995,114121.538,149086.158
2007-01-31T00:00:00,,,33649.718,116624.737,150274.455
2007-02-28T00:00:00,,,34647.761,117864.82100000001,152512.582
2007-03-31T00:00:00,,,34863.217000000004,118649.60500000001,153512.82200000001
2007-04-30T00:00:00,,,35852.572,119228.216,155080.788
2007-05-31T00:00:00,,,35596.184,118080.779,153676.963
2007-06-30T00:00:00,,,36073.395000000004,118006.38799999999,154079.783
2007-07-31T00:00:00,,,35915.452999999994,117059.16,152974.613
2007-08-31T00:00:00,,,34463.719,115778.246,150241.965
2007-09-30T00:00:00,,,39387.183000000005,116349.346,155736.529
2007-10-31T00:00:00,,,40026.630999999994,115447.77199999998,155474.403
2007-11-30T00:00:00,,,36258.685,116427.683,152686.36800000002
2007-12-31T00:00:00,,,37434.47,127430.685,164865.155
2008-01-31T00:00:00,,,39195.227,106499.70999999999,145694.93699999998
2008-02-29T00:00:00,,,34832.672999999995,106379.91500000001,141212.588
2008-03-31T00:00:00,,,34032.41,109476.939,143509.349
2008-04-30T00:00:00,,,34925.853,104386.84000000001,139312.69300000003
2008-05-31T00:00:00,,,33849.234,105060.56000000001,138909.794
2008-06-30T00:00:00,,,35676.989,103516.108,139193.097
2008-07-31T00:00:00,,,30871.239,103076.923,133948.162
2008-08-31T00:00:00,,,30857.092,104475.125,135332.217
2008-09-30T00:00:00,,,32322.400999999998,104167.44099999999,136489.842
2008-10-31T00:00:00,,,30582.736,107944.78199999999,138527.51799999998
2008-11-30T00:00:00,,,31362.347,101673.03799999999,133035.38499999998
2008-12-31T00:00:00,,,32065.449,90696.40100000001,122761.85
2009-01-31T00:00:00,,,29324.951,86399.367,115724.318
2009-02-28T00:00:00,,,30148.494,85861.03400000001,116009.52800000002
2009-03-31T00:00:00,,,31246.955,81716.015,112962.97
2009-04-30T00:00:00,,,32490.352000000003,79168.484,111658.836
2009-05-31T00:00:00,,,34689.463,79035.71,113725.17300000001
2009-06-30T00:00:00,,,34245.049999999996,77812.98,112058.03
2009-07-31T00:00:00,,,33764.009999999995,77663.98700000001,111427.997
2009-08-31T00:00:00,,,29978.684,77880.082,107858.766
2009-09-30T00:00:00,,,28797.519,78066.803,106864.322
2009-10-31T00:00:00,,,28654.32,76958.16,105612.48000000001
2009-11-30T00:00:00,,,29373.013000000003,76337.90800000001,105710.92100000002
2009-12-31T00:00:00,,,28135.767,75690.747,103826.514
2010-01-31T00:00:00,,,29907.668,71336.073,101243.74100000001
2010-02-28T00:00:00,,,29351.050000000003,70942.866,100293.916
2010-03-31T00:00:00,,,29889.567,69904.884,99794.451
2010-04-30T00:00:00,,,30048.019999999997,66046.38600000001,96094.40600000002
2010-05-31T00:00:00,,,28450.355,67791.98999999999,96242.34499999999
2010-06-30T00:00:00,,,31254.827,65282.57,96537.397
2010-07-31T00:00:00,,,30610.316,63523.119,94133.435
2010-08-31T00:00:00,,,30969.001,61553.576,92522.577
2010-09-30T00:00:00,,,33937.91,63142.434,97080.34400000001
2010-10-31T00:00:00,,,32264.819,63154.657,95419.476
2010-11-30T00:00:00,,,31989.285999999996,62197.640999999996,94186.927
2010-12-31T00:00:00,,,32284.576999999997,61915.303,94199.88
2011-01-31T00:00:00,,,28858.66,60244.648,89103.308
2011-02-28T00:00:00,,,27798.759,60642.833,88441.592
2011-03-31T00:00:00,,,29400.924,57673.826,87074.75
2011-04-30T00:00:00,,,27702.727,54324.482,82027.209
2011-05-31T00:00:00,,,27809.419,53033.051,80842.47
2011-06-30T00:00:00,,,28949.971,51199.001,80148.972
2011-07-31T00:00:00,,,27547.825,50936.947,78484.772
2011-08-31T00:00:00,,,28596.596,49538.08,78134.676
2011-09-30T00:00:00,,,30997.838,48283.441,79281.279
2011-10-31T00:00:00,,,32320.173,47904.074,80224.247
2011-11-30T00:00:00,,,32025.558,47729.854,79755.412
2011-12-31T00:00:00,,,31951.972,47711.043,79663.015
2012-01-31T00:00:00,,,30971.447,54832.392,85803.839
2012-02-29T00:00:00,,,34196.286,55301.273,89497.55900000001
2012-03-31T00:00:00,,,36274.871,54406.004,90680.875
2012-04-30T00:00:00,,,38212.759,53115.588,91328.34700000001
2012-05-31T00:00:00,,,44185.606,52194.004,96379.61
2012-06-30T00:00:00,,,42649.673,50981.391,93631.06400000001
2012-07-31T00:00:00,,,43578.047,46817.477,90395.524
2012-08-31T00:00:00,,,43047.863,45131.313,88179.176
2012-09-30T00:00:00,,,44977.512,44838.717,89816.22899999999
2012-10-31T00:00:00,,,41737.5,43417.325,85154.825
2012-11-30T00:00:00,,,40812.449,43290.715,84103.16399999999
2012-12-31T00:00:00,,,39705.172,42616.697,82321.869
2013-01-31T00:00:00,,,39270.045,43801.903,83071.948
2013-02-28T00:00:00,,,40297.509,45571.648,85869.157
2013-03-31T00:00:00,,,46123.364,44554.612,90677.976
2013-04-30T00:00:00,,,47015.572,40742.3,87757.872
2013-05-31T00:00:00,,,47012.909,40772.594,87785.503
2013-06-30T00:00:00,,,46635.254,41505.821,88141.07500000001
2013-07-31T00:00:00,,,48293.881,38957.001,87250.882
2013-08-31T00:00:00,,,47941.912,38675.228,86617.14
2013-09-30T00:00:00,,,46369.473,39914.136,86283.609
2013-10-31T00:00:00,,,46398.643,47748.376,94147.019
2013-11-30T00:00:00,,,47130.87,47369.03,94499.9
2013-12-31T00:00:00,,,44353.858,49753.271,94107.129
2014-01-31T00:00:00,,,44630.081,52109.142,96739.223
2014-02-28T00:00:00,,,44425.422,52568.78,96994.20199999999
2014-03-31T00:00:00,,,44448.08,51389.454,95837.534
2014-04-30T00:00:00,,,46393.447,52315.1,98708.54699999999
2014-05-31T00:00:00,,,45166.005,52652.425,97818.43
2014-06-30T00:00:00,,,46838.421,52962.246,99800.667
2014-07-31T00:00:00,,,44086.96,49424.865,93511.825
2014-08-31T00:00:00,,,43700.435,54565.068,98265.503
2014-09-30T00:00:00,,,40499.443,54158.643,94658.086
2014-10-31T00:00:00,,,44417.992,53842.357,98260.349
2014-11-30T00:00:00,,,43092.981,52570.913,95663.894
2014-12-31T00:00:00,,,46087.862,53259.499,99347.361
2015-01-31T00:00:00,,,43990.674,52517.149,96507.823
2015-02-28T00:00:00,,,43538.483,54296.287,97834.76999999999
2015-03-31T00:00:00,,,44817.164,54812.868,99630.032
2015-04-30T00:00:00,,,46119.161,53293.62,99412.781
2015-05-31T00:00:00,,,46029.689,52731.813,98761.50200000001
2015-06-30T00:00:00,,,40503.962,53829.014,94332.976
2015-07-31T00:00:00,,,38420.199,52761.605,91181.804
2015-08-31T00:00:00,,,41579.175,65122.025,106701.20000000001
2015-09-30T00:00:00,,,38736.97,67134.301,105871.27100000001
2015-10-31T00:00:00,,,39264.246,71542.413,110806.659
2015-11-30T00:00:00,,,39720.416,80164.417,119884.833
2015-12-31T00:00:00,,,38986.154,86157.633,125143.78700000001
2016-01-31T00:00:00,,,38188.078,86675.365,124863.443
2016-02-29T00:00:00,,,41963.864,98607.081,140570.945
2016-03-31T00:00:00,,,41243.057891725,120611.49321938,161854.55111110501
2016-04-30T00:00:00,,,48578.381936614,139872.74002133,188451.121957944
2016-05-31T00:00:00,,,50300.2575647825,153489.28959678998,203789.5471615725
2016-06-30T00:00:00,,,50946.4473219275,156614.21650766997,207560.66382959747
2016-07-31T00:00:00,,,51142.8795339275,167303.16158282,218446.0411167475
2016-08-31T00:00:00,,,54217.384462746595,169676.97524318998,223894.35970593657
2016-09-30T00:00:00,,,53804.5649403799,173022.33867083,226826.9036112099
2016-10-31T00:00:00,,,57713.419463258404,175717.71152865,233431.1309919084
2016-11-30T00:00:00,,,57330.028795495695,176955.43757462,234285.4663701157
2016-12-31T00:00:00,,,55335.8701475384,178416.26798044,233752.1381279784
2017-01-31T00:00:00,,,47095.9607254025,178344.7664035,225440.7271289025
2017-02-28T00:00:00,,,47835.0648260706,178882.89669335,226717.96151942058
2017-03-31T00:00:00,,,52499.096451070596,178681.49478735,231180.5912384206
