,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,
Table 10b: Consolidated Balance Sheet of Commercial Banks - Liabilities *,,,,,,,,,,,جدول 10b:  المركز المالي  الموحـــــــد  للمـــــصـــــــارف الـتـجـــــاريـــة - الـمـطــلــوبـــــــات *,
(Million ﷼),,,,,,,,,,,(مليون ﷼),
نهاية الفترة,,مجموع,المطـلوبات,Capital Accounts            حســاب رأس المــال,,,,مطلوبات ,**اتفاقيات ,مطـلوبـات,إجمالي,
,,الودائع,الأجنبية,المجموع,الإحتياطيات,رأس المال,***(أرباح الفترة (تراكمي,ما بين المصارف,إعادة الشراء,أخــرى,المطـلوبات,
End of Period,,Total,Foreign,,,,Period Profits,Inter Bank,Repos**,Other,Total,
,,Deposits,Liabilities,Total,Reserves,Capital ,(Cumulative)***,Liabilities,,Liabilities,Liabilities,
Q3,2009,911356.4029999999,98296.926,186766.241,59507.84,104039.643,23218.758,47000.685000000005,12881.806,94659.64300000001,1350961.704,1350961.704
Q4,2009,940548.4299999999,99682.954,190471.78,59602.615,104039.643,26829.522,32409.057999999997,4631.09,102514.794,1370258.106,1370258.106
Q1,2010,920688.232,105434.358,189720.343,78747.787,104039.643,6932.913,32686.976000000002,15172.716,113715.80600000001,1377418.4309999999,1377418.4309999999
Q2,2010,943159.328,96191.913,196511.48,78584.166,104039.643,13887.671,25103.605,13295.903,107440.89,1381703.119,1381703.119
Q3,2010,955470.37,87147.102,200466.419,76832.097,104039.643,19594.679,23211.314,4763.427,105053.819,1376112.451,1376112.451
Q4,2010,984849.944,94705.745,204144.389,73984.991,104039.643,26119.755,16407.627,8475.831,106683.587,1415267.1230000001,1415267.1230000001
Q1,2011,1055759.911,91596.552,204108.141,89259.033,107289.64,7559.468,20550.109,3843.294,119040.06,1494898.0669999998,1480906.4
Q2,2011,1071453.254,88263.668,209409.482,86427.301,107289.64,15692.541,22015.453,7105.964,128118.52500000001,1526366.346,1506595.8209999998
Q3,2011,1079398.376,86563.516,213707.404,83127.992,107308.39,23271.022,22078.426,5067.171,125210.146,1532025.039,1507811.578
Q4,2011,1119643.919,81563.31,220275.088,82185.106,107358.39,30731.592,16979.963,6499.422,123693.85200000001,1568655.5540000002,1544433.9690000005
Q1,2012,1168206.251,89842.375,224671.968,104868.159,110519.89,9283.919,26058.439,2050.498,117524.53300000001,1628354.0640000002,1595870.209
Q2,2012,1175840.925,88132.954,228807.914,98362.435,112327.926,18117.553,31204.073000000004,7691.017,116414.72600000001,1648091.609,1619569.0010000002
Q3,2012,1196678.445,91443.772,235721.997,96752.066,113027.926,25942.005,23122.477,9033.601,120594.336,1676594.6280000003,1649443.9530000002
Q4,2012,1274952.772,88112.108,242784.686,96357.479,113027.926,33399.281,19996.216999999997,10342.334,123668.88,1759856.9970000004,1734141.478
Q1,2013,1305039.816,89076.11,243819.159,121501.774,113027.926,9289.459,20864.962,10466.13,132005.354,1801271.5310000004,1772172.6970000002
Q2,2013,1340702.471,86136.474,250559.303,117478.721,114027.926,19052.656,19570.553,9224.466,128442.104,1834635.3709999998,1807639.4070000004
Q3,2013,1356463.911,85378.278,254957.746,112823.326,114027.926,28106.494,23115.356,9178.296,129000.386,1858093.973,1835609.381
Q4,2013,1417930.407,83822.047,261187.509,111629.933,114027.926,35529.65,19381.262000000002,6892.537,132549.416,1921763.1780000003,1893283.2090000003
