,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,
Table 2: Monetary Base,,,,,,,,,,,,جدول 2: القـــــــــاعدة الـنـقـدية
Growth Rates & Percentage Shares,,,,,,,,,,,,معدلات النمو والنسب المئوية
,,,,,,ودائع لدى البنك المركزي  Deposits with SAMA,,,,,, القاعدة النقـدية 
نهاية,,النقد المتداول خارج المصارف,,النقد في الصندوق,,ودائع البنوك المحلية,,ودائع المؤسسات المالية  العامة,,المجموع,,Monetary Base
الفترة,,Currency outside Banks ,,Cash in Vault,,Deposits  of Banks,,Public Fin. Ins.,,Total,,(Reserve Money)
,,,,,,,,,,,,
End of,,معدلات النمو,نسب مئوية %,معدلات النمو,نسب مئوية %,معدلات النمو,نسب مئوية %,معدلات النمو,نسب مئوية %,معدلات النمو,نسب مئوية %,معدلات النمو
Period,,Growth Rates,Percentage,Growth Rates,Percentage,Growth Rates,Percentage,Growth Rates,Percentage,Growth Rates,Percentage,
,,,Shares*,,Shares*,,Shares*,,Shares*,,Shares*,Growth Rates
Q1,2013,1.641372285558802,57.02890919782293,6.725987953292218,8.857700350577106,6.304707701937502,31.718212039241617,-52.74841393380202,2.3951784123583417,-2.270871799593749,34.113390451599955,0.6912359081622697
Q2,2013,2.6142110167948687,56.49315776895044,7.176606196078183,9.164615753472107,5.793686873734515,32.39378730570949,-15.733354157377192,1.9484391718679748,4.28222456297928,34.34222647757746,3.5873502843804204
Q3,2013,0.14425915322627247,55.19332061848733,10.655126767106694,9.893510418364682,0.042523716663950495,31.616295329397033,73.44062694720574,3.2968736337509568,4.20683553169934,34.91316896314799,2.5027189631143614
Q4,2013,2.946444650738414,55.89704116652396,-6.723418122285381,9.078497580778725,2.829408141074552,31.983004530097535,-6.2247142729582805,3.041456722599775,1.9744213739012082,35.02446125269731,1.6503916408444468
Q1,2014,2.456808334634914,54.27790149014016,7.03517462571142,9.209454572624196,5.443930171788523,31.96202230868409,57.868571637569005,4.550621628551559,9.9963850137228,36.512643937235644,5.513151320194012
Q2,2014,3.298698630063001,53.778184504736636,8.736814646865284,9.60503064056198,4.64174595808467,32.07949076855975,3.953224320631051,4.537294086141634,4.555934548193122,36.616784854701386,4.258569528474894
Q3,2014,4.316577370000374,54.12370512013241,20.486507141115084,11.165166970822618,0.8062078291728483,31.199152451730704,-19.771903142593786,3.5119754573142625,-1.7436867502299975,34.71112790904496,3.6506302045418835
Q4,2014,-2.710627909375333,54.343276674680276,-16.74444908782516,9.593372819984346,1.603705453504034,32.71487343060677,-7.614682375573977,3.3484770747286112,0.6710145914680936,36.063350505335386,-3.1037212224415356
Q1,2015,8.350713948953683,55.39784248160192,0.9440110583068133,9.111022786425243,5.207058144048375,32.382127163546194,-1.3131704996571045,3.1090075684266494,4.601655822037117,35.49113473197284,6.288125354026704
Q2,2015,4.458379060163665,55.53452102400575,16.39976929847728,10.177618072691565,3.533678851532642,32.174656350459585,-29.173976146975917,2.113204552843105,0.6685028659296108,34.28786090330269,4.201291779521796
Q3,2015,0.6489627175596979,54.590343580076215,16.449555427293916,11.575172664329067,-1.0545957997739492,31.09231348027387,32.86463152163458,2.7421702753208383,1.0358893957494786,33.83448375559471,2.3897555779934834
Q4,2015,-3.7991623642018055,56.03371408373011,-20.779863880630984,9.784030342603737,-1.6428581215308782,32.62974400379385,-46.93774553800668,1.552511569872313,-5.3138552850955705,34.18225557366617,-6.27719641460979
