,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,
Table 23: Private Sector Exports Financed Through Commercial Banks,,,,,,,,,جدول 23: صادرات القطاع الخاص الممولة عن طريق المصارف التجارية,
(Letters of Credit by Products),,,,,,,,, (إعتمادات مستندية حسب المنتجات),
(Million ﷼),,,,,,,,,(مليون ﷼),
,,الزراعة والإنتاج الحيواني,,المواد الكيميائية والبلاستيكية,,منتجات صناعية أخرى,,الإجمـــــــالي,,
الفترة,,Agricultural &,,Chemicals &,,Other Industrial,,,,
,, Animal Products,,Plastics,,Products,,Total,,
Period,,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,
,,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,
Q2,2006,24.92700000000002,13.623000000000001,2839.194,1683.1080000000002,14274.122000000001,4917.700000000001,17138.243000000002,6614.4310000000005,
Q3,2006,14.144000000000005,34.442,2827.04,1588.074,16091.207999999995,5261.378,18932.391999999996,6883.894,
Q4,2006,147.46499999999997,20.33,3137.956,1466.009,12371.498000000007,5180.067999999999,15656.919000000007,6666.406999999999,
Q1,2007,300.86,484.174,3889.229,1990.206,12118.761,4430.041,16308.85,6904.421,
Q2,2007,-247.274,-431.758,3462.024,1823.4400000000003,17989.163,7398.2339999999995,21203.913,8789.916,
Q3,2007,1266.153,41.322,3329.5960000000005,1325.8609999999994,13721.643000000004,5978.056999999999,18317.392000000003,7345.239999999998,
Q4,2007,276.346,207.97899999999998,6540.517999999998,1551.4460000000008,21144.089999999997,5987.424000000003,27960.953999999994,7746.849000000004,
Q1,2008,641.103,35.107,4424.528,1553.529,14024.704,6476.956,19090.335,8065.592000000001,
Q2,2008,64.28100000000006,123.72999999999999,5882.151,1946.8159999999998,36926.577000000005,10097.323999999999,42873.009000000005,12167.869999999999,
Q3,2008,1207.933,71.922,5183.088,1833.9650000000006,28923.914999999994,8787.847000000002,35314.935999999994,10693.734000000002,
Q4,2008,345.701,209.55100000000002,4203.691999999999,2119.330999999999,15039.864000000001,8496.54,19589.257,10825.422,
Q1,2009,858.882,254.043,1781.392,1169.934,10510.592,6582.179,13150.866,8006.156,
Q2,2009,535.2490000000001,282.10400000000004,1571.9709999999998,1039.1340000000002,11601.792999999998,6980.451999999999,13709.012999999997,8301.689999999999,
Q3,2009,290.9019999999998,207.25,1406.2289999999998,1337.2649999999999,12794.619000000002,6920.750000000002,14491.750000000002,8465.265000000001,
Q4,2009,496.6890000000003,299.7789999999999,1813.7530000000006,1274.65,17304.068999999996,6922.755999999998,19614.511,8497.184999999998,
Q1,2010,513.443,326.259,2359.884,1682.844,16685.218,6036.975,19558.545000000002,8046.078,
Q2,2010,504.004,465.80999999999995,2838.313,2291.188,16074.101999999999,8641.606,19416.418999999998,11398.604,
Q3,2010,722.063,478.07100000000014,1889.478,2019.4359999999997,14478.341999999997,7141.556999999999,17089.882999999998,9639.063999999998,
Q4,2010,449.74599999999987,455.8259999999998,1932.1590000000006,2084.447,19495.812000000005,10674.940000000002,21877.717000000004,13215.213000000003,
Q1,2011,717.241,564.203,3093.355,2102.576,26243.551,10487.884,30054.147,13154.663,
Q2,2011,265.597,493.05999999999995,3571.815,2076.535,25716.283000000003,9406.121000000001,29553.694999999996,11975.716,
Q3,2011,246.39900000000011,328.18100000000004,2664.9089999999997,2029.6940000000004,24288.019,10928.470999999998,27199.326999999997,13286.345999999998,
Q4,2011,276.7839999999999,171.663,-329.7459999999992,1506.7939999999999,23172.054999999993,7582.087000000003,23119.093000000008,9260.544000000002,
Q1,2012,696.944,428.482,2467.215,2501.752,32022.55,9721.904,35186.709,12652.138,
Q2,2012,690.962,245.21300000000002,2473.965,2173.7419999999997,31414.702999999998,10780.023,34579.630000000005,13198.978000000001,
Q3,2012,586.4760000000001,303.18999999999994,2980.115,2647.447,32803.649000000005,7390.654999999999,36370.23999999999,10341.292000000001,
Q4,2012,1595.6680000000001,515.528,2412.499,2003.7439999999997,30020.561,9296.706000000002,34028.728,11815.977999999996,
Q1,2013,53.865,270.116,1981.549,1544.683,39347.031,10751.123,41382.445,12565.922,
Q2,2013,16.562999999999995,-62.385999999999996,2352.6409999999996,1172.643,35977.565,11268.929,38346.76900000001,12379.186,
Q3,2013,505.28099999999995,84.93100000000001,1466.2020000000002,1764.6440000000002,35874.43999999999,9623.697,37845.922999999995,11473.271999999997,
Q4,2013,50.11200000000008,170.97199999999998,1634.2970000000005,1379.7709999999997,38447.668000000005,11102.66,40132.077000000005,12653.403000000006,
Q1,2014,61.72,50.247,1921.442,1534.525,31499.638,10504.091,33482.8,12088.863,
Q2,2014,315.22,308.229,2677.5370000000003,1527.3220000000001,30022.450000000004,10516.585,33015.206999999995,12352.136,
Q3,2014,30.238999999999976,69.48700000000002,2359.504,2195.128,32789.702999999994,9693.724000000002,35179.445999999996,11958.339000000004,
Q4,2014,0.32900000000000773,67.916,1717.6440000000002,1916.5099999999993,19973.10100000001,10703.515999999996,21691.074000000008,12687.941999999995,
Q1,2015,40.604,54.851,2231.436,1557.078,22378.108,10146.669,24650.148,11758.598,
