,,,,,
القائمة الرئيسية   Main List,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,
,,,,,
Table 4b: Money Supply Components in M3,,,,,جدول4b :   مــــكــــونـــــات عـــــرض الـنـقـــــــــود فــــي ن3
(Percentage Shares),,,,,(نـسـب مـئـوية)
نهاية الفترة,,النقد المتداول,الودائع,الودائع الزمنية ,الودائع الأخرى
,,خارج المصارف, تحت الطلب,والإدخارية,شبه النقدية
End of Period,,Currency,Demand,Time & Savings,Other Quasi-
,,Outside Banks,Deposits,Deposits,Money Deposits
1995-01-31T00:00:00,,19.213834200019303,33.72729663606743,21.96164793289104,25.097221231022225
1995-02-28T00:00:00,,20.018300788424025,33.26195274726488,22.437514337885975,24.282232126425118
1995-03-31T00:00:00,,19.196742091108636,34.07703975146532,22.577243527377945,24.1489746300481
1995-04-30T00:00:00,,19.6611613473012,33.68979778569913,22.22190794954502,24.427132917454653
1995-05-31T00:00:00,,19.22890060003785,34.2029572984638,22.949753130144565,23.61838897135378
1995-06-30T00:00:00,,19.10097159884995,34.30205205837125,22.881035659907987,23.715940682870816
1995-07-31T00:00:00,,18.804206837021578,34.08380539261567,23.52697475512055,23.585013015242193
1995-08-31T00:00:00,,18.267687860074787,33.23060124246396,24.24471261925701,24.256998278204236
1995-09-30T00:00:00,,17.786017484094952,33.95429550240341,24.331657259588198,23.928029753913442
1995-10-31T00:00:00,,17.848952322936647,33.98352422520751,24.42301448325499,23.744508968600847
1995-11-30T00:00:00,,17.888216221847326,34.251696522998074,24.780648154767686,23.079439100386914
1995-12-31T00:00:00,,17.821647539379647,33.661868682784736,25.32274435120711,23.193739426628515
1996-01-31T00:00:00,,18.18463310547042,33.707314036275456,24.875720266851815,23.232332591402304
1996-02-29T00:00:00,,18.43674413272109,33.84397897149053,24.57050336221194,23.14877353357643
1996-03-31T00:00:00,,18.25136748300504,33.74935100327842,25.04242943740249,22.956852076314046
1996-04-30T00:00:00,,18.888758662090627,34.022398464667376,25.171485419878415,21.917357453363586
1996-05-31T00:00:00,,18.09272513804847,35.27105776705666,24.78041262843306,21.855804466461816
1996-06-30T00:00:00,,17.923701164093977,35.06851836337273,24.422429715249034,22.585350757284257
1996-07-31T00:00:00,,17.52655069037792,35.046184042296815,25.406625348087697,22.02063991923757
1996-08-31T00:00:00,,16.930533074065853,34.58585401757496,26.35278726675822,22.130825641600968
1996-09-30T00:00:00,,16.55845260238736,34.820356049317425,26.449753477875028,22.171437870420196
