,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 4: Net Earned Premium by Line of Business*,,,,,,,,,,,,,جدول 4: صافي الأقساط المكتسبة حسب نوع النشاط*
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q3,2013,3559.46673067399,1874,37930.7324948496,53469.4312762991,85564.4643640122,80901.0871448311,1387530.20775744,11367.194956411,1662196.5847245168,119656.53511,2693586.22450267,4475439.344337187
Q4,2013,942.74110199394,2997,9184.9332427062,53273.6304849381,16079.7409319769,113793.595535132,1469542.1961123,10488.3510057345,1676302.1884147816,134261.36266,2874440.41127057,4685003.962345351
Q1,2014,1071,1552,52485.75,57150.02,109107.15,45204.91,1513602.23,12228.87,1792401.9300000002,133841.51,3051585.42,4977828.86
Q2,2014,306.27,86183,-43484.01,64924.53,73105.5,81671.66,1653946.41,13750.14,1930403.4999999998,161503.93,3184609.5,5276516.93
Q3,2014,994.22,2432,50384.79,63891.92,74707.43,126754.14,1707890.48,13587.68,2040642.66,137500.98,3458811.11,5636954.75
Q4,2014,1310.13,2722,40085.95,59032.32,65265.18,120070.11,2024530.66,21895.91,2334912.2600000002,138973.45,3581933.44,6055819.15
Q1,2015,858.23,1751,47280.17,61650.17,52955.08,96777.4,1975967.92,16996.99,2254236.96,137619.69,3732536.04,6124392.6899999995
Q2,2015,1067.29,2019,47975.69,69788.14,69253.76,123202.48,2188666.59,19400.51,2521373.4599999995,152328.54,4038418.88,6712120.879999999
Q3,2015,515.33,2709,48518.86,58886.1,85891.64,101545.02,2310858.04,20765.44,2629689.43,155668.83,4301277.73,7086635.99
Q4,2015,329.03,135,30353.98,43162.81,71772.58,98887.03,2005014.41,5843.35,2255498.19,157188.24,4080250.51,6492936.9399999995
