,,,,,,,
القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,
Table 12a: Bank Claims on Private Sector,,,,,,جدول 12a: مطلوبات المصــــارف من القطــــاع الخـــاص ,
(Million ﷼),,,,,,(مليون ﷼),
نهاية الفترة,,ائتمان مصرفي,,,,,
,,Bank Credit ,,,استثمارات في,الإجمالي,
,,قروض وسلف,كمبيالات,المجموع,أوراق مالية خاصة,,
End of Period,,وسحوبات على المكشوف,مخصومة,,Investments in,Grand,
,,"Loans, Advances",Bills,Total,Private Securities,Total,
,,& Overdrafts,Discounted,,,,
Q4,2014,1208452.174,10339.968,1218792.142,51688.886,1270481.028,
Q1,2015,1239244.898,12458.369,1251703.267,50707.097,1302410.364,
Q2,2015,1278931.142,13603.746,1292534.888,53060.583,1345595.4710000001,
Q3,2015,1289614.215,14870.796,1304485.011,49768.186,1354253.197,
Q4,2015,1320963.266,14648.143,1335611.409,49246.986,1384858.395,
Q1,2016,1365764.45549719,14550.2055,1380314.66099719,49618.59964976,1429933.26064695,
Q2,2016,1386991.438720542,14190.1249,1401181.563620542,50893.20044834,1452074.764068882,
Q3,2016,1380931.9930963868,13737.7193,1394669.7123963865,53239.62700330999,1447909.3393996966,
Q4,2016,1349517.37684425,14091.5976,1363608.9744442499,54311.11689566001,1417920.09133991,
Q1,2017,1359620.390530564,13154.706,1372775.096530564,54597.687860930004,1427372.784391494,
Q2,2017,1362689.5797206436,13702.029,1376391.6087206434,54043.923107680006,1430435.5318283234,
Q3,2017,1360134.2592559583,13583.0785,1373717.3377559583,53189.4667517133,1426906.8045076716,
Q4,2017,1338555.23137677,12572.008,1351127.23937677,54083.13370043,1405210.3730772,
Q1,2018,1347780.3638104347,12929.719,1360710.0828104347,56599.67851419,1417309.7613246248,
Q2,2018,1365865.3231306998,13378.47,1379243.7931306998,57615.09826111,1436858.8913918098,
Q3,2018,1378735.9835017102,13512.113,1392248.0965017101,60183.21536399,1452431.3118657002,
Q4,2018,1375627.50258274,13312.273,1388939.77558274,56312.245,1445252.0205827402,
Q1,2019,1390596.5395014398,13567.287,1404163.8265014398,56641.358,1460805.1845014398,
Q2,2019,1408306.0195349401,13290.912900000001,1421596.93243494,55508.24,1477105.17243494,
Q3,2019,1432306.95563161,12837.285,1445144.24063161,53872.375,1499016.61563161,
Q4,2019,1477979.67194744,12853.223199999999,1490832.89514744,55686.02,1546518.91514744,
Q1,2020,1559768.18472463,14119.7362,1573887.9209246302,59188.932,1633076.8529246303,
Q2,2020,1595084.0303346158,14574.328,1609658.358334616,62270.476,1671928.834334616,
Q3,2020,1650896.0130016492,14056.2358,1664952.248801649,58839.757,1723792.005801649,
Q4,2020,1690315.717910301,13116.772,1703432.489910301,59007.557,1762440.046910301,
Q1,2021,1792865.6014898482,13876.238,1806741.8394898481,64826.852,1871568.691489848,
