,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,مؤسسات الإقراض المتخصصة الحكومية       Government Specialized Credit Institutions
,,,,,,,,,,,
Table 1b: Consolidated Balance Sheet Of Government Specialized Credit Institutions-Liabilities,,,,,,,,,,,جدول 1b: المركز المالي الموحد لمؤسسات الإقراض المتخصصة الحكومية - المطلوبات 
(Million ﷼),,,,,,,,,,,(مليون ﷼)
نهاية ,,رأس المال ,الإحتياطي ,Due to   مستحقات الى,,Borrowing from     الإقتراض من ,,,الإحتياطيات ,الخصوم ,مجموع 
الفتره,,المدفوع,,,,,,,التخصصية ,الأخرى ,المطلوبات 
End of,,Paid up, Reserves,المصارف المحلية,جهات أخرى,البنك المركزي,الحكومة ,جهات أخرى ,Earmarked,Other,Total
Period,,Capital,,  Local Banks,  Others,  SAMA,  Government,  Others,Reserves,Liabilities,Liabilities
Q1,2010,136081.90000000002,0,0,13.4,0,10661.7,0,225,10219,157201
Q2,2010,136681.90000000002,0,0,16.3,0,10541.6,0,225,16174.9,163639.7
Q3,2010,139481.90000000002,0,0,16.3,0,10515.98,0,225,25322.6,175561.78000000003
Q4,2010,139481.90000000002,0,0,29.6,0,10504.3,0,225,18714.199999999997,168955
Q1,2011,183440.6,0,0,24.9,0,10579,0,225,89195.4,283464.9
Q2,2011,203440.6,0,0,13.7,0,674,0,225,96179.5,300532.8
Q3,2011,203440.6,0,0,10,0,584.5,0,225,113168.9,317429
Q4,2011,203440.6,0,0,21,0,596.8,0,225,99150.4,303433.80000000005
Q1,2012,203440.6,0,0,16.4,0,582,0,225,44206.1,248470.1
Q2,2012,208440.6,0,0,17.1,0,835.6,0,225,64440.9,273959.2
Q3,2012,208440.6,0,0,23,0,794.3,0,224.4,70159.9,279642.2
Q4,2012,222902.4,0,0,45,0,811.3,0,225,56381.5,280365.2
Q1,2013,226902.5,0,0,200.9,0,838.2,0,225,40698.1,268864.7
Q2,2013,231114.4,0,0,204.7,0,1500.6,0,225,46619.2,279663.9
Q3,2013,231114.4,0,0,190.7,0,1512.8,0,225,52874.200000000004,285917.10000000003
Q4,2013,235914.4,0,0,225.7,0,708.6,0,225,39898.600000000006,276972.3
Q1,2014,237914.4,0,0,219.6,0,918.1,0,225,38965.9,278243
Q2,2014,242914.5,0,0,209.1,0,1006.4,0,225,47558.899999999994,291913.9
Q3,2014,250914.5,0,0,206.6,0,967.7,0,225,48032,300345.8
Q4,2014,254914.4,0,0,246,0,784.7,0,263,33651.399999999994,289859.5
Q1,2015,264914.5,0,0,221.66,0,804.43,0,263,33894.4,300097.99
Q2,2015,268334.5,0,0,227.8,0,518.9,0,263,37631.100000000006,306975.30000000005
Q3,2015,269434.5,0,0,221,0,842.7,0,263,41994.229999999996,312755.43
Q4,2015,277174.5,0,0,68.8,0,830.5,0,277,23426.36,301777.16
Q1,2016,277174.5,0,0,63.5,0,742,0,277,21238.30000000002,299495.30000000005
Q2,2016,273215.8,0,0,45.3,0,774.4,0,277,27377.41000000001,301689.91000000003
Q3,2016,273215.8,0,0,45.8,0,818.3,0,277,31429.4,305786.3
Q4,2016,276215.8,0,0,53.4,0,751.7,0,290,15251.829999999994,292562.73
