,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,,,,,,,,,
Table 3b: Exchange Rates of Saudi Riyal Against Foreign Currencies,,,,,,,,,,,,,جدول 3b: سعــــر صرف الريال السعودي مقابل بعض العــمـــلات الأجــنبـيــــة ,
,,,,,,,,,,,,,,
نهاية,,الدولار,الريال ,اليوان,الين ,الروبية ,الجنيه,الوان,الدولار,اليورو,البات,الليرة,الفرنك ,
الفترة ,,الاسترالي,البرازيلي,الصيني,الياباني ,الهندية,الإسترليني ,الكوري الجنوبي,الأمريكي ,,التايلاندي,التركية,السويسري ,
End of,,Australian,Brazilian,Chinese,Japanese,Indian,Pound,Korean,U.S.,EURO,Thai,Turkish,Swiss,
Period,,Dollar,Real,Yuan,Yen,Rupee,Sterling,Won,Dollar,,Baht,Lira,Franc,
Q1,2025,0.4245359873186588,1.530752252342637,1.9334189457631878,39.85251921263319,22.76421132893232,0.20604169592872768,390.98059674539,0.2667,0.2465176475309509,9.04149527459518,10.131712259371835,0.23501615265766396,
Q2,2025,0.407125847402528,1.4550694709956893,1.9107270048966423,38.597305002804454,22.811794639893954,0.19461194641058432,361.7072067788321,0.2667,0.22753182429534344,8.674665357272474,10.649627263045794,0.2125333090086191,
Q3,2025,0.40391741147408655,1.4181282397907085,1.8990381529424352,39.68800754694962,23.67797088200111,0.19844976318527954,373.92023185474073,0.2667,0.22712428153234204,8.620775507425382,11.098779134295228,0.21272088929519664,
Q4,2025,0.39801153899326863,1.4671461923853548,1.8646339397503322,41.72360547780895,23.978557645313234,0.198184059209873,382.6404939608188,0.2667,0.22694976078884188,8.415695834785605,11.45475372279496,0.2113470012442485,
,,,,,,,,,,,,,,
2009-01-31T00:00:00,,0.414206609088569,0.606745288414791,1.81848242628764,23.8932421997884,13.0720036033975,0.186454371264335,364.933365744845,0.2667,0.208072968799153,9.31358495152573,-,0.309813538479138,
2009-02-28T00:00:00,,0.413180290807453,0.637132197266388,1.8234437839498,26.0132918742197,13.5280712243826,0.187859942827131,404.373560910186,0.2667,0.210903553041193,9.57467456352531,-,0.313387646952991,
2009-03-31T00:00:00,,0.387989740552997,0.596653194305222,1.82290681953576,26.1599845894259,13.5866684265162,0.185959611453766,367.226489064557,0.2667,0.200380270184463,9.46876326575749,-,0.303572256685942,
2009-04-30T00:00:00,,0.367056741566032,0.582133821861642,1.81999939468067,26.0265948829152,13.3920315050909,0.179888443207694,359.467105345148,0.2667,0.200878781242934,9.41276903328722,-,0.302800314053913,
2009-05-31T00:00:00,,0.337040367396015,0.536960094260643,1.81481022121622,25.7333967249939,12.6107200810311,0.165088421030872,339.439948459824,0.2667,0.189151757568241,9.18695027544365,-,0.286213347389745,
2009-06-30T00:00:00,,0.328649031242806,0.519438708369554,1.82184419484406,25.5865971694904,12.7653302089382,0.161031016035431,342.58683424786,0.2667,0.188669715471597,9.0844995413049,-,0.288079424689823,
2009-07-31T00:00:00,,0.322021153684384,0.501413736332595,1.8219430419623,25.4213311954184,12.8426486569076,0.160972636862896,330.798851156826,0.2667,0.188616632818254,9.08107996751926,-,0.289066590672259,
2009-08-31T00:00:00,,0.317725086203227,0.499518964709889,1.82165084500447,24.7199352943681,13.0346430547869,0.163124941466945,331.972244689456,0.2667,0.18684602613767,9.07142309820783,-,0.283332340045124,
2009-09-30T00:00:00,,0.302994906941438,0.477865560758203,1.8210629782106,23.9385534097909,12.7554860622545,0.165498146907642,316.986511641998,0.2667,0.182111347119039,8.96371574472096,-,0.2743990493855,
2009-10-31T00:00:00,,0.291088710353734,0.457788363160631,1.82081816809513,24.3679240536053,12.5226681873836,0.161419466295433,320.159004377652,0.2667,0.180179802418611,8.92772680766844,-,0.272773016219117,
2009-11-30T00:00:00,,0.290549951392558,0.464933912095883,1.82058471358044,23.1333334437421,12.394699056171,0.161881662821683,311.307896266584,0.2667,0.177505767475907,8.86669305435256,-,0.267360806337019,
