,,دول مجلس,,أمريكا الشمالية,,أمريكا اللاتينية,,أوروبا الغربية,,أوروبا الشرقية,,بلدان أوروبية أخرى,,,,,,اليابان,,الصين,,كوريا الجنوبية,,بلدان آسيوية أخرى,,الدول العربية,,بلدان أخرى,,الإجمـــــالي,
الفترة,,التعاون الخليجي,,,,,,,,,,Other European,,,,الفترة,,,,,,,,Other Asian,,,,,,,
,,GCC  Countries,,North America,,Latin America,,Western Europe,,Eastern Europe,,Countries,,,,,,Japan,,China,,South Korea,,Countries,,Arab Countries,,Other Countries,,TOTAL,
Period,,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,,,Period,,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد
,,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,,,,,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled
Q3,2001,2247.5789999999997,1890.4790000000003,778.9280000000001,1479.06,124.25699999999998,151.864,3486.6460000000006,3899.054,137.22099999999995,116.56900000000002,256.65500000000003,185.012,,,Q3,2001,2273.893,2521.2750000000005,630.0510000000002,650.2430000000002,990.99,1095.041,2441.8229999999994,2095.427,312.63300000000004,258.802,469.9290000000001,601.539,14150.605,14944.365
Q4,2001,2005.3390000000009,1839.9659999999994,687.6149999999998,1653.8319999999999,832.843,204.61400000000003,1955.9049999999988,3413.5959999999995,142.00200000000007,140.35899999999998,165.30399999999997,200.78599999999994,,,Q4,2001,2679.2219999999998,2838.5239999999994,559.241,646.4009999999998,1299.7889999999998,1245.2320000000004,2194.7670000000007,2188.785999999999,333.2950000000001,312.553,580.835,446.50199999999995,13436.157000000001,15131.150999999996
Q1,2002,1724.248,1664.106,649.514,883.817,151.686,155.693,2951.473,2711.373,64.675,83.324,236.592,189.739,,,Q1,2002,2551.007,2433.679,496.241,500.821,925.35,871.082,2351.338,2002.34,377.305,359.634,605.838,612.157,13085.266999999998,12467.764999999998
Q2,2002,1745.674,1558.6519999999998,870.409,800.346,124.761,160.28099999999998,3654.165,2760.052,132.426,77.081,238.011,231.208,,,Q2,2002,2259.185,2267.2659999999996,737.6880000000001,523.717,1051.674,879.7379999999999,2193.463,1812.1299999999999,389.18300000000005,299.347,772.713,772.0669999999999,14169.352,12141.885
Q3,2002,2243.253,1738.5290000000005,847.4060000000002,1170.9140000000002,182.25400000000002,175.969,3392.228,3614.803999999999,122.42599999999999,112.059,202.281,236.87699999999995,,,Q3,2002,2903.977,3172.6810000000005,643.9269999999999,624.863,1050.882,1030.303,2075.191,1798.7730000000006,313.4179999999999,285.41600000000005,547.6300000000001,793.3500000000001,14524.873000000001,14754.537999999999
Q4,2002,2127.1229999999996,1549.496,1424.6859999999997,947.3389999999999,64.30999999999995,99.20500000000004,3731.035,3981.7309999999998,78.29900000000004,134.767,220.13800000000003,186.45000000000005,,,Q4,2002,2373.6090000000004,3223.074999999999,661.6090000000002,522.164,1214.1639999999998,962.6709999999998,2374.5339999999997,2128.3989999999994,401.45500000000015,305.9129999999999,702.4659999999999,696.6549999999997,15373.428,14737.864999999996
Q1,2003,2201.423,1794.536,827.28,854.043,88.991,174.931,4103.018,3326.417,154.071,99.871,273.702,307.48,,,Q1,2003,2596.946,2788.228,555.975,461.484,995.356,904.695,2573.643,2160.624,318.929,333.022,647.477,739.801,15336.811,13945.131999999998
Q2,2003,2138.2340000000004,1747.158,814.675,795.5769999999999,154.45600000000002,140.68999999999997,4002.325,4139.879000000001,90.189,161.91500000000002,211.19,225.433,,,Q2,2003,1693.438,2342.1459999999997,888.227,569.1210000000001,1265.175,967.1139999999999,2267.925,2270.983,372.236,254.51500000000004,469.4150000000001,548.7499999999999,14367.485,14163.281000000003
Q3,2003,2353,1941.1749999999997,1003.5410000000002,766.2650000000003,143.91899999999998,164.091,4617.969,3680.437,196.74099999999999,164.54000000000002,277.661,187.35400000000004,,,Q3,2003,3209.728,2612.874,891.2230000000002,672.5719999999999,1188.1390000000001,953.5029999999999,2606.643,2289.915,617.935,418.0369999999999,667.028,1222.2400000000002,17773.527000000002,15073.002999999999
Q4,2003,2073.219,1837.7260000000006,1024.701,815.3359999999998,123.98500000000001,144.37400000000002,4014.4879999999994,3939.062,149.99800000000005,164.26999999999998,98.87599999999998,107.68999999999994,,,Q4,2003,2791.656,2980.0560000000005,1005.8789999999999,802.8799999999999,925.9480000000003,1196.873,2417.657,2234.0819999999994,719.1960000000001,645.3080000000001,725.4739999999997,790.8759999999997,16071.077,15658.533000000001
Q1,2004,3711.329,1682.212,1267.984,994.832,137.025,81.127,5098.572,3955.357,133.112,214.077,228.507,222.932,,,Q1,2004,3490.517,3127.577,793.798,768.386,982.142,1195.671,2904.187,1933.718,504.101,603.645,1193.136,676.387,20444.41,15455.921
Q2,2004,2635.4729999999995,1809.5430000000001,1050.0639999999999,708.3080000000001,184.431,101.551,5149.575999999999,4038.7290000000003,200.871,122.98500000000001,1044.108,240.97,,,Q2,2004,1883.268,2580.9839999999995,1250.29,696.9839999999999,1191.6989999999998,1067.119,2971.3360000000002,2518.4539999999997,510.80999999999995,447.44499999999994,849.5530000000001,770.4290000000001,18921.479,15103.500999999998
Q3,2004,2779.509,2124.697,1274.2470000000003,958.941,155.875,107.529,4194.271000000001,3506.3640000000005,136.089,163.238,256.9390000000001,276.31700000000006,,,Q3,2004,2970.758,2690.4940000000006,1470.2949999999998,1191.449,1162.4300000000003,1153.52,3291.121,2772.763000000001,729.475,447.193,819.2920000000001,753.8010000000002,19240.301,16146.306000000004
Q4,2004,2885.192000000001,2055.5699999999997,808.1390000000001,909.7959999999998,241.909,233.88,4875.901,5013.385999999999,212.769,133.76899999999995,196.24699999999984,153.0859999999999,,,Q4,2004,2834.8279999999995,3307.548999999999,973.5659999999998,810.4670000000001,1234.489,1185.5670000000005,3219.759,2483.6899999999996,786.7780000000002,597.25,1285.4639999999995,1099.1549999999997,19555.041,17983.164999999997
Q1,2005,2954.052,2876.281,922.288,993.135,289.46,214.291,5283.425,4414.519,139.875,213.26,619.732,266.867,,,Q1,2005,2752.642,4359.871,1446.604,786.188,1397.962,1028.204,3423.284,2689.947,839.379,646.783,922.886,805.701,20991.589,19295.046999999995
Q2,2005,3080.3969999999995,2648.8469999999998,1347.2240000000002,679.106,300.82,153.161,5074.615999999999,4988.534,116.09800000000001,143.325,409.308,271.73999999999995,,,Q2,2005,2726.8860000000004,3122.4539999999997,1517.222,983.677,1701.1930000000002,1339.407,3360.083,2801.6530000000002,1055.5010000000002,805.1829999999999,936.366,845.7090000000001,21625.714,18782.796000000002
Q3,2005,3505.662000000001,2415.2670000000007,1074.915,757.6990000000001,306.326,373.725,5317.796,4936.045,79.22499999999997,103.89800000000002,205.769,291.004,,,Q3,2005,3532.038999999999,3277.4970000000003,1568.7070000000003,1590.9999999999998,1330.1399999999999,1415.8760000000002,3538.928,3348.379999999999,1092.018,721.2940000000003,705.8670000000002,552.2549999999999,22257.392,19783.940000000002
Q4,2005,3935.655999999999,2865.9669999999987,1184.23,892.0450000000001,499.5809999999999,485.764,5090.447,3968.2569999999996,379.26700000000005,264.893,351.58899999999994,571.9309999999999,,,Q4,2005,2605.3390000000018,4502.73,1239.915,1344.9409999999998,1767.4449999999997,1365.3609999999999,4136.814,3342.929,789.5429999999997,891.06,1232.4919999999997,937.788,23212.318,21433.665999999997
Q1,2006,4062.61,2384.303,1163.054,1230.821,271.869,323.97,6026.304,4567.987,216.999,140.44,536.386,422.803,,,Q1,2006,3346.374,3483.292,3029.812,860.894,2376.745,1270.096,3893.176,2891.655,1025.516,685.478,1379.954,1253.562,27328.798999999995,19515.300999999996
Q2,2006,3100.292,2746.1810000000005,1356.5259999999998,1009.645,472.31399999999996,213.062,5569.784,4936.784000000001,227.41100000000003,108.02600000000001,704.012,608.2600000000001,,,Q2,2006,3262.505,3297.6910000000003,1966.2520000000004,1420.175,1829.6050000000005,1606.3629999999998,4075.6340000000005,4598.132,869.2729999999999,837.5370000000001,804.961,1138.145,24238.568999999996,22520.001
Q3,2006,3978.0920000000006,2944.5599999999995,1315.634,989.9259999999999,525.7750000000001,434.96399999999994,6229.647000000001,4560.124,453.349,119.15800000000002,663.923,509.9179999999999,,,Q3,2006,3121.3550000000005,4427.25,1319.4859999999999,1583.426,1462.3499999999995,1170.6970000000001,4474.294999999999,3747.5730000000003,1277.0449999999998,900.2529999999999,817.9499999999998,817.9100000000003,25638.901,22205.759000000002
Q4,2006,3786.003999999999,2884.4850000000006,1373.2160000000003,1130.2070000000003,602.48,560.026,6828.133999999998,5303.513999999999,252.7059999999999,383.48699999999997,560.21,640.6160000000002,,,Q4,2006,3200.485999999999,3374.0949999999993,2330.673,1681.058,1977.103,1611.9470000000001,3888.7219999999998,4200.505999999999,1069.17,1008.018,870.7450000000003,870.4679999999998,26739.648999999994,23648.427000000003
