,,,,,,
القائمة الرئيسية   Main List,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,
Table 13b: Maturity Terms of Personal Loans*,,,,,جدول 13b: فترات الاستحقاق للقروض الشخصية *,
(Million ﷼),,,,,(مليون ﷼),
نهاية الفترة,,قصير الاجل,متوسط الاجل,طويل الاجل,المجموع,
End of Period,,Short Term,Medium Term,Long Term,Total,
Q2,2007,27814.7372887663,38829.5604452659,109293.372823503,175937.6705575352,
Q3,2007,28385.2269208366,38938.7631660952,109273.09088701,176597.0809739418,
Q4,2007,28623.605168084,39631.07352992,106319.663396311,174574.342094315,
Q1,2008,28422.5954835467,42405.676600709,101506.489983121,172334.7620673767,
Q2,2008,27494.1618539343,43579.2102407479,100694.152784388,171767.5248790702,
Q3,2008,27906.2192110631,45482.6167030885,98425.4760042189,171814.31191837048,
Q4,2008,28168.2758243716,45145.3566020067,96083.8251915322,169397.45761791052,
Q1,2009,28110.9901095377,45693.137259112,97246.2146205303,171050.34198918001,
Q2,2009,28720.3544997037,47435.9009950552,97875.477002841,174031.7324975999,
Q3,2009,30641.7446422988,48793.2123635138,96670.2037052974,176105.16071111,
Q4,2009,30460.5962133964,48662.750668358,96009.1931646556,175132.54004641,
Q1,2010,31935.6301220366,50756.6000812651,98194.2029879182,180886.4331912199,
Q2,2010,33841.4839696171,52793.3952946748,100791.917940748,187426.79720503988,
Q3,2010,33831.5770573938,54275.97536731,101588.676783556,189696.22920825979,
Q4,2010,33487.6188667039,55169.5250491107,101364.773266545,190021.9171823596,
Q1,2011,34786.0098580721,60889.8528498027,99559.3036184553,195235.1663263301,
Q2,2011,36486.9041730073,61061.6693914629,107976.66501822,205525.2385826902,
Q3,2011,42008.6412770884,63281.1682730426,112022.698087259,217312.50763739,
Q4,2011,46710.2262064955,64685.5899734937,115133.402632741,226529.2188127302,
Q1,2012,41288.1844084049,66833.7874416161,118897.945425439,227019.91727546003,
Q2,2012,45053.4793230189,66807.4367261935,128298.894227008,240159.81027622038,
Q3,2012,45265.3955514763,74618.3840360476,131458.459334296,251342.2389218199,
Q4,2012,48833.7512790428,77213.4698369252,136477.797838192,262525.01895416,
Q1,2013,57164.7633202451,78196.1309225933,140229.839811142,275590.73405398044,
Q2,2013,63793.8528474336,79040.7591548537,142636.693688183,285471.30569047027,
Q3,2013,64815.7893742406,80429.3179155166,140363.166917943,285608.27420770016,
Q4,2013,67890.4809955747,79183.2388496161,139075.648089439,286149.3679346298,
Q1,2014,77159.2516204491,78095.2055438912,136246.89427514,291501.3514394803,
Q2,2014,73340.1343403924,81945.0471627209,146033.926923857,301319.1084269703,
Q3,2014,75006.1008021937,82976.2825315935,143971.176147443,301953.5594812302,
Q4,2014,77521.79,82697.779,147455.291,307674.86,
Q1,2015,71733.457,100846.035,134983.994,307563.48600000003,
Q2,2015,70833.968,100800.727,138590.433,310225.128,
Q3,2015,71670.214,99812.34,139596.154,311078.708,
Q4,2015,82148.916,95656.899,139591.733,317397.548,
Q1,2016,90589.423,93977.686,143902.713,328469.822,
Q2,2016,95727.778,89877.619,145695.286,331300.68299999996,
Q3,2016,100177.214,87062.148,145565.176,332804.53800000006,
Q4,2016,101014.661,85076.889,143131.644,329223.194,
Q1,2017,100130.221,83139.533,143467.195,326736.949,
Q2,2017,101040.889,82190.089,142514.796,325745.774,
Q3,2017,106629.247,79195.515,138835.2,324659.962,
Q4,2017,108994.427,80899.69,139859.188,329753.305,
Q1,2018,109792.941,82155.502,136111.753,328060.196,
Q2,2018,119019.788,75732.756,136091.834,330844.378,
Q3,2018,123646.433,72758.099,146578.008,342982.54000000004,
Q4,2018,120013.897,73375.06,143229.786,336618.743,
Q1,2019,115911.937,70639.926,148323.546,334875.409,
Q2,2019,117621.645,67498.004,150476.274,335595.923,
Q3,2019,121691.509,66022.519,152875.308,340589.336,
Q4,2019,129377.64,68022.814,155092.563,352493.017,
Q1,2020,122376.454,67463.934,166106.15,355946.53799999994,
Q2,2020,121089.947,68715.175,166046.601,355851.723,
Q3,2020,126028.887,69855.276,176936.129,372820.292,
Q4,2020,122922.413,76876.279,183822.123,383620.81499999994,
Q1,2021,121177.466,75373.042,200745.81,397296.31799999997,
Q2,2021,130340.473,75786.036,206251.614,412378.123,
Q3,2021,138247.924,78104.825,214509.353,430862.102,
Q4,2021,143467.815,79139.066,225284.559,447891.44,
,,,,,,
,,,,,,
  * Loans granted by commercial banks to natural persons for,,,,,*  التسهيلات التي تقدمها المصارف التجارية لأشخاص طبيعيين بهدف تمويل,
    financing personal and consumer needs and for non-commercial purposes.,,,,,      إحتياجات شخصية واستهلاكية ولأغراض غير تجارية.,
Note : ,,,,,:ملاحظــــــــة,
    Short Term : One Year and Less,,,,,الأجل القصير : سنة واحدة فأقل,
    Medium Term : 1 - 3 Years,,,,,الأجل المتوسط : 1 - 3 سنوات,
    Long Term : Over 3 Years,,,,,الأجل الطويل : أكثر من 3 سنوات,
