,,From          مـن,,,,,,,,,,A. Sales Attributable to Specific Purposes        أ - مبيعات منسوبة لأغراض محددة,,,,,,,,,,,,,B: Sales to Third Parties    ب: مبيعات لجهات أخرى - طرف ثالث,,,,,,,,المجموع الكلي
الفترة,,,,,,,مجموع المشتريات,,,الفترة,,تمويل الواردات,مقاولون أجانب,,تحويلات شخصية,,السفر الى الخارج,,إستثمارات  ,(الإجمالي(أ,,,الفترة,, للصيارفة,لجهات حكومية,للبنك,للوزارات أو البلديات,لعملاء آخرين,مصارف داخل المملكة,مصارف خارج المملكة,(الإجمالي(ب,( أ + ب  )
,,البنك المركزي,المصارف المحلية,المصارف الخارجية,عملاء,مصادر أخرى,,,,,,,Foreign Contractors,,Personal Transfers,,Foreign Travel,,بالخارج,,,,,,,,المركزي,,في المملكة,,,,
Period,,,,,,,Total Purchases,,,Period,,Import,إستيراد السلع,أغراض أخرى,سعودي,غير سعودي,سعودي,غير سعودي,Investments,Sub-Total (A),,,Period,,Money,Govt.,SAMA,Ministries or,Other Customers,Domestic Banks,Overseas Banks,Sub-Total (B),Total
,,SAMA  ,Local Banks ,Banks Abroad,Customers,Other Sources,,,,,,Financing,Import of Goods,Other Purposes,Saudis,Non-Saudis,Saudis,Non-Saudis,Abroad,,,,,,Changers,Agencies,,Municipalities,in the Kingdom,,, , ( A  +  B )
Q4,2020,154748.732,84188.1372495331,388779.7775781569,125640.8791525325,20018.108,773375.6339802225,,,Q4,2020,24253.855,7450.909,5475.834,13872.894,39450.314,120.99000000000001,70.864,64.21000000000001,90759.87,,,Q4,2020,0,1317.81,1155.097,198.57,208874.2003104375,99212.31669982,313748.47284224,624506.4668524975,715266.3368524974
Q1,2021,171246.027561,104643.4643862234,414693.31318514945,117882.72485255249,24509.485,832975.0149849255,,,Q1,2021,23877.170000000002,8287.302,6085.925,14868.877,37407.891,126.63300000000001,45.307,14.634,90713.739,,,Q1,2021,0,1647.0900000000001,702.124,1065.292,265346.52233598504,121591.84425,346340.86497030803,736693.737556293,827407.476556293
Q2,2021,142393.456,38918.878500000006,412315.81840663997,118843.74369271251,10506.23135446,722978.1279538125,,,Q2,2021,24837.229,8130.147000000001,6728.035,16493.495,39301.258,133.594,67.145,12.793,95703.696,,,Q2,2021,0,3921.525,1038.04,36.735,261326.07746575348,66040.30073029001,326244.348482935,658607.0266789785,754310.7226789785
Q3,2021,146197.109,79529.41889913,511812.54400939355,120756.90247281999,13164.619999999999,871460.5943813435,,,Q3,2021,23011.054,11643.363000000001,7069.6900000000005,15667.992999999999,39610.027,146.36700000000002,89.072,25.146,97262.712,,,Q3,2021,0,6524.718,1279.892,214.758,253373.13468480366,86076.57730209,352628.5984790325,700097.6784659262,797360.3904659261
Q4,2021,196085.55000000002,94046.836,501017.74821747246,120194.946219515,25650.387,936995.4674369874,,,Q4,2021,20956.953,13711.232,10452.457999999999,18441.889,37549.038,153.923,82.705,66.289,101414.487,,,Q4,2021,0,9850.501,1636.38,49.97,310681.5487838,101828.02725923,331757.952493835,755804.379536865,857218.866536865
Q1,2022,191817.717,83425.0527,593217.2272492012,114319.27896501249,6775.511,989554.7869142136,,,Q1,2022,22394.965,11535.123,17025.706000000002,18270.724,38414.126,124.17699999999999,82.399,34.282,107881.50200000001,,,Q1,2022,0,8247.214,697.394,121.957,322457.79711857997,86104.74973512,397742.520046715,815371.6319004149,923253.1339004149
Q2,2022,148627.835,109185.92047000001,713644.4405797875,138985.44346307247,3901.752,1114345.39151286,,,Q2,2022,23501.555999999997,10925.593,9462.113000000001,19401.674,38145.737,134.043,129.309,131.621,101831.646,,,Q2,2022,0,1265.866,1492.556,255.482,384188.65441712,95751.75306277,511654.2280809425,994608.5395608323,1096440.1855608323
Q3,2022,212198.333,82330.5457,418242.649946172,151881.9832035825,32217.734,896871.2458497544,,,Q3,2022,25214.642,14508.543,18865.406000000003,17698.644,34856.909999999996,147.094,110.71,188.61200000000002,111590.561,,,Q3,2022,0,858.87,2934.333,0.123,310202.43381781003,75024.20886452,357611.768335629,746631.737017959,858222.298017959
Q4,2022,207468.966,65831.1148276125,267723.55822645,139247.40936540999,6743.005,687014.0534194725,,,Q4,2022,23897.635137543,16468.66,18094.21651734,17098.31379877,31822.176839369997,153.415,104.65899999999999,83.928,107723.004293023,,,Q4,2022,0,4338.397,14699.004,90.673,174948.42021459,32080.6873983,328398.4606777525,554555.6422906425,662278.6465836654
Q1,2023,210839.755,59609.9480625,413943.26688343164,102592.80949647751,736.434,787722.2134424091,,,Q1,2023,25988.564805244998,12701.649,19151.17468247,15350.540286120002,31804.510503500143,137.2224434,106.88900000000001,79.788,105320.33872073513,,,Q1,2023,0,180.365,22544.584000000003,132.03,188739.33829180748,35893.823,422361.59441025165,669851.7347020591,775172.0734227943
