,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 15b: Shariah-Compliant Financing Contracts,,,,,,,,جدول 15b: عقود التمويل المتوافقة مع أحكام ومبادئ الشريعة
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,المرابحة,التورق,الإيجار التمويلي,المضاربة,المشاركة,أخرى*,إجمالي التمويل
End of Period,,Murabahah , Tawwaruq,Ijarah Financing,Mudarabah,Musharakah,Others*,Total Financing 
Q3,2015,410530.455972085,414869.66416322504,145744.605894,3399.85859267294,5084.30177219,13312.39482039,992941.2812145632
Q4,2015,422976.160614218,431166.25182651205,153254.568846,3430.1070292825,4861.50863573,13650.18405882,1029338.7810105626
Q1,2016,436014.792413908,451490.51207601,161814.250347427,3725.84372219375,4998.114416,14878.35749152,1072921.8704670588
Q2,2016,454742.246241797,459184.697895091,165780.884648512,3654.02579553688,3895.214,13784.842142879601,1101041.9107238166
Q3,2016,455842.10581876605,444772.596376355,174684.202710709,4396.87520569013,3350.71290236,14536.5533707505,1097583.0463846307
Q4,2016,446878.47768635897,446751.61045107245,172061.3262904195,3729.153,2959.79556701,20344.8616159961,1092725.224610857
Q1,2017,456997.09381589096,444893.67955883,175200.4483731005,3879.246,3186.89248298,23720.784536751402,1107878.1447675528
Q2,2017,463018.764811794,441954.6759810854,177665.62146393652,3401.889,3430.81249151,23574.3646660965,1113046.1284144223
Q3,2017,391778.731623082,517059.109973825,182320.95628471748,3419.096,2341.6790742,27314.304959738398,1124233.8779155628
Q4,2017,388718.79252564604,505442.67561607005,179717.4867064125,3042.156,2737.24787924,29788.79829466603,1109447.1570220345
Q1,2018,384754.065979514,504476.72116842004,180175.0995092725,2948.659,2410.68016919,31461.31076742831,1106226.5365938246
Q2,2018,382994.673162353,514106.60100999,183607.0328015625,5318.133,2648.9144356,31907.72427596157,1120583.0786854671
Q3,2018,389873.26912556303,521139.7959092249,188185.5902800475,2350.313,2684.77151934,35076.4502231436,1139310.190057319
Q4,2018,392135.315072293,521954.8901495751,194795.8358465075,2071,2239.83996637,32704.39283937,1145901.2738741157
Q1,2019,405324.46292135,524696.8644419244,199496.9062967765,2476,2273.09972107,16339.06740402601,1150606.400785147
Q2,2019,410401.44018473,528307.49832345,206670.82170608,2121,2446.14774726,17141.94971519496,1167088.857676715
Q3,2019,450523.7433943,538773.4618691828,194361.0585929175,2059,2194.73235552,17804.37888764594,1205716.375099566
Q4,2019,472871.363853494,562025.0998436565,195932.8092846815,1817.74836595,1923.84334798,17738.00075587876,1252308.8654516407
Q1,2020,529590.579660365,554404.896708047,198706.9494133725,1853.28530935,1771.81604871,13443.5312112221,1299771.0583510664
Q2,2020,554573.031705226,566918.110409586,208742.0705014875,1524.95752997,1519.428,13070.8988945601,1346348.4970408296
Q3,2020,576812.024551473,591466.175509326,216565.8892892075,1500.2153560699999,1734.85020335,13890.62893424,1401969.7838436663
Q4,2020,609171.232555924,600915.501591814,227114.80102273362,1555.6198726799998,1845.69766615014,21297.80128003428,1461900.653989336
Q1,2021,658617.224612221,616943.580246112,241928.19700813,1682.57610221,1903.49342133,21029.66895059892,1542104.7403406017
Q2,2021,758074.286559881,651927.783153465,178266.23503804,1807.14981,1538.00136841,20893.50375995729,1612506.9596897531
Q3,2021,796175.453409598,660945.9560653081,179241.56087112002,1790.14418338,1350.82944764,26296.592228302863,1665800.5362053488
Q4,2021,841036.241489999,680588.093036222,176201.1538318125,1933.52498277,1285.36566297,23219.357341132247,1724263.7363449058
Q1,2022,884665.4734851371,702885.808408707,175388.64483347,1905.26249718,1236.85597378,24800.27729016898,1790882.3224884432
Q2,2022,928143.254059571,735182.228526751,175516.22049231,1987.4101194099999,1077.368,29778.825636499903,1871685.306834542
Q3,2022,982063.905468626,744978.79057038,180720.56104536,1814.06974702,1230.958,31621.904762453938,1942430.18959384
Q4,2022,1005891.621002364,755673.753899735,178335.52753366,1788.61086884,1364.01848943,33444.23813140088,1976497.76992543
Q1,2023,1031533.904357973,779796.3662431589,184895.59586789,1650.93084357,1419.492,32672.94999602,2031969.2393086122
Q2,2023,1049556.501157872,804560.3548408931,188964.2168639867,1694.35275282,1552.07912902,32893.06555511,2079220.5702997018
Q3,2023,1082304.2168721631,829981.082191204,195818.6628241287,1546.83655521,1743.56197334,34474.75737896029,2145869.117795006
Q4,2023,1097067.700991922,846703.864924132,198067.02077585598,1749.97086031,1870.90701112,36273.34273850589,2181732.8073018463
Q1,2024,1129843.575289857,873435.409543831,203333.909135786,1709.09336562,1891.08494018,34866.29195352182,2245079.3642287957
Q2,2024,1153402.155335451,897425.458418701,213023.607226543,1865.83504627,2032.79706709873,34854.89986657617,2302604.75296064
Q3,2024,1201708.3061097888,928542.894061035,217477.38870703,2215.31149895,2020.8849649,35775.57472982635,2387740.36007153
Q4,2024,1259013.319186302,948173.3435390469,219366.99331138202,2159.86738382,1905.38279078,41028.23499035,2471647.1412016805
Q1,2025,1323053.853389961,1004335.1559343641,216418.999309475,2024.90304028,1844.49587797176,38717.836391962075,2586395.2439440144
Q2,2025,1359245.777628203,1025085.9434833861,218128.999389832,1947.26163611,2008.87412376,39712.5228544212,2646129.379115712
Q3,2025,1373934.496024754,1058014.422249229,229804.695209943,2265.71451471,2003.95,43275.5108554,2709298.7888540365
Q4,2025,1373022.581332862,1065751.731188989,248361.39505465998,2514.7022715000003,1088,35570.35095737,2726308.760805381
,,,,,,,,
,,,,,,,,
Include credit cards and other Shariah-compliant financing forms *,,,,,,,,* تشمل البطاقات الائتمانية وصيغ التمويل الأخرى المتوافقة مع أحكام ومبادئ الشريعة.
