,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 3: Net Claims Incurred by Line of Business*,,,,,,,,,,,,,جدول 3: صافي المطالبات المتكبدة حسب نوع النشاط*
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q4,2013,-11.4512960000011,-40,33122.0629126863,13435.636921409,85865.2389393906,22608.298131296,1706836.57768547,8067.2181475,1869883.581441752,97941.7994419998,3308693.64589011,5276519.026773862
Q1,2014,-234,340,18724.31,27534.32,66027.7,21291.58,1432562.32,7252.11,1573498.34,113161.133007,2582216.75,4268876.223007
Q2,2014,716.9,17845,25118.56,29265.45,46990.89,24946.36,1524924.77,12573.1,1682381.03,112156.259814,2608949.91,4403487.199814
Q3,2014,662.58,164,13747.02,31342.25,81215.05,50856.96,1473706.2,4593.67,1656287.73,104296.388524004,2638573.09,4399157.208524004
Q4,2014,2577.86,1089,18323.9,28782.55,39997.45,43105.41,1865474.25,20663.65,2020014.0699999998,106556.626644,2670364.48,4796935.176643999
Q1,2015,-193.91,-432,-167.28,22209.28,44104.6,55869.3,1776897.14,9524.33,1907811.46,115051.628403501,3142542.41,5165405.498403501
Q2,2015,591,296,33768.72,24740.45,17748.66,44809.43,1896726.43,9217.62,2027898.31,114988.708515,3285491.29,5428378.308515
Q3,2015,323.38,482.61,38308.94,34613.89,63002.46,18418.16,1907907.05,11567.34,2074623.83,122328.3,3006999.45,5203951.58
Q4,2015,97.88,529,19337.52,38168.05,37975.84,20729.86,2453132.57,6132.68,2576103.4,157494.56,3393914.26,6127512.22
Q1,2016,167.18,1003,19843.36,10408.78,43826,19610.91,2053262.93,13740.87,2161863.0300000003,152000.35,3670038.33,5983901.710000001
