,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 8a: Balance Sheet of Saudi Central Bank - Assets,,,,,,,,جدول 8a: الــمـركـــــز الـمــالــي  للبنك المركزي الســعــودي - الـموجــودات 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,غطاء النقد,,نقد,ودائع لدى,إستثمارات في أوراق,موجودات متنوعة,
,,Cash Cover,,في الصندوق,البنوك بالخارج,مالية في الخارج,أخرى,الإجمالي
,,ذهب,نقد أجنبي ,,Deposits,Investment,Other,
End of Period,,,Foreign,Cash,with Banks,in Foreign,Miscellaneous,TOTAL
,,Gold, Currencies,in Vault,Abroad,Securities,Assets,
Q4,2002,756,72731,16266,40255,43716,24216.019778780028,197940.01977878003
Q1,2003,756,80404,21026,57916,37283,25144.898739130003,222529.89873913
Q2,2003,756,80558.5,22175.5,31922,76547,30245.88248284001,242204.88248284
Q3,2003,756,76353,20774,38021,91601,28815.23057794996,256320.23057794996
Q4,2003,756,80204,21259,45776,97035,27669.61883603997,272699.61883603997
Q1,2004,756,80378,20415,65685,96694,28212.14711681998,292140.14711682
Q2,2004,756,78068,17044,80572,92876,29069.592748439987,298385.59274844
Q3,2004,756,79334,19960,103068,106983,26647.64597353991,336748.6459735399
Q4,2004,756,82652,18802,48398,197338,26930.73781652999,374876.73781653
Q1,2005,756,81802,18490,48763,232853,25677.339633920055,408341.33963392006
Q2,2005,756,84721,17933,95179,233915,25491.60365059995,457995.60365059995
Q3,2005,756,85161,20417,118683,270777,34337.69387208996,530131.69387209
Q4,2005,756,88995,18262,113954,369973,27464.91597639001,619404.91597639
Q1,2006,756,83588,16566,117084,459123,26412.462052499875,703529.4620524999
Q2,2006,756,88351,18791,86295,501748,25655.92223955004,721596.92223955
Q3,2006,756,90509,20897,133454,559381,31728.71539541008,836725.7153954101
Q4,2006,756,93563,12777,123346,625667,28216.835180500057,884325.8351805
Q1,2007,756,91081,18542,121887,677895,27158.94969934004,937319.94969934
Q2,2007,756,98212,23817,66870,723955,25978.151620240067,939588.1516202401
Q3,2007,756,104789,26016,99022,779187,27810.810761040077,1037580.8107610401
Q4,2007,756,105298,23842,246792,790559,29570.394541870104,1196817.39454187
Q1,2008,1624,102665,21787,280652,926254,26299.831737680128,1359281.8317376801
Q2,2008,1624,106509,19447,200975,1118475,19127.73369343998,1466157.73369344
Q3,2008,1624,117441,18543,354113,1165415,22833.29422496003,1679969.29422496
Q4,2008,1624,119442,27053,379488,1154247,28141.315057710046,1709995.31505771
Q1,2009,1624,121920,30057,314912,1114577.2,21245.343166319886,1604335.5431663198
Q2,2009,1624,118963,24838,252667,1094035,21540.185356190195,1513667.1853561902
Q3,2009,1624,125562,25192,238837,1071156,22338.555573199876,1484709.5555731999
Q4,2009,1624,121503,23876,335673,1071542,16436.026524130022,1570654.02652413
Q1,2010,1624,122013.99676039,22550.94370161,318796.09742532,1126127.43825829,19589.010064,1610701.48620961
Q2,2010,1624,124518.01796039,22033.95261161,295775.70279665,1150106.27471922,15405.56741641,1609463.51550428
Q3,2010,1624,138153.05696039,30614.99340856,293639.74696619,1158768.74587298,19446.61096379,1642247.15417191
Q4,2010,1624,134405.22796039,25059.8452754,343887.58827261,1181915.65675566,18496.74918743,1705389.06745149
Q1,2011,1624,137111.68196039,17206.69290644,350985.93202355,1246140.0935213398,18687.787064279997,1771756.1874759996
Q2,2011,1624,154865.61816039,23306.965387310003,372496.67318153003,1327988.87430896,15395.86268957,1895677.9937277597
Q3,2011,1624,166224.60216039,30934.608428249998,390883.97516353003,1387541.65603974,24487.75224148,2001696.59403339
Q4,2011,1624,167409.78616039,29187.73275423,414007.49823169,1427819.97103618,17816.45133504,2057865.4395175297
Q1,2012,1624,163305.68616039,24171.00364698,495246.22226912,1446609.95945541,23108.00483836,2154064.8763702596
Q2,2012,1624,171808.72616039,27701.64671821,522596.75824178004,1525696.95273202,14527.914430759998,2263955.9982831595
Q3,2012,1624,179157.88616039001,30980.486123730003,481793.80661683995,1637573.18054262,17190.81365509,2348320.17309867
Q4,2012,1624,184603.43106464,33415.40887198,576415.15818149,1670019.91661823,18986.146553309998,2485064.06128965
Q1,2013,1623.5026203900002,181105.78354,26407.93513152,514161.33510946,1795203.4722087698,18219.612825430002,2536721.641435569
Q2,2013,1623.5026203900002,195134.14334,35390.90950004,466264.74730696995,1900928.4501225401,14547.893680439998,2613889.64657038
Q3,2013,1623.5026203900002,195474.15574000002,33130.68629021,479480.17401276,1933632.68324956,17350.19131025,2660691.3932231697
Q4,2013,1623.5026203900002,193060.19874000002,28295.627182739998,546628.92965753,1952837.17337714,16282.999647039996,2738728.4312248398
Q1,2014,1623.5026203900002,193762.71874,23845.93081916,505903.61635009997,2023174.4472498798,34132.1034277,2782442.3192072297
Q2,2014,1623.5026203900002,203983.83874,27055.25581868,468723.92621517,2083223.02175665,14681.47453489,2799291.0196857797
Q3,2014,1623.5026203900002,218210.05074,29198.93252748,470151.16221189004,2079807.81485149,24682.272283029997,2823673.7352342797
Q4,2014,1623.5026203900002,214508.73074,35240.14124863,510972.14571678004,1998579.8976090401,31184.90779294,2792109.32572778
Q1,2015,1623.5026203900002,227871.39074,35507.34360126,403391.88518531,1967493.72491595,20479.91030679,2656367.7573697004
Q2,2015,1623.50262,239543.99074039,35259.52066679,448922.48911049,1825152.35148302,14783.05321649,2565284.9078371795
Q3,2015,1623.5026203900002,245273.59074,34613.82304604,513805.55458895996,1676247.0442522601,35072.4712525,2506635.98650015
Q4,2015,1623.5026203900002,235588.57890000002,39299.98904151,552359.60905386,1505023.25381548,39487.08798097,2373382.02141221
Q1,2016,1623.5026203900002,231079.96642,32956.67780754,495596.87330928,1460147.90468892,23796.00187478,2245200.92672091
Q2,2016,1623.5026203900002,244367.470632,21452.79743612,498339.53480168,1384254.2630863402,15628.680026619999,2165666.2486031502
Q3,2016,1623.50262,240503.13247239,34465.46749821,428932.85423091997,1397537.70420587,62086.07192422,2165148.73295161
Q4,2016,1623.5026203900002,232881.610766,34515.65518544,401143.71542823,1365189.20665399,41516.85962116,2076870.55027521
Q1,2017,1623.5026203900002,234197.437575,36166.97070122,353142.03249127005,1309840.35341245,36424.466690839996,1971394.7634911702
Q2,2017,1623.5026203900002,247672.040333,25901.86441279,354786.51215356,1268707.51490461,27459.59226984,1926151.0266941902
Q3,2017,1623.5026203900002,237850.608587,36167.597459330005,338433.12977969,1231759.4443194,32437.195489949998,1878271.47825576
Q4,2017,1623.5026203900002,227564.688477,25831.23752851,377965.89758408,1244668.98230174,26008.56678066,1903662.8752923799
