,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 9: Reserve Assets,,,,,,,جدول 9: الأصول الإحتياطية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,الذهب النقدي,حقوق السحب,وضع الإحتياطي لدى ,نقد أجنبي ,إستثمارات في أوراق,إجمالي الأصول,
,,,الخاصة, صندوق النقد الدولي,وودائع في الخارج,مالية في الخارج,الإحتياطية,
End of Period,,Monetary,SDR,Reserve Position,Foreign Currency ,Investment in Foreign,Total Reserves ,
,,Gold,, in the IMF,and Deposits Abroad,Securities,Assets,
Q4,2025,1623.54231183,80479.4595175969,12947.83854819927,619058.9659014599,1011748.3056379108,1725858.0720809768,
,,,,,,,,
2001-01-31T00:00:00,,756,713.29725123345,5074.438253369549,129079.70274876655,57056,192679.43825336953,
2001-02-28T00:00:00,,756,762.1516614432,6105.4314286896,128418.8483385568,57440,193482.4314286896,
2001-03-31T00:00:00,,756,743.3820964335,5955.07251994425,132889.6179035665,53106,193450.07251994425,
2001-04-30T00:00:00,,756,746.3091305359125,5979.3529092295485,134557.69086946407,48883,190922.35290922952,
2001-05-31T00:00:00,,756,792.1787434249874,6559.229244236624,133409.821256575,50599,192116.2292442366,
2001-06-30T00:00:00,,756,786.7595670230625,6850.6840418480615,133318.24043297695,50396,192107.6840418481,
2001-07-31T00:00:00,,756,795.027284867025,6922.674933437024,128072.97271513297,57118,193664.67493343703,
2001-08-31T00:00:00,,756,869.1778581906375,7737.027115242487,120792.82214180936,64778,194933.0271152425,
2001-09-30T00:00:00,,756,869.7041296867126,10231.112307932663,119012.29587031329,65067,195936.11230793266,
2001-10-31T00:00:00,,756,862.3295816712,10144.358863408801,120065.6704183288,63075,194903.3588634088,
2001-11-30T00:00:00,,756,912.8383260642,10049.1126297138,111663.1616739358,69935,193316.11262971378,
2001-12-31T00:00:00,,756,906.0970156030123,9592.897214674123,106583.90298439699,73557,191395.89721467413,
2002-01-31T00:00:00,,756,895.50558772335,9436.9390476705,98373.49441227665,72922,182383.93904767052,
2002-02-28T00:00:00,,756,946.908710206875,11680.974755995836,97598.09128979313,70327,181308.97475599585,
2002-03-31T00:00:00,,756,950.9354154168749,11676.847993987049,92798.36458458312,70205.4,176387.54799398704,
2002-04-30T00:00:00,,756,966.6937215357748,11017.324391779237,85454.30627846422,72352,170546.32439177923,
2002-05-31T00:00:00,,756,1046.525051207475,11305.783768574924,84360.47494879253,72107,169575.78376857494,
2002-06-30T00:00:00,,756,1078.796677381725,11650.549518495374,88379.20332261827,63419,165283.54951849536,
2002-07-31T00:00:00,,756,1072.3261352493003,12008.533997605502,90160.6738647507,58581,162578.5339976055,
2002-08-31T00:00:00,,756,1145.4634228738498,12730.3669048551,92365.53657712616,54370,161367.36690485512,
2002-09-30T00:00:00,,756,1141.3044081031499,13056.1513157469,86587.99559189685,53754,155295.4513157469,
2002-10-31T00:00:00,,756,1140.3897700000502,13036.3954423188,98783.61022999995,49548,163264.3954423188,
2002-11-30T00:00:00,,756,1210.9885314164997,13056.494530475698,106253.0114685835,46902,168178.4945304757,
2002-12-31T00:00:00,,756,1243.401552951,13364.5105353576,111742.598447049,43716,170822.51053535758,
2003-01-31T00:00:00,,756,1258.967851667625,13458.0029667402,115540.03214833238,43519,174532.0029667402,
2003-02-28T00:00:00,,756,1317.2022701881872,13375.982182445998,118973.7977298118,44421,178843.982182446,
2003-03-31T00:00:00,,756,1320.0272143282125,14192.881048716976,136999.9727856718,37283,190551.88104871698,
2003-04-30T00:00:00,,756,1329.6754233943125,14297.432658652275,147452.3245766057,37814,201649.43265865228,
2003-05-31T00:00:00,,756,1423.210890325875,14669.768634537188,126735.78910967412,61425,205009.76863453718,
2003-06-30T00:00:00,,756,1404.07705047495,16153.578279360376,111076.42294952505,76547,205937.07827936037,
2003-07-31T00:00:00,,756,1395.146588815875,15778.252448508374,103878.75341118412,89786,211594.15244850836,
2003-08-31T00:00:00,,756,1437.9860923210124,15243.971960567362,106100.013907679,91588,215125.97196056737,
2003-09-30T00:00:00,,756,1492.8214038929623,16349.22312126191,112881.17859610704,91601,223080.22312126192,
2003-10-31T00:00:00,,756,1494.8991318066749,16371.978179005575,111593.10086819333,99354,229569.9781790056,
2003-11-30T00:00:00,,756,1574.209039420425,16566.36811952932,123039.79096057957,97744,239680.36811952933,
2003-12-31T00:00:00,,756,1614.6187870536373,16977.851614886025,124365.38121294636,97035,240748.85161488602,
2004-01-31T00:00:00,,756,1609.5553446236624,15899.050832936062,130249.44465537634,96048,244562.05083293607,
2004-02-29T00:00:00,,756,1672.7280052219874,15264.3995074962,139315.271994778,97616,254624.39950749621,
2004-03-31T00:00:00,,756,1673.2252792173374,14128.5301147866,144389.77472078268,96694,257641.5301147866,
2004-04-30T00:00:00,,756,1640.7425206680373,13854.836425657799,136773.25747933195,104713,257737.8364256578,
2004-05-31T00:00:00,,756,1715.451286555425,14016.9722617212,144793.5487134446,110308,271589.9722617212,
2004-06-30T00:00:00,,756,1712.414717510175,13666.496093809652,156927.58528248983,92876,265938.49609380966,
2004-07-31T00:00:00,,756,1702.5341890013997,13587.6412446372,168948.4658109986,100244,285238.6412446372,
2004-08-31T00:00:00,,756,1765.879173787725,13461.491203685886,173890.12082621228,106326,296199.4912036859,
2004-09-30T00:00:00,,756,1775.864702924175,12864.722758912161,180626.13529707582,106983,303005.72275891213,
2004-10-31T00:00:00,,756,1811.87788851435,13125.609552551325,186121.12211148566,131846,333660.6095525513,
2004-11-30T00:00:00,,756,1924.1537831752498,13450.689034924126,154021.84621682475,173493,343645.68903492414,
2004-12-31T00:00:00,,756,1945.5889490259751,13121.349123330338,129104.41105097403,197338,342265.3491233303,
2005-01-31T00:00:00,,756,1908.75,12885,150187.25,202152,367889,
2005-02-28T00:00:00,,756,1991.25,12836.25,131857.75,220959,368400.25,
2005-03-31T00:00:00,,756,1965,12506.25,128600,232853,376680.25,
2005-04-30T00:00:00,,756,1972.5,11561.25,135127.5,237078,386495.25,
2005-05-31T00:00:00,,756,1987.5,11242.5,170502.5,237979,422467.5,
2005-06-30T00:00:00,,756,1965,10057.5,177935,233915,424628.5,
2005-07-31T00:00:00,,756,1957.5,10023.75,186332.5,256880,455949.75,
2005-08-31T00:00:00,,756,2036.25,10080,190120.75,268528,471521,
2005-09-30T00:00:00,,756,2021.25,9956.25,201822.75,270777,485333.25,
2005-10-31T00:00:00,,756,2017.5,9918.75,198103.5,303033,513828.75,
2005-11-30T00:00:00,,756,2055,8531.25,214891,328655,554888.25,
2005-12-31T00:00:00,,756,2062.5,7147.5,200886.5,369973,580825.5,
2006-01-31T00:00:00,,756,2085,6960,188028,405455,603284,
2006-02-28T00:00:00,,756,2133.75,6420,178118.25,432001,619429,
2006-03-31T00:00:00,,756,2141.25,5302.5,198530.75,459123,665853.5,
2006-04-30T00:00:00,,756,2186.25,5403.75,171153.75,491813,671312.75,
2006-05-31T00:00:00,,756,2276.25,4991.25,190347.75,505165,703536.25,
2006-06-30T00:00:00,,756,2253.75,4942.5,172392.25,501748,682092.5,
2006-07-31T00:00:00,,756,2261.775,4950.9,177082.225,547642,732692.9,
2006-08-31T00:00:00,,756,2321.025,4834.912499999999,192135.975,562423,762470.9125,
2006-09-30T00:00:00,,756,2302.5,4796.25,221660.5,559381,788896.25,
2006-10-31T00:00:00,,756,2306.25,3870,220772.75,585895,813600,
2006-11-30T00:00:00,,756,2403.75,3427.5,208663.25,610960,826210.5,
2006-12-31T00:00:00,,756,2400,3420,214509,625667,846752,
2007-01-31T00:00:00,,756,2377.5,3386.25,189387.5,652476,848383.25,
2007-02-28T00:00:00,,756,2445,3408.75,188942,665156,860707.75,
2007-03-31T00:00:00,,756,2456.25,3037.5,210511.75,677895,894656.5,
2007-04-30T00:00:00,,756,2478.75,3037.5,208746.25,689334,904352.5,
2007-05-31T00:00:00,,756,2505,3015,194220,720492,920988,
2007-06-30T00:00:00,,756,2508.75,3022.5,162573.25,723955,892815.5,
2007-07-31T00:00:00,,756,2535,3052.5,184437,769221,960001.5,
2007-08-31T00:00:00,,756,2580,3045,170646,771295,948322,
2007-09-30T00:00:00,,756,2621.25,3093.75,201189.75,779187,986847.75,
2007-10-31T00:00:00,,756,2647.5,2835,217723.5,810475,1034437,
2007-11-30T00:00:00,,756,2722.5,2812.5,257082.5,822826,1086199.5,
2007-12-31T00:00:00,,756,2703.75,2741.25,349386.25,790559,1146146.25,
2008-01-31T00:00:00,,756,2730,2767.5,399938,806767,1212958.5,
2008-02-29T00:00:00,,1624,2790,2793.75,392339,858258,1257804.75,
2008-03-31T00:00:00,,1624,2850,2827.3875000000003,380467,926254,1314022.3875,
2008-04-30T00:00:00,,1624,2812.5,2715,344043.5,982830,1334025,
2008-05-31T00:00:00,,1624,2838.75,3135,331825.25,1032621,1372044,
2008-06-30T00:00:00,,1624,2861.25,3157.5,304622.75,1118475,1430740.5,
2008-07-31T00:00:00,,1624,2838.75,3135,379869.25,1132360,1519827,
2008-08-31T00:00:00,,1624,2782.5,2936.25,402970.5,1167798,1578111.25,
2008-09-30T00:00:00,,1624,2760,2913.75,468794,1165415,1641506.75,
2008-10-31T00:00:00,,1624,2636.25,2782.5,488999.75,1172719,1668761.5,
2008-11-30T00:00:00,,1624,2662.5,5013.75,501106.5,1169091,1679497.75,
2008-12-31T00:00:00,,1624,2756.25,5190,496172.75,1154247,1659990,
2009-01-31T00:00:00,,1624,2696.25,5493.75,470304.75,1154356,1634474.75,
2009-02-28T00:00:00,,1624,2640,5351.25,470341,1122238,1602194.25,
2009-03-31T00:00:00,,1624,2692.5,5400,434139.5,1114577,1558433,
2009-04-30T00:00:00,,1624,2696.25,6382.5,403909.75,1102031,1516643.5,
2009-05-31T00:00:00,,1624,2793.75,6600,390408.25,1098908,1500334,
2009-06-30T00:00:00,,1624,2803.125,7489.162499999999,368826.875,1094035,1474778.1625,
2009-07-31T00:00:00,,1624,2805,7492.5,342007,1096511,1450439.5,
2009-08-31T00:00:00,,1624,33247.5,7555.875,312370.5,1097173,1451970.875,
2009-09-30T00:00:00,,1624,41411.25,7642.5,322987.75,1071156,1444821.5,
2009-10-31T00:00:00,,1624,41555.4375,7670.865000000001,352421.5625,1073847,1477118.865,
2009-11-30T00:00:00,,1624,42093.75,7770,350631.25,1075144,1477263,
2009-12-31T00:00:00,,1624,40980,7564,416196,1071542,1537906,
2010-01-31T00:00:00,,1624,40629.825000000004,7498.62,423561.175,1079822,1553135.62,
2010-02-28T00:00:00,,1624,40068.525,7394.355,419083.475,1103239,1571409.355,
2010-03-31T00:00:00,,1624,39693.6,7325.1375,401116.4,1126127,1575886.1375,
2010-04-30T00:00:00,,1624,39507.15,7290.8175,379539.85,1141183,1569144.8175,
2010-05-31T00:00:00,,1624,38547.825,7113.31125,374029.175,1155104,1576418.31125,
2010-06-30T00:00:00,,1624,38660.700000000004,7135.36125,381633.3,1150106,1579159.36125,
2010-07-31T00:00:00,,1624,39650.85,7326.52125,388179.15,1144520,1581300.52125,
2010-08-31T00:00:00,,1624,39405.825,7280.1525,392530.175,1150487,1591327.1524999999,
2010-09-30T00:00:00,,1624,40640.549999999996,7508.268749999999,391152.45,1158769,1599694.26875,
2010-10-31T00:00:00,,1624,40753.2375,7583.535,426444.7625,1151703,1628108.5350000001,
2010-11-30T00:00:00,,1624,39567.3,7361.546249999999,436645.7,1158961,1644159.5462500001,
2010-12-31T00:00:00,,1624,39921.975000000006,7430.3025,438370.025,1181916,1669262.3025,
2011-01-31T00:00:00,,1624,40439.924999999996,9878.92125,452038.4,1197077,1701058.24625,
2011-02-28T00:00:00,,1624,40731.149999999994,10096.664999999999,424792.1,1221352,1698595.915,
2011-03-31T00:00:00,,1624,41048.962499999994,10860.322499999998,462552,1246140,1762225.285,
2011-04-30T00:00:00,,1624,41601.75,11154.27375,469423,1267019,1790822.02375,
2011-05-31T00:00:00,,1624,41025.225,14421.975,487793.3,1293833,1838697.5,
2011-06-30T00:00:00,,1624,40989.1125,14419.09875,502093.5,1326567.8,1885693.51125,
2011-07-31T00:00:00,,1624,40471.65,15996.83625,498144.9,1344677.8,1900915.18625,
2011-08-31T00:00:00,,1624,40633.23,16100.482500000002,500041.6,1355225.8,1913625.1125,
2011-09-30T00:00:00,,1624,39427.875,17087.482500000002,532196.6,1385194.5,1975530.4575,
2011-10-31T00:00:00,,1624,39977.287500000006,17353.15875,534071.2,1389364.5,1982390.14625,
2011-11-30T00:00:00,,1624,39126.225,16977.405,537428.9,1411059.5,2006216.03,
2011-12-31T00:00:00,,1624,38600.2875,18233.291250000002,556608.9,1424988.8,2040055.27875,
2012-01-31T00:00:00,,1624,38324.587499999994,18421.05375,575510.1,1433912.8,2067792.54125,
