,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 9: Reserve Assets,,,,,,,جدول 9: الأصول الإحتياطية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,الذهب النقدي,حقوق السحب,وضع الإحتياطي لدى ,نقد أجنبي ,إستثمارات في أوراق,إجمالي الأصول,
,,,الخاصة, صندوق النقد الدولي,وودائع في الخارج,مالية في الخارج,الإحتياطية,
End of Period,,Monetary,SDR,Reserve Position,Foreign Currency ,Investment in Foreign,Total Reserves ,
,,Gold,, in the IMF,and Deposits Abroad,Securities,Assets,
Q1,2005,756,1965,12506.25,128600,232853,376680.25,
Q2,2005,756,1965,10057.5,177935,233915,424628.5,
Q3,2005,756,2021.25,9956.25,201822.75,270777,485333.25,
Q4,2005,756,2062.5,7147.5,200886.5,369973,580825.5,
Q1,2006,756,2141.25,5302.5,198530.75,459123,665853.5,
Q2,2006,756,2253.75,4942.5,172392.25,501748,682092.5,
Q3,2006,756,2302.5,4796.25,221660.5,559381,788896.25,
Q4,2006,756,2400,3420,214509,625667,846752,
Q1,2007,756,2456.25,3037.5,210511.75,677895,894656.5,
Q2,2007,756,2508.75,3022.5,162573.25,723955,892815.5,
Q3,2007,756,2621.25,3093.75,201189.75,779187,986847.75,
Q4,2007,756,2703.75,2741.25,349386.25,790559,1146146.25,
Q1,2008,1624,2850,2827.3875000000003,380467,926254,1314022.3875,
Q2,2008,1624,2861.25,3157.5,304622.75,1118475,1430740.5,
Q3,2008,1624,2760,2913.75,468794,1165415,1641506.75,
Q4,2008,1624,2756.25,5190,496172.75,1154247,1659990,
Q1,2009,1624,2692.5,5400,434139.5,1114577,1558433,
Q2,2009,1624,2803.125,7489.162499999999,368826.875,1094035,1474778.1625,
Q3,2009,1624,41411.25,7642.5,322987.75,1071156,1444821.5,
Q4,2009,1624,40980,7564,416196,1071542,1537906,
Q1,2010,1624,39693.6,7325.1375,401116.4,1126127,1575886.1375,
Q2,2010,1624,38660.700000000004,7135.36125,381633.3,1150106,1579159.36125,
Q3,2010,1624,40640.549999999996,7508.268749999999,391152.45,1158769,1599694.26875,
Q4,2010,1624,39921.975000000006,7430.3025,438370.025,1181916,1669262.3025,
Q1,2011,1624,41048.962499999994,10860.322499999998,462552,1246140,1762225.285,
Q2,2011,1624,40989.1125,14419.09875,502093.5,1326567.8,1885693.51125,
Q3,2011,1624,39427.875,17087.482500000002,532196.6,1385194.5,1975530.4575,
Q4,2011,1624,38600.2875,18233.291250000002,556608.9,1424988.8,2040055.27875,
Q1,2012,1624,38119.0875,18928.368749999998,634273.8,1443440.6,2136385.85625,
Q2,2012,1624,37084.0125,20129.579999999998,670294.1,1521496,2250627.6925,
Q3,2012,1624,37435.05,20456.41875,637149.7,1633372,2330037.16875,
Q4,2012,1624,36973.725,21110.7075,737281.7,1665161.9,2462152.0324999997,
Q1,2013,1623.5026203900002,35113.87650597615,20044.460155340028,672139.4624860601,1790403.4252087697,2519324.726976536,
Q2,2013,1623.5026203900002,35346.21557099119,19670.71908434985,638228.17934847,1895903.81312254,2590772.429746741,
Q3,2013,1623.5026203900002,36029.967860570396,20207.128182537603,651781.1130436601,1928329.43624956,2637971.1479567178,
Q4,2013,1623.5026203900002,36172.320139725,19353.839510775,716613.68908723,1947704.4963771398,2721467.8477352597,
Q1,2014,1623.5026203900002,36309.81469828073,18921.83208845299,676487.6417187,2017911.9002498798,2751254.6913757036,
Q2,2014,1623.5026203900002,36320.50816878431,18614.052027220838,649526.14483567,2077788.2073816499,2783872.415033715,
Q3,2014,1623.5026203900002,34836.53489535945,17160.439765663425,665177.27160409,2074611.06310149,2793408.811986993,
Q4,2014,1623.5026203900002,34044.6,14703.3,702295.70742678,1993656.9458590401,2746324.05590621,
Q1,2015,1623.5026203900002,32411.7367405,12075.854372400001,608081.1108254099,1963277.8431659502,2617470.0477246502,
Q2,2015,1623.50262,33255.4500686,11939.1304444,665135.87717379,1821197.59723302,2533151.55753981,
Q3,2015,1623.5026203900002,33193.804675800005,11717.603239600001,735747.73437616,1672247.15000226,2454529.79491421,
Q4,2015,1623.5026203900002,33766.73,11230.16,763905.5706119599,1501041.48956548,2311567.45279783,
Q1,2016,1623.5026203900002,30358.9,7790.4,705414.9333040799,1456377.78043892,2201565.51636339,
Q2,2016,1623.5026203900002,29765.02,7624.45,721445.62750168,1378171.9788363401,2138630.5789584103,
Q3,2016,1623.50262,28654.07,7555.62,649181.14780212,1391193.85695587,2078208.19737799,
Q4,2016,1623.5026203900002,27600.59,7276.93,613767.9719594299,1358970.34940399,2009239.34398381,
Q1,2017,1623.5026203900002,27858.45,7184.4,567081.4985602701,1303716.6461624498,1907464.49734311,
Q2,2017,1623.5026203900002,28552.09,7363.3,582200.48515816,1262526.0876546102,1882265.4654331603,
