,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,, الأرقام القياسية للأسعار       Price Indices,
,,,,,,,,,,,,,,,,
Table 1: Consumer Price Indices By Expenditure Divisions,,,,,,,,,,,,,,,جدول 1: الأرقام القياسية لأسعار المستهلك حسب أقسام الإنفاق,
 ( 2023=100 ),,,,,,,,,,,,,,, ( 2023=100 ),
متوسط,,الرقم,الاغذية,,الملابس,السكن والمياه والكهرباء,الأثاث والأجهزة المنزلية,الصحة,النقل ,المعلومات,الترفيه والرياضة,خدمات ,المطاعم,التأمين,العناية الشخصية والحماية الاجتماعية,
الفترة,,القياسي,والمشروبات,التبغ,والاحذية, والغاز و أنواع وقود أخرى,والصيانة الدورية للمنزل,,,والاتصالات, والثقافة,التعليم,وخدمات الإقامة,والخدمات المالية, والسلع والخدمات الأخرى,
,,العام,Food ,Tobacco,Clothing  ,"Housing , Water, Electricity, Gas, and other fuels","Furnishings, Household Equipment and Routine Household Maintenance",Health,Transport,Information,"Recreation, Sport and Culture",Education Services,Restaurants and Accommodation Services,Insurance and Financial Services,"Personal Care, Social Protection and Miscellaneous Goods and Services",
Period,,General,and,Toobcco,and,,,,, and ,,Education,Restaurants and Hotels,,,
Average,,Index, beverages,,Footwear,,,,,Communication,,,,,,
,,,,Toobcco,,,,,,,,Education,Restaurants and Hotels,,,
Q2,2020,89.61967376035274,86.7060711509274,88.81019864620839,99.83584804374372,93.064618322769,91.95056588076868,95.69975802976559,78.2403641086878,89.33189906802954,85.62402293794604,97.68461577874048,83.82893007348987,83.36753429522416,93.58089187692671,
Q3,2020,94.8625917421201,93.44956300244375,99.13792009121521,106.13395088511368,93.97221927373029,99.9647598492571,98.48972906916885,87.9956291065862,98.32695711981576,86.6150488754418,94.55160288381985,90.66812599855183,94.84136518954926,99.15881525483066,
Q4,2020,94.67061174568344,93.9833325683769,99.385219510978,106.09458412002,93.30373161301907,100.09622507531867,98.86795678409321,88.51057042474288,99.3188326261859,85.6852647168909,88.0426413786502,91.00935692327448,96.75516557626919,99.09320269736327,
Q1,2021,94.54387399585279,93.23150957867826,99.55327190763053,104.906295792386,92.16188822460329,100.15516387064152,98.71950223565523,90.77324986216973,101.08299637349766,86.79480624039381,86.75533292874839,90.98718587367175,96.23314015953338,99.24819001862456,
Q2,2021,94.82634032313099,93.72665723786564,99.67220282730956,105.07076475812867,91.23956040020262,100.69504753521433,98.61552373339127,94.00329630182831,100.88806448073133,87.8757923370984,87.4099740364244,91.18672870667031,95.9613506411102,99.10644247204864,
Q3,2021,95.33970977124797,95.12565721327753,99.5395189907728,105.15802003969799,90.79246251804933,100.69498928625633,98.67015491397846,95.88816840001063,100.638034542992,89.6175954720701,89.76611605909982,91.57708443433383,95.01546562240003,99.50798314173693,
Q4,2021,95.95271047953673,95.25342476668395,99.54233583421524,105.05507754089933,91.62727878572461,100.65938236536734,98.4351827681864,96.08718183018607,100.99630912893866,93.78867049696957,94.0472087671464,92.02753531278034,94.7244584007535,99.33261941389776,
Q1,2022,96.28512772402797,95.7305394678753,99.52139013091103,104.07162769084,91.53932377069657,100.69024168960334,98.51585522949894,97.19223224192706,101.39205951350134,96.2618984044567,94.9312051847355,92.84587263205236,94.1252114974086,99.60148347482937,
Q2,2022,97.02555097918076,98.20172950184114,99.44877688179467,104.08885947874568,91.62829081015725,100.91246054256668,98.79727313116668,98.13308476275391,100.74246290412532,98.59631322078816,95.163779228482,94.64138428780302,94.51353401652386,99.7253419999887,
Q3,2022,98.07411964425067,99.5844566597675,99.52678279892253,103.91718606136233,92.96404782455512,101.13774910632901,98.79420241282436,99.1433382636403,100.46216919960699,103.19830810568567,96.1491019465816,97.5469633366592,94.40734554566075,99.60380447421733,
Q4,2022,98.96251512555803,99.87202107875127,99.57207060851637,102.93093135863533,95.63745565878104,100.57702699455267,98.88483020623967,98.98523715281938,101.29609828535634,100.14473168476188,99.22938551653529,98.81012646513777,96.44644058131466,99.65755882925657,
Q1,2023,99.4352306502173,99.5575671235669,99.7871094711874,101.186146206445,97.9475240629684,100.01630563952229,99.7506706388502,99.30330141094866,100.68078346115067,99.80561912757669,99.2624585937247,99.41216496322977,101.11287740544346,99.69850252988401,
Q2,2023,99.7839615421283,99.53998095838404,99.85081188833173,101.18522118964768,99.31281459061073,100.24216491005166,100.36279196814932,99.49678831549183,100.28130497760367,101.39779228603935,99.3494302769627,98.66488132026906,101.14455170250272,100.78350374368767,
Q3,2023,100.15498802458166,100.08914564403987,100.15433900004147,99.58472479577891,100.70130242465267,100.00210724928807,99.73311141354093,100.545425297108,99.77455810111212,99.70915961854026,100.190516209193,100.2214239438449,98.73327929702886,99.84157855998637,
Q4,2023,100.62996570081934,100.81926253129166,100.20886047266123,98.08038159568177,102.08995017089467,99.74036662867134,100.15499192945833,100.66351717673399,99.269609979888,99.10537309964707,101.209895615327,101.74227995214666,99.07037503787143,99.68176151899826,
Q1,2024,100.92639625204599,100.45664268017852,98.9046829346521,96.75072612632437,103.57873843348868,99.60176576147519,100.450314882158,100.58083921737699,99.0570261287873,100.3583227126825,101.551677585846,103.20200073696901,98.88645958452555,100.28624162568799,
