,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30e: Points of Sale Transactions by Activity (Value of Transactions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جدول 30e:عمليات نقاط البيع حسب الأنشطة (قيمة العمليات)
(Sales in Thousand ﷼),,,,,,,,,,,,,,,,, (المبيعات بالألف ﷼),,,,,,,,,,,,,,,,,,,,,, (المبيعات بالألف ﷼)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,2024-12-31T00:00:00,2025-01-01T00:00:00,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,2024-01-05T00:00:00,2024-02-05T00:00:00,2024-03-05T00:00:00,2024-04-05T00:00:00,2024-05-06T00:00:00,2024-06-07T00:00:00,2024-07-08T00:00:00,2024-08-08T00:00:00,2024-09-06T00:00:00,2024-10-08T00:00:00,2024-11-09T00:00:00,2024-12-08T00:00:00,2025-01-09T00:00:00,2025-02-10T00:00:00,2025-03-11T00:00:00,2025-04-12T00:00:00,2025-05-01T00:00:00,2025-06-01T00:00:00,2025-07-01T00:00:00,2025-08-01T00:00:00,2025-09-01T00:00:00,2025-10-01T00:00:00,2025-11-02T00:00:00,2025-12-01T00:00:00,2026-01-01T00:00:00,2026-02-01T00:00:00,,النشاط
Professional & Business Services,61454484.592249975,54821876.95958,15432644.13845,15152405.64757,15045891.291239996,15823543.514989983,16758058.141259983,14724725.884599984,13187369.370460004,10151723.563260026,,4946582.429879999,5019486.010949996,5466575.697620004,4851473.781530001,5292145.412739998,5008786.453299999,5249836.301309998,4861931.872730001,4934123.1171999965,5204245.903989994,5134921.496659995,5484376.114339994,5334833.962609995,5384988.330869995,6038235.847779993,4681022.296909996,5376718.356769993,4666985.230919995,4723716.441499998,4516751.390840002,3946901.5381200043,3318109.2403700086,3304584.2041700073,3529030.118720011,3662265.4011800084,3478543.497330005,,الخدمات المهنية والتجارية
Electronic & Electric Devices,12365407.560679998,9643979.9949,3288774.795579998,3117670.28462,3085694.0623299996,2873268.41815,2342975.3788199998,2318405.19869,2436447.0406000004,2546152.3767899997,,994979.1461899997,1144314.5903299993,1149481.059059999,890571.3839299998,1181935.67634,1045163.2243500001,1011117.3386,966245.1547300001,1108331.5689999997,993412.6196099998,952860.36578,926995.43276,763514.2263800001,818698.8538399999,760762.2986,731875.9263599998,825046.5043000004,761482.7680299998,801652.1199099999,762698.7633199998,872096.1573700005,849051.86452,820608.2628899994,876492.2493800003,865834.1674100003,859582.3211799996,,الأجهزة الإلكترونية والكهربائية
Furniture & Home Supplies,23578352.872080002,25564366.15631,6445418.50927,5353971.398770001,5845786.401310001,5933176.562729999,6623225.905989999,5464096.93883,6851346.61723,6625696.694259999,,1839627.8625900005,2185823.8501600004,2419966.7965199994,1659331.9191699997,1911244.1852500006,1783395.29435,1821932.4747500003,1845413.6523600002,2178440.2742000003,1857429.2226899997,1925429.1280000007,2150318.212039999,1957685.3544300008,2429740.310239999,2235800.2413199996,1532933.3759300003,2009734.3825699997,1921429.1803300004,2156618.1915100007,2136878.538770001,2557849.8869499983,2121064.9039199995,2185620.21732,2319011.57302,2331268.344129999,2640588.9723800006,,الأثاث والمستلزمات المنزلية
Construction & Building Materials,21916500.06712,21305120.47649,5621071.738050001,4872118.87227,5551808.83913,5871500.61767,5462821.450290001,4964243.59201,5394714.400659999,5483341.033529999,,1895831.08618,1927310.4565200005,1797930.19535,1396398.1829599997,1881786.9272100003,1593933.7621000002,1822981.16103,1790053.3668000007,1938774.3112999995,1952282.9583200002,1859045.7838299996,2060171.8755200002,1875944.8314700008,1957410.48737,1629466.1314500002,1620584.74049,1821035.401919999,1522623.4496000006,1823221.7454799998,1770439.1433799993,1801053.5118,1800271.9570499987,1778526.6322999997,1904542.4441800003,1835280.5512100004,1715956.1936200003,,مواد البناء والتعمير
Jewelry,14500805.694669995,18638266.968119998,3546665.069869999,3902005.6649899986,3115491.73418,3936643.2256299993,5074067.36975,4435407.237639999,4175227.87316,4953564.487569998,,1011295.7902099997,1138158.2205099997,1397211.0591499999,1504909.9854699995,1201601.5153299992,1195494.1641900002,984865.5810700005,1037922.5107999995,1092703.64231,1176234.189749999,1419000.92569,1341408.1101900002,1270417.3587399998,1272485.366839999,2531164.6441700007,1410978.6975099987,1557549.8328,1466878.7073300001,1430106.6345500012,1305264.0542399988,1439857.1843699997,1892614.4156499996,1472741.0726499993,1588208.9992699993,2066579.5708299996,1888315.7073899992,,المجوهرات
Telecommunication,7311220.188869999,8319832.3978,1748939.1782399998,1789230.3878199994,1806827.2836399996,1966223.3391700003,1991770.48187,1842448.92748,2048798.8627700002,2436814.1256799996,,570650.5491199999,555416.6130599999,622872.0160599999,567157.5524699996,634752.3611399996,587320.4742100002,609338.5634099997,613970.8631999999,583517.8570300001,667005.9432999997,637377.3394900004,661840.0563800002,660290.0486200001,615373.8449100001,716106.5883399998,591938.1465600001,641200.8074999999,609309.9734200002,692411.9409000003,651399.7772600001,704987.1446099998,815083.4392399999,796951.5127399993,824779.1737000004,859354.8237399998,744362.1020900001,,الاتصالات
Education,10686449.371709999,10868611.19749,1988227.7403999995,1954315.1318199993,4495748.680670001,2248157.818819999,1901241.4700299997,2262217.6742200004,4834155.0022,1870997.0510400003,,772325.2913100001,522462.19593999995,693440.2531499997,514551.21859999985,849503.5389899999,590260.3742299996,592126.7646600001,3064253.4781800015,839368.4378299996,635630.5720699993,788855.22353,823672.02322,851388.6136199997,549719.19621,500133.6602,810995.3390000002,844466.1902200001,606756.1450000001,591834.9289900002,3057178.4681500006,1185141.605059999,630903.5257300001,535485.9280299998,704607.5972800003,1172771.0023500004,603271.2920299998,,التعليم
Public Utilities & Services,3856932.4417400006,2651879.57276,1295252.9527599998,979964.9437900002,873200.8184000006,708513.72679,727026.05339,616766.5094799999,638101.9228,669985.0870899998,,516773.55389999994,402074.1631399996,376405.2357200001,300684.2116300002,362796.94490000006,316483.78725999995,311545.9732900002,324649.29695000016,237005.54816000012,237054.10463,224216.0611000001,247243.5610599999,230063.86621,246999.13083999997,249963.05633999998,201556.51086999985,217421.29736000006,197788.70125,215043.4928899999,206950.19019000005,216108.23971999998,224747.85426000002,215400.94038999986,229836.2924399999,239211.9832299998,246955.53798999987,,المنافع والخدمات العامة
Gas Stations,45359163.16896999,49971975.57065,10783943.349239998,10961290.23407,11632188.932459999,11981740.653199997,11850456.214370001,11999801.916009998,13069905.80886,13051811.631409999,,3617071.7777399984,3527797.2574299993,3639074.314069999,3494295.979459999,3922688.762309999,3544305.492300001,3701712.498919999,3963656.7023099987,3966819.731230001,4083220.07473,3934217.0156899984,3964303.562779999,4160420.6877,3813588.5453399993,3876446.9813300013,3927357.9690299993,4246674.27168,3825769.675299999,4248370.46751,4455597.794289999,4365937.547060001,4466973.513859999,4262636.56649,4322201.5510599995,4386457.322909998,3700783.957789997,,محطات الوقود
Laundry Services,2419478.55483,2762314.649359999,547802.1520100001,602235.1772099999,610579.4359200003,658861.7896899998,683566.4513299998,674004.0815099998,686158.86313,718585.25339,,181097.59073999996,171652.10228000002,195052.45899,206639.93305000005,201248.61448999986,194346.62967,190327.10524000006,215982.0420500001,204270.28863000014,215037.45930999995,221542.07841999998,222282.25195999985,220616.78497999997,198119.73038000002,264829.9359699998,215961.35475999993,234772.10811,223270.6186399999,229745.58633999998,237918.96952,218494.30727000002,238526.05908999994,241849.29562999983,238209.89867000014,243986.07895999993,220705.37221000003,,خدمات غسيل الملابس
Others,83608265.56074499,109867342.4455221,20148537.68369999,20482984.514549993,21641109.784938015,21335633.57755699,25894621.02576862,25559644.476831995,29002402.86813,29410674.0747915,,6286071.090219999,6399838.670659998,7462627.922819994,6587420.43217,7066647.613569996,6828916.468809998,7057213.422889998,7998875.226738016,6585021.13531,6629353.738769993,7018350.007007,7687929.831779998,8025339.953149998,8547008.796489999,9322272.276128624,7674951.081121995,9303765.52964,8580927.866069999,9604948.813919999,10120855.265689997,9276598.788519999,9780907.62048,9675540.369931497,9954226.084379999,10323561.69239999,9911223.690419996,,أخرى
Total,668184480.829145,707151169.312102,167198884.50394005,162205009.66114995,167491231.777158,171289354.8868969,181737947.55856857,165703631.73218197,179699311.73348996,180010278.28786147,,53800569.00389002,53719464.45298001,59678851.04707,52953272.74495998,56489793.87834998,52761943.03783997,54123020.861159995,58509974.490108036,54858236.42588996,55740894.695219986,56453977.61462699,59094482.577049956,58208612.06206998,57871765.99947997,65657569.497018605,52223280.03051198,59499815.471839994,53980536.229830004,58885108.84522998,62571295.93812999,58242906.95012999,59862413.963219985,59012822.54161148,61135041.783029996,63693618.20502,59880373.048169985,,الإجمالي
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Points of sale transactions by activity for cities are available on Saudi Central Bank Portal for Open Data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ملاحظة: عمليات نقاط البيع حسب الأنشطة للمدن متاحة في منصة البنك المركزي السعودي للبيانات المفتوحة.
