,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,القائمة الرئيسية   Main List,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29a: Bank Branches Operating In Saudi Arabia,,,,,,,,,,,جدول 29a: فروع المصارف العاملــة في المملكـة العربيــة السعوديــة ,,Contd. 2 table 29a: Bank Branches Operating In Saudi Arabia,,,,,,,,,,,,تابع 2 جدول 29a: فروع المصارف العاملــة في المملكـة العربيــة السعوديــة ,,Contd.3 table 29a: Bank Branches Operating In Saudi Arabia,,,,,,,,,,,,,تابع 3 جدول 29a: فروع المصارف العاملــة في المملكـة العربيــة السعوديــة ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك الجزيرة,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك الخليج ,بنك الإمارات ,بنك ,بي إن بي ,بنك الكويت,دويتشه,بنك ,بنك البحرين,بنك جي بي ,مصرف ,بنك باكستان,,نهاية,,بنك زراعات,ستيت بنك,البنك الصناعي,بنك قطر,بنك,بنك ,بنك ,بنك,المصرف,بنك,البنك  ,المجموع,,,,
الفترة,,السعودي**,,الفرنسي,الوطني,الأول*,,,للإستثمار,الراجحي,المالية **,,الفترة,,الدولي ,دبي الوطني,البلاد,باريبا,الوطني,بنك,مسقط,الوطني,مورجان تشيز ان أي,الانماء,الوطني,,الفترة,,بنكازي,أوف إنديا,والتجاري الصيني,الوطني,أبوظبي الأول ,إم يو إف جي,يو بي إس إيه جي,ستاندرد تشارترد,الأهلي العراقي,صحار الدولي,الأهلي المصري,,,,,
End of,,Saudi National,Riyad, Banque Saudi ,Arab,Saudi Awwal, Bank ,Alawwal,The Saudi ,Alrajhi ,Samba,,End of,,Gulf International,Emirates,Bank,BNP Paribas,  National Bank ,Deutsche,Bank,  National Bank ,J.P Morgan ,Alinma ,National Bank ,,End of,,T. C. Ziraat,State Bank,ICBC,Qatar National,First Abu Dhabi,المحدودة,UBS AG,Standard ,National Bank ,Sohar ,National Bank,Total,,,,
Period,,Bank**,  Bank,Fransi,National Bank,Bank*,AlJazira,Bank*,Investment Bank,Bank,Financial Group **,,Period,,Bank ,NBD, Albilad ,,of Kuwait,Bank, Muscat ,of Bahrain,Chase N.A Bank,Bank,of Pakistan,,Period,,Bankasi A. S.,of India,,Bank,Bank,MUFG,Bank,Chartered Bank,of Iraq,International Bank,of Egypt,,,,,
1994,,248,179,60,126,60,23,39,10,347,45,,1994,, ---, ---,         ---       ,         ---       ,         ---       ,         ---       ,---,---,---,---,---,,1994,,---,---,---,---,---,---,---,---,---,---,---,1214,,,,
1995,,241,177,58,118,61,13,37,11,350,46,,1995,, ---, ---,         ---       ,         ---       ,         ---       ,         ---       ,---,---,---,---,---,,1995,,---,---,---,---,---,---,---,---,---,---,---,1192,,,,
1996,,244,178,58,117,65,13,37,11,352,46,,1996,, ---, ---,         ---       ,         ---       ,         ---       ,         ---       ,---,---,---,---,---,,1996,,---,---,---,---,---,---,---,---,---,---,---,1208,,,,
1997,,245,181,55,115,67,12,37,11,357,43,,1997,,--, ---,---,---,---,---,---,---,---,---,---,,1997,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
1998,,247,193,55,115,68,12,36,13,364,43,,1998,,--, ---,---,---,---,---,---,---,---,---,---,,1998,,---,---,---,---,---,---,---,---,---,---,---,1229,,,,
1999,,246,191,56,115,70,13,37,13,375,80,,1999,,--, ---,---,---,---,---,---,---,---,---,---,,1999,,---,---,---,---,---,---,---,---,---,---,---,1196,,,,
2000,,246,196,56,114,69,13,37,13,375,64,,2000,,1, ---,---,---,---,---,---,---,---,---,---,,2000,,---,---,---,---,---,---,---,---,---,---,---,1184,,,,
2001,,245,193,56,115,71,13,37,13,392,63,,2001,,1, ---,---,---,---,---,---,---,---,---,---,,2001,,---,---,---,---,---,---,---,---,---,---,---,1199,,,,
2002,,246,193,56,117,69,13,37,15,391,65,,2002,,1, ---,---,---,---,---,---,---,---,---,---,,2002,,---,---,---,---,---,---,---,---,---,---,---,1203,,,,
2003,,246,193,58,117,69,15,37,15,393,65,,2003,,1, ---,---,---,---,---,---,---,---,---,---,,2003,,---,---,---,---,---,---,---,---,---,---,---,1209,,,,
2004,,246,193,62,117,68,17,38,15,393,65,,2004,,1,1,---,---,---,---,---,---,---,---,---,,2004,,---,---,---,---,---,---,---,---,---,---,---,1216,,,,
2005,,243,195,61,116,60,21,40,16,385,62,,2005,,2,1,21,1, ---, ---, ---,---,---,---,---,,2005,,---,---,---,---,---,---,---,---,---,---,---,1224,,,,
2006,,260,198,68,116,61,23,41,23,390,63,,2006,,2,1,40,1,1,1,---,---,---,---,---,,2006,,---,---,---,---,---,---,---,---,---,---,---,1289,,,,
2007,,266,200,74,123,63,24,42,26,403,65,,2007,,2,1,60,1,1,1,1,---,---,---,---,,2007,,---,---,---,---,---,---,---,---,---,---,---,1353,,,,
2008,,275,201,75,131,68,24,43,33,425,65,,2008,,2,1,61,1,1,1,1,1,1,---,---,,2008,,---,---,---,---,---,---,---,---,---,---,---,1410,,,,
2009,,284,216,77,139,72,48,42,43,442,67,,2009,,2,1,67,1,1,1,1,1,1,13,---,,2009,,---,---,---,---,---,---,---,---,---,---,---,1519,,,,
2010,,287,241,81,139,80,50,44,45,451,68,,2010,,2,1,75,1,1,1,1,1,1,20,1,,2010,,---,---,---,---,---,---,---,---,---,---,---,1591,,,,
2011,,295,232,83,142,80,51,44,48,455,69,,2011,,2,1,82,1,1,1,1,1,1,37,1,,2011,,1,1,---,---,---,---,---,---,---,---,---,1630,,,,
2012,,299,233,86,145,79,54,45,48,467,72,,2012,,2,1,88,1,1,1,1,1,1,49,1,,2012,,1,1,---,---,---,---,---,---,---,---,---,1677,,,,
2013,,322,233,83,150,80,65,48,48,479,72,,2013,,3,1,102,1,1,1,1,1,1,54,1,,2013,,1,1,---,---,---,---,---,---,---,---,---,1749,,,,
2014,,342,315,82,156,81,70,55,48,501,72,,2014,,3,1,116,1,1,1,1,1,1,58,1,,2014,,1,1,---,---,---,---,---,---,---,---,---,1909,,,,
2015-12-31T00:00:00,,352,321,83,153,84,76,60,48,525,72,,2015-12-31T00:00:00,,3,1,120,1,1,1,1,1,1,69,1,,2015-12-31T00:00:00,,1,1,---,---,---,---,---,---,---,---,---,1976,,,,
2016-12-31T00:00:00,,374,328,86,151,82,80,65,48,539,72,,2016-12-31T00:00:00,,3,1,114,1,1,1,1,1,1,76,1,,2016-12-31T00:00:00,,1,1,1,---,---,---,---,---,---,---,---,2029,,,,
2017-12-31T00:00:00,,400,330,86,142,77,79,67,49,554,73,,2017-12-31T00:00:00,,3,1,112,1,1,1,1,1,1,85,1,,2017-12-31T00:00:00,,1,1,1,1,---,---,---,---,---,---,---,2069,,,,
2018-12-31T00:00:00,,401,321,86,140,75,79,67,52,551,72,,2018-12-31T00:00:00,,3,4,111,1,1,1,1,1,1,90,1,,2018-12-31T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2064,,,,
2019-12-31T00:00:00,,434,310,87,138,132,78,---,52,544,73,,2019-12-31T00:00:00,,3,4,110,1,3,1,1,1,1,95,1,,2019-12-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2076,,,,
2020-12-31T00:00:00,,431,274,87,136,107,79,---,52,543,73,,2020-12-31T00:00:00,,3,4,111,1,3,1,1,1,1,98,1,,2020-12-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2014,,,,
2021-12-31T00:00:00,,506,237,85,131,99,81,---,51,521,---,,2021-12-31T00:00:00,,3,7,106,1,3,1,1,1,1,100,1,,2021-12-31T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1945,,,,
2022-12-31T00:00:00,,494,236,82,127,100,82,---,51,516,---,,2022-12-31T00:00:00,,3,8,105,1,3,1,1,1,1,104,1,,2022-12-31T00:00:00,,1,---,1,1,3,1,1,1,1,---,---,1927,,,,
2023-12-31T00:00:00,,470,237,82,127,94,75,---,51,509,---,,2023-12-31T00:00:00,,3,15,108,1,3,1,1,1,1,108,1,,2023-12-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1901,,,,
2024-12-31T00:00:00,,481,224,81,122,93,73,---,51,512,---,,2024-12-31T00:00:00,,3,21,107,1,3,1,1,1,1,115,1,,2024-12-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1905,,,,
2025-12-31T00:00:00,,481,224,79,121,88,73,---,50,511,---,,2025-12-31T00:00:00,,3,22,108,1,3,1,1,1,1,127,1,,2025-12-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,1,1910,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,1997,243,178,56,117,65,13,37,11,352,45,,Q1,1997,--, ---,---,---,---,---,---,---,---,---,---,,Q1,1997,---,---,---,---,---,---,---,---,---,---,---,1117,,,,
Q2,1997,244,178,56,117,65,13,37,11,355,45,,Q2,1997,--, ---,---,---,---,---,---,---,---,---,---,,Q2,1997,---,---,---,---,---,---,---,---,---,---,---,1121,,,,
Q3,1997,246,177,55,115,64,12,37,11,355,43,,Q3,1997,--, ---,---,---,---,---,---,---,---,---,---,,Q3,1997,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
Q4,1997,245,181,55,115,67,12,37,11,357,43,,Q4,1997,--, ---,---,---,---,---,---,---,---,---,---,,Q4,1997,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
Q1,1998,245,190,55,115,67,12,37,12,357,43,,Q1,1998,--, ---,---,---,---,---,---,---,---,---,---,,Q1,1998,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
Q2,1998,245,191,55,115,67,12,37,12,358,43,,Q2,1998,--, ---,---,---,---,---,---,---,---,---,---,,Q2,1998,---,---,---,---,---,---,---,---,---,---,---,1219,,,,
Q3,1998,247,191,55,115,68,12,36,13,363,43,,Q3,1998,--, ---,---,---,---,---,---,---,---,---,---,,Q3,1998,---,---,---,---,---,---,---,---,---,---,---,1226,,,,
Q4,1998,247,193,55,115,68,12,36,13,364,43,,Q4,1998,--, ---,---,---,---,---,---,---,---,---,---,,Q4,1998,---,---,---,---,---,---,---,---,---,---,---,1229,,,,
Q1,1999,247,193,55,115,68,12,36,13,364,43,,Q1,1999,--, ---,---,---,---,---,---,---,---,---,---,,Q1,1999,---,---,---,---,---,---,---,---,---,---,---,1229,,,,
Q2,1999,247,195,55,115,70,12,36,13,364,43,,Q2,1999,--, ---,---,---,---,---,---,---,---,---,---,,Q2,1999,---,---,---,---,---,---,---,---,---,---,---,1233,,,,
Q3,1999,246,195,56,115,70,12,37,13,374,84,,Q3,1999,--, ---,---,---,---,---,---,---,---,---,---,,Q3,1999,---,---,---,---,---,---,---,---,---,---,---,1202,,,,
Q4,1999,246,191,56,115,70,13,37,13,375,80,,Q4,1999,--, ---,---,---,---,---,---,---,---,---,---,,Q4,1999,---,---,---,---,---,---,---,---,---,---,---,1196,,,,
Q1,2000,246,195,57,114,70,13,37,13,374,80,,Q1,2000,--, ---,---,---,---,---,---,---,---,---,---,,Q1,2000,---,---,---,---,---,---,---,---,---,---,---,1199,,,,
Q2,2000,246,195,56,114,70,13,37,13,376,80,,Q2,2000,--, ---,---,---,---,---,---,---,---,---,---,,Q2,2000,---,---,---,---,---,---,---,---,---,---,---,1200,,,,
Q3,2000,246,196,56,114,70,13,37,13,374,81,,Q3,2000,1, ---,---,---,---,---,---,---,---,---,---,,Q3,2000,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
Q4,2000,246,196,56,114,69,13,37,13,375,64,,Q4,2000,1, ---,---,---,---,---,---,---,---,---,---,,Q4,2000,---,---,---,---,---,---,---,---,---,---,---,1184,,,,
Q1,2001,245,194,56,114,71,13,37,13,377,63,,Q1,2001,1, ---,---,---,---,---,---,---,---,---,---,,Q1,2001,---,---,---,---,---,---,---,---,---,---,---,1184,,,,
Q2,2001,245,193,56,114,71,13,37,13,380,63,,Q2,2001,1, ---,---,---,---,---,---,---,---,---,---,,Q2,2001,---,---,---,---,---,---,---,---,---,---,---,1186,,,,
Q3,2001,245,193,56,114,71,13,37,13,380,63,,Q3,2001,1, ---,---,---,---,---,---,---,---,---,---,,Q3,2001,---,---,---,---,---,---,---,---,---,---,---,1186,,,,
Q4,2001,245,193,56,115,71,13,37,13,392,63,,Q4,2001,1, ---,---,---,---,---,---,---,---,---,---,,Q4,2001,---,---,---,---,---,---,---,---,---,---,---,1199,,,,
Q1,2002,246,194,56,117,72,13,37,13,394,63,,Q1,2002,1, ---,---,---,---,---,---,---,---,---,---,,Q1,2002,---,---,---,---,---,---,---,---,---,---,---,1206,,,,
Q2,2002,246,192,56,117,69,13,37,15,391,64,,Q2,2002,1, ---,---,---,---,---,---,---,---,---,---,,Q2,2002,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
Q3,2002,246,193,56,117,69,13,37,15,391,64,,Q3,2002,1, ---,---,---,---,---,---,---,---,---,---,,Q3,2002,---,---,---,---,---,---,---,---,---,---,---,1202,,,,
Q4,2002,246,193,56,117,69,13,37,15,391,65,,Q4,2002,1, ---,---,---,---,---,---,---,---,---,---,,Q4,2002,---,---,---,---,---,---,---,---,---,---,---,1203,,,,
Q1,2003,246,193,58,117,69,13,37,15,394,65,,Q1,2003,1, ---,---,---,---,---,---,---,---,---,---,,Q1,2003,---,---,---,---,---,---,---,---,---,---,---,1208,,,,
Q2,2003,246,193,58,117,69,15,37,15,394,65,,Q2,2003,1, ---,---,---,---,---,---,---,---,---,---,,Q2,2003,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
Q3,2003,246,193,58,117,69,15,37,15,394,65,,Q3,2003,1, ---,---,---,---,---,---,---,---,---,---,,Q3,2003,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
Q4,2003,246,193,58,117,69,15,37,15,393,65,,Q4,2003,1, ---,---,---,---,---,---,---,---,---,---,,Q4,2003,---,---,---,---,---,---,---,---,---,---,---,1209,,,,
Q1,2004,246,193,58,117,69,15,38,15,393,65,,Q1,2004,1, ---,---,---,---,---,---,---,---,---,---,,Q1,2004,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
Q2,2004,246,193,58,117,68,15,38,15,393,65,,Q2,2004,1, ---,---,---,---,---,---,---,---,---,---,,Q2,2004,---,---,---,---,---,---,---,---,---,---,---,1209,,,,
Q3,2004,246,193,58,117,68,17,38,15,393,65,,Q3,2004,1,1,---,---,---,---,---,---,---,---,---,,Q3,2004,---,---,---,---,---,---,---,---,---,---,---,1212,,,,
Q4,2004,246,193,62,117,68,17,38,15,393,65,,Q4,2004,1,1,---,---,---,---,---,---,---,---,---,,Q4,2004,---,---,---,---,---,---,---,---,---,---,---,1216,,,,
Q1,2005,247,197,62,117,68,17,38,17,394,65,,Q1,2005,1,1,         ---       ,         ---       ,         ---       , ---, ---, ---,---,---,---,,Q1,2005,---,---,---,---,---,---,---,---,---,---,---,1224,,,,
Q2,2005,247,197,62,117,68,17,38,17,394,65,,Q2,2005,1,1,         ---       ,         ---       ,         ---       , ---, ---, ---,---,---,---,,Q2,2005,---,---,---,---,---,---,---,---,---,---,---,1224,,,,
Q3,2005,248,198,62,117,68,18,38,17,397,65,,Q3,2005,1,1,10,         ---       ,         ---       , ---, ---, ---,---,---,---,,Q3,2005,---,---,---,---,---,---,---,---,---,---,---,1240,,,,
Q4,2005,243,195,61,116,60,21,40,16,385,62,,Q4,2005,2,1,21,1, ---, ---, ---, ---,---,---,---,,Q4,2005,---,---,---,---,---,---,---,---,---,---,---,1224,,,,
Q1,2006,245,198,61,116,60,22,40,16,385,62,,Q1,2006,2,1,27,1,---,---,---,---,---,---,---,,Q1,2006,---,---,---,---,---,---,---,---,---,---,---,1236,,,,
Q2,2006,247,198,62,116,61,23,41,21,387,63,,Q2,2006,2,1,31,1,1,1,---,---,---,---,---,,Q2,2006,---,---,---,---,---,---,---,---,---,---,---,1256,,,,
Q3,2006,247,198,64,116,61,23,41,22,388,63,,Q3,2006,2,1,38,1,1,1,---,---,---,---,---,,Q3,2006,---,---,---,---,---,---,---,---,---,---,---,1267,,,,
Q4,2006,260,198,68,116,61,23,41,23,390,63,,Q4,2006,2,1,40,1,1,1,---,---,---,---,---,,Q4,2006,---,---,---,---,---,---,---,---,---,---,---,1289,,,,
Q1,2007,262,198,68,121,61,23,41,23,392,65,,Q1,2007,2,1,48,1,1,1,---,---,---,---,---,,Q1,2007,---,---,---,---,---,---,---,---,---,---,---,1308,,,,
Q2,2007,262,198,70,123,61,23,41,23,397,64,,Q2,2007,2,1,54,1,1,1,1,---,---,---,---,,Q2,2007,---,---,---,---,---,---,---,---,---,---,---,1323,,,,
Q3,2007,265,198,71,123,62,23,41,24,403,65,,Q3,2007,2,1,58,1,1,1,1,---,---,---,---,,Q3,2007,---,---,---,---,---,---,---,---,---,---,---,1340,,,,
Q4,2007,266,200,74,123,63,24,42,26,403,65,,Q4,2007,2,1,60,1,1,1,1,---,---,---,---,,Q4,2007,---,---,---,---,---,---,---,---,---,---,---,1353,,,,
Q1,2008,267,200,75,125,64,25,43,27,412,65,,Q1,2008,2,1,60,1,1,1,1,1,---,---,---,,Q1,2008,---,---,---,---,---,---,---,---,---,---,---,1371,,,,
Q2,2008,268,201,75,125,67,24,43,29,418,65,,Q2,2008,2,1,61,1,1,1,1,1,---,---,---,,Q2,2008,---,---,---,---,---,---,---,---,---,---,---,1384,,,,
Q3,2008,271,201,75,127,68,24,44,31,423,65,,Q3,2008,2,1,61,1,1,1,1,1,---,---,---,,Q3,2008,---,---,---,---,---,---,---,---,---,---,---,1398,,,,
Q4,2008,275,201,75,131,68,24,43,33,425,65,,Q4,2008,2,1,61,1,1,1,1,1,1,---,---,,Q4,2008,---,---,---,---,---,---,---,---,---,---,---,1410,,,,
Q1,2009,279,201,75,134,68,26,43,36,431,65,,Q1,2009,2,1,63,1,1,1,1,1,1,---,---,,Q1,2009,---,---,---,---,---,---,---,---,---,---,---,1430,,,,
Q2,2009,279,203,76,139,69,30,43,39,434,65,,Q2,2009,2,1,64,1,1,1,1,1,1,---,---,,Q2,2009,---,---,---,---,---,---,---,---,---,---,---,1450,,,,
Q3,2009,281,208,77,140,70,36,42,39,437,65,,Q3,2009,2,1,66,1,1,1,1,1,1,11,---,,Q3,2009,---,---,---,---,---,---,---,---,---,---,---,1481,,,,
Q4,2009,284,216,77,139,72,48,42,43,442,67,,Q4,2009,2,1,67,1,1,1,1,1,1,13,---,,Q4,2009,---,---,---,---,---,---,---,---,---,---,---,1519,,,,
Q1,2010,284,225,78,140,75,48,44,44,443,67,,Q1,2010,2,1,69,1,1,1,1,1,1,14,---,,Q1,2010,---,---,---,---,---,---,---,---,---,---,---,1540,,,,
Q2,2010,286,234,79,140,78,49,44,44,447,67,,Q2,2010,2,1,69,1,1,1,1,1,1,15,---,,Q2,2010,---,---,---,---,---,---,---,---,---,---,---,1561,,,,
Q3,2010,287,237,80,139,79,49,44,44,448,67,,Q3,2010,2,1,70,1,1,1,1,1,1,15,1,,Q3,2010,---,---,---,---,---,---,---,---,---,---,---,1569,,,,
Q4,2010,287,241,81,139,80,50,44,45,451,68,,Q4,2010,2,1,75,1,1,1,1,1,1,20,1,,Q4,2010,---,---,---,---,---,---,---,---,---,---,---,1591,,,,
Q1,2011,290,225,82,140,81,50,44,45,452,68,,Q1,2011,2,1,77,1,1,1,1,1,1,25,1,,Q1,2011,1,,---,---,---,---,---,---,---,---,---,1590,,,,
Q2,2011,291,226,82,142,81,50,44,46,452,68,,Q2,2011,2,1,78,1,1,1,1,1,1,30,1,,Q2,2011,1,,---,---,---,---,---,---,---,---,---,1601,,,,
Q3,2011,294,227,83,142,82,50,44,47,454,68,,Q3,2011,2,1,78,1,1,1,1,1,1,34,1,,Q3,2011,1,1,---,---,---,---,---,---,---,---,---,1615,,,,
Q4,2011,295,232,83,142,80,51,44,48,455,69,,Q4,2011,2,1,82,1,1,1,1,1,1,37,1,,Q4,2011,1,1,---,---,---,---,---,---,---,---,---,1630,,,,
Q1,2012,298,232,84,142,80,51,44,48,458,69,,Q1,2012,2,1,83,1,1,1,1,1,1,41,1,,Q1,2012,1,1,---,---,---,---,---,---,---,---,---,1642,,,,
Q2,2012,298,232,84,143,80,51,44,48,459,72,,Q2,2012,3,1,83,1,1,1,1,1,1,43,1,,Q2,2012,1,1,---,---,---,---,---,---,---,---,---,1650,,,,
Q3,2012,295,233,84,143,79,53,45,48,461,72,,Q3,2012,2,1,87,1,1,1,1,1,1,45,1,,Q3,2012,1,1,---,---,---,---,---,---,---,---,---,1657,,,,
Q4,2012,299,233,86,145,79,54,45,48,467,72,,Q4,2012,2,1,88,1,1,1,1,1,1,49,1,,Q4,2012,1,1,---,---,---,---,---,---,---,---,---,1677,,,,
Q1,2013,305,233,86,146,79,58,46,48,467,72,,Q1,2013,3,1,89,1,1,1,1,1,1,50,1,,Q1,2013,1,1,---,---,---,---,---,---,---,---,---,1692,,,,
Q2,2013,305,233,86,147,79,59,47,48,470,72,,Q2,2013,3,1,93,1,1,1,1,1,1,51,1,,Q2,2013,1,1,---,---,---,---,---,---,---,---,---,1703,,,,
Q3,2013,306,233,84,148,79,63,48,48,474,72,,Q3,2013,3,1,94,1,1,1,1,1,1,54,1,,Q3,2013,1,1,---,---,---,---,---,---,---,---,---,1716,,,,
Q4,2013,322,233,83,150,80,65,48,48,479,72,,Q4,2013,3,1,102,1,1,1,1,1,1,54,1,,Q4,2013,1,1,---,---,---,---,---,---,---,---,---,1749,,,,
Q1,2014,325,300,82,150,80,66,50,48,487,72,,Q1,2014,3,1,104,1,1,1,1,1,1,54,1,,Q1,2014,1,1,---,---,---,---,---,---,---,---,---,1831,,,,
Q2,2014,329,301,82,153,81,69,53,48,494,72,,Q2,2014,3,1,109,1,1,1,1,1,1,54,1,,Q2,2014,1,1,---,---,---,---,---,---,---,---,---,1858,,,,
Q3,2014,331,311,82,154,81,69,54,48,496,72,,Q3,2014,3,1,111,1,1,1,1,1,1,55,1,,Q3,2014,1,1,---,---,---,---,---,---,---,---,---,1877,,,,
Q4,2014,342,315,82,156,81,70,55,48,501,72,,Q4,2014,3,1,116,1,1,1,1,1,1,58,1,,Q4,2014,1,1,---,---,---,---,---,---,---,---,---,1909,,,,
Q1,2015,344,321,83,154,81,73,56,48,503,72,,Q1,2015,3,1,117,1,1,1,1,1,1,59,1,,Q1,2015,1,1,---,---,---,---,---,---,---,---,---,1924,,,,
Q2,2015,344,321,83,153,81,74,56,48,520,72,,Q2,2015,3,1,116,1,1,1,1,1,1,60,1,,Q2,2015,1,1,---,---,---,---,---,---,---,---,---,1941,,,,
Q3,2015,344,321,83,152,82,74,57,48,522,72,,Q3,2015,3,1,119,1,1,1,1,1,1,63,1,,Q3,2015,1,1,---,---,---,---,---,---,---,---,---,1950,,,,
Q4,2015,352,321,83,153,84,76,60,48,525,72,,Q4,2015,3,1,120,1,1,1,1,1,1,69,1,,Q4,2015,1,1,---,---,---,---,---,---,---,---,---,1976,,,,
Q1,2016,352,320,83,152,84,77,60,48,531,72,,Q1,2016,3,1,120,1,1,1,1,1,1,70,1,,Q1,2016,1,1,---,---,---,---,---,---,---,---,---,1982,,,,
Q2,2016,354,326,84,152,84,78,60,48,534,72,,Q2,2016,3,1,121,1,1,1,1,1,1,70,1,,Q2,2016,1,1,1,---,---,---,---,---,---,---,---,1997,,,,
Q3,2016,355,327,84,151,83,78,61,48,537,72,,Q3,2016,3,1,120,1,1,1,1,1,1,70,1,,Q3,2016,1,1,1,---,---,---,---,---,---,---,---,2000,,,,
Q4,2016,374,328,86,151,82,80,65,48,539,72,,Q4,2016,3,1,114,1,1,1,1,1,1,76,1,,Q4,2016,1,1,1,---,---,---,---,---,---,---,---,2029,,,,
Q1,2017,376,331,86,149,80,79,65,49,545,72,,Q1,2017,3,1,112,1,1,1,1,1,1,77,1,,Q1,2017,1,1,1,---,---,---,---,---,---,---,---,2035,,,,
Q2,2017,376,331,85,148,80,79,66,49,545,72,,Q2,2017,3,1,112,1,1,1,1,1,1,77,1,,Q2,2017,1,1,1,1,---,---,---,---,---,---,---,2035,,,,
Q3,2017,380,330,86,144,78,79,66,49,549,73,,Q3,2017,3,1,112,1,1,1,1,1,1,79,1,,Q3,2017,1,1,1,1,---,---,---,---,---,---,---,2040,,,,
Q4,2017,400,330,86,142,77,79,67,49,554,73,,Q4,2017,3,1,112,1,1,1,1,1,1,85,1,,Q4,2017,1,1,1,1,---,---,---,---,---,---,---,2069,,,,
Q1,2018,399,328,86,141,77,80,67,50,550,73,,Q1,2018,3,2,113,1,1,1,1,1,1,85,1,,Q1,2018,1,---,1,1,---,---,---,---,---,---,---,2064,,,,
Q2,2018,400,328,86,140,76,80,67,51,552,73,,Q2,2018,3,2,112,1,1,1,1,1,1,86,1,,Q2,2018,1,---,1,1,---,---,---,---,---,---,---,2066,,,,
Q3,2018,401,328,86,140,76,80,67,51,552,73,,Q3,2018,3,4,111,1,1,1,1,1,1,87,1,,Q3,2018,1,---,1,1,---,---,---,---,---,---,---,2069,,,,
Q4,2018,401,321,86,140,75,79,67,52,551,72,,Q4,2018,3,4,111,1,1,1,1,1,1,90,1,,Q4,2018,1,---,1,1,1,1,---,---,---,---,---,2064,,,,
Q1,2019,403,321,87,138,75,79,67,52,550,72,,Q1,2019,3,4,111,1,1,1,1,1,1,91,1,,Q1,2019,1,---,1,1,1,1,---,---,---,---,---,2065,,,,
Q2,2019,405,312,87,139,142,79,---,52,551,72,,Q2,2019,3,4,111,1,2,1,1,1,1,92,1,,Q2,2019,1,---,1,1,1,1,---,---,---,---,---,2062,,,,
Q3,2019,420,312,87,138,141,79,---,52,546,72,,Q3,2019,3,4,110,1,3,1,1,1,1,93,1,,Q3,2019,1,---,1,1,1,1,---,---,---,---,---,2071,,,,
Q4,2019,434,310,87,138,132,78,---,52,544,73,,Q4,2019,3,4,110,1,3,1,1,1,1,95,1,,Q4,2019,1,---,1,1,3,1,---,---,---,---,---,2076,,,,
Q1,2020,436,308,87,137,125,78,---,52,545,73,,Q1,2020,3,4,110,1,3,1,1,1,1,97,1,,Q1,2020,1,---,1,1,3,1,---,---,---,---,---,2071,,,,
Q2,2020,431,308,87,137,122,78,---,52,545,73,,Q2,2020,3,4,111,1,3,1,1,1,1,97,1,,Q2,2020,1,---,1,1,3,1,---,---,---,---,---,2064,,,,
Q3,2020,430,283,87,137,117,79,---,52,546,73,,Q3,2020,3,4,111,1,3,1,1,1,1,98,1,,Q3,2020,1,---,1,1,3,1,---,---,---,---,---,2036,,,,
Q4,2020,431,274,87,136,107,79,---,52,543,73,,Q4,2020,3,4,111,1,3,1,1,1,1,98,1,,Q4,2020,1,---,1,1,3,1,---,---,---,---,---,2014,,,,
Q1,2021,430,273,85,136,106,80,---,52,543,72,,Q1,2021,3,6,107,1,3,1,1,1,1,99,1,,Q1,2021,1,---,1,1,3,1,---,---,---,---,---,2008,,,,
Q2,2021,503,254,85,135,99,80,---,52,527,---,,Q2,2021,3,7,106,1,3,1,1,1,1,100,1,,Q2,2021,1,---,1,1,3,1,1,1,---,---,---,1969,,,,
