,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,
Table 16: Foreign Assets And Liabilities of Banks,,,,,,,,,,,جدول 16:  الموجــــودات والمطلوبــــات الأجنبـيــة للمـصـــارف
(Million ﷼),,,,,,,,,,,(مليون ﷼)
نهاية الفترة,,الموجودات الأجنبية,,,,,المطلوبات الأجنبية,,,,صافي
,,Foreign Assets,,,,,Foreign Liabilities,,,,الموجودات الأجنبية
,,مبالغ مستحقة على,مبالغ مستحقة,الإستـثـمارات,موجودات,المجموع,مبالغ مستحقة,مبالغ مستحقة,مبالغ مستحقة,المجموع,Net Foreign
End of Period,,المصارف الأجنبية,على الفروع في الخارج,في الخارج,أخرى,,لمصارف أجنبية,للفروع في الخارج,أخرى,,Assets
,,Due from,Due from,Investments,Other,Total,Due to,Due to,Due to,Total,
,,Banks Abroad,Branches Abroad,Abroad,Assets,1,Foreign Banks,Branches Abroad,Others,2,1 - 2 = 3
2009-09-30T00:00:00,,34665.59300000001,32964.754,100931.56100000002,18928.415999999997,187490.32400000002,40253.719,26175.417,31867.79,98296.926,89193.39800000002
2009-10-31T00:00:00,,35873.594999999994,33049.687,104105.62400000001,18473.992,191502.89800000002,38367.471000000005,25634.372,30326.386000000002,94328.229,97174.66900000001
2009-11-30T00:00:00,,37990.242,36835.668000000005,110476.456,18435.398,203737.76400000002,44932.645000000004,28585.762000000002,34884.947,108403.354,95334.41000000002
2009-12-31T00:00:00,,41200.628000000004,39433.994,112336.879,17946.826,210918.327,41761.42799999999,25311.466999999997,32610.058999999997,99682.95399999998,111235.373
2010-01-31T00:00:00,,34516.327999999994,26571.787,108335.94,18498.622,187922.677,52263.278,20818.636,29835.688000000002,102917.60199999998,85005.07500000001
2010-02-28T00:00:00,,35829.80200000001,37173.882,112648.424,18575.431,204227.53900000002,52673.262,20116.313000000002,35576.79499999999,108366.37,95861.16900000002
2010-03-31T00:00:00,,33173.65299999999,36920.787,118319.06899999999,18562.832,206976.34099999996,53171.688,20954.351000000002,31308.319000000003,105434.35800000001,101541.98299999995
2010-04-30T00:00:00,,38325.45499999999,36912.45,119611.473,21032.327999999998,215881.70599999998,60429.723000000005,20676.293,34183.25000000001,115289.266,100592.43999999997
2010-05-31T00:00:00,,38614.08699999999,39573.673,111018.274,18934.671000000002,208140.705,49699.846999999994,23529.862,29969.591999999993,103199.30099999999,104941.404
2010-06-30T00:00:00,,43817.43999999999,41706.955,111137.802,15986.837,212649.03399999999,46457.42599999999,23846.281,25888.206000000002,96191.913,116457.12099999998
2010-07-31T00:00:00,,39223.37899999999,37950.525,108838.799,16227.335,202240.03799999997,39719.576,18293.019,26775.428000000004,84788.023,117452.01499999997
2010-08-31T00:00:00,,32718.129,35632.315,111147.429,17316.573,196814.44600000003,48978.379,16957.532,28184.909000000003,94120.81999999999,102693.62600000003
2010-09-30T00:00:00,,46463.108,31676.237,106169.881,16917.662,201226.888,44726.998,13139.414,29280.689999999995,87147.10199999998,114079.78600000002
2010-10-31T00:00:00,,39130.49900000001,30711.076,102734.699,17588.889,190165.163,45935.18400000001,11116.576000000001,26512.186,83563.94600000001,106601.21699999999
2010-11-30T00:00:00,,42338.30299999999,30551.979,107112.775,17993.855000000003,197996.91199999998,49115.452000000005,10595.131,29130.055,88840.638,109156.27399999998
2010-12-31T00:00:00,,34627.337,28270.138000000003,113710.87299999999,16518.231,193126.579,53867.337,10235.866999999998,30602.541,94705.745,98420.834
2011-01-31T00:00:00,,37426.58500000001,34816.716,120285.005,17726.17,210254.476,56938.049,14466.316,29249.392,100653.757,109600.719
2011-02-28T00:00:00,,41580.729999999996,34615.826,125220.693,17152.084,218569.333,57219.702000000005,11928.49,28352.815,97501.007,121068.32600000002
2011-03-31T00:00:00,,46023.34500000001,35422.384,125864.18,16708.779,224018.688,50504.244,12846.932,28245.376000000004,91596.552,132422.136
2011-04-30T00:00:00,,44471.547000000006,29687.511,127152.308,16068.482,217379.848,53491.898,8522.027,25662.050000000003,87675.975,129703.87299999999
2011-05-31T00:00:00,,46976.71599999999,31699.54,117805.769,15944.406,212426.431,50515.398,9097.557,25356.86,84969.815,127456.61600000001
2011-06-30T00:00:00,,39423.234,34920.594,119067.058,17484.643,210895.529,54039.961,9476.395,24747.312,88263.668,122631.861
2011-07-31T00:00:00,,42582.48100000001,35706.956,116185.558,18427.24,212902.235,50052.574,9216.224,24802.863,84071.661,128830.57399999998
