,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 8b: Balance Sheet of Saudi Central Bank - Liabilities,,,,,,,,,جدول 8b: الـمـركــــز الـمـالــي للبنك المركزي الســـعـــودي - الــمـطـلـوبـــات         
(Million ﷼),,,,,,,,,(مليون ﷼)
نهاية الفترة,,العملة المصدرة,,ودائع هيئات وجهات حكومية ,الودائع النظامية,ودائع ,أذونات البنك المركزي واتفاقيات,مطلوبات متنوعة ,
,,Currency Issued,,وشبه حكومية,للمؤسسات المالية, لجهات أجنبية بالمحلية, اعادة الشراء المعاكس*,أخرى,الإجمالي
,,في التداول,لدى البنك المركزي,"Deposits of Government,",Regulatory Deposits ,Foreign Institutions,SAMA Bills and ,Other,TOTAL
End of Period,,,, Quasi Government ,for Financial ,Deposits in,Reverse Repurchase ,Miscellaneous,
,,In Circulation,At SAMA,and Institutions,Institutions ,Local Currency,Agreements*,Liabilities,
2018-11-30T00:00:00,,210387.40072196,30531.53432343,738949.40370225,99556.38723175,17188.54157059,75902,751668.5186815399,1924183.3955123003
2018-12-31T00:00:00,,210865.37290428,32583.75605311,679218.0842021,99942.62424247,17190.465135669998,116326,743737.85855621,1899864.1610938397
2019-01-31T00:00:00,,209944.94057931,31523.88279108,655025.26895364,100982.80896422,17185.871350830002,99992,751729.8411488698,1866384.61378795
2019-02-28T00:00:00,,212839.41556507003,29591.11758532,650827.63920519,100398.40150091,15525.664287309999,84618,750599.53026507,1844399.7684088696
2019-03-31T00:00:00,,214560.03433168,23217.19429171,703169.96526649,100444.1471077,15520.23582919,79312,756605.67571139,1892829.2525381602
2019-04-30T00:00:00,,216004.22997999002,29472.9668204,710319.6391859101,100149.22236509,15048.98894475,86606,761885.2067924201,1919486.2540885604
2019-05-31T00:00:00,,238137.27081262,24856.07140077,730162.09691973,99996.29498004,14431.95589324,88030,769367.3539499199,1964981.0439563203
2019-06-30T00:00:00,,223889.13971398,38674.16304341,716847.81960174,101213.36567384998,14384.79012584,99192,764055.9440920699,1958257.2222508905
2019-07-31T00:00:00,,224385.23665555,42206.773083839995,691432.7736186801,101997.18795669,13215.34139521,83170,773279.6540389401,1929686.96674891
2019-08-31T00:00:00,,222539.14442557,41617.75651082,714470.96289053,103733.36091814,13202.69702656,76940,768772.7185926699,1941276.6403642907
2019-09-30T00:00:00,,217929.10353444,49080.80811095,686742.7359444599,103285.55073101999,13182.90755777,72954,778254.0099086498,1921429.1157872898
2019-10-31T00:00:00,,218067.52918521,48119.31489218,647065.38460746,104447.14953523,13180.56204403,67979,778972.4991303998,1877831.4393945097
2019-11-30T00:00:00,,217490.21522877002,48269.13349562,661216.2283695,103598.82318689,13229.13226266,100559,775257.88936789,1919620.41691133
2019-12-31T00:00:00,,218479.70989933,42987.16532206,626170.1242084199,105469.77303161999,12248.82152688,124007,783443.93178122,1912806.5257695303
2020-01-31T00:00:00,,220483.54298663,34995.67070476,651965.33790594,107988.9752129,12255.41603646,97661,788471.75035944,1913821.6932057405
2020-02-29T00:00:00,,220593.58844306,32814.90410833,632400.52498063,109270.49716290999,12249.239136209999,94371,792226.0299444799,1893925.7837752304
2020-03-31T00:00:00,,232713.54125639002,36079.732605,597176.13596673,107459.92981540998,12241.56252966,61963,776110.8591896101,1823744.7613624102
2020-04-30T00:00:00,,238401.18013379,31307.4466226,580136.966291094,112632.36677340999,9636.17547084,60496,701662.3487444299,1734272.484035774
2020-05-31T00:00:00,,246620.61491452,29722.37443187,564547.936392708,110895.269840941,9663.42681263,90223,707245.273338465,1758917.895731134
2020-06-30T00:00:00,,240832.41899185002,34529.76768454,604788.85317414,112974.48485988,9647.53739712,102971,697365.2193994401,1803109.2815069698
2020-07-31T00:00:00,,248135.88948924,28122.87269215,625546.0572512681,114008.456848481,9694.39695586,84054,701876.9719159021,1811438.645152901
2020-08-31T00:00:00,,238724.56795106,35466.66715433,643294.68842285,114346.34287859,9658.44826214,104775,690306.38770315,1836572.10237212
2020-09-30T00:00:00,,236065.85045426,31451.71706213,615314.87592764,115001.63955568,9675.08449955,118451,696388.06091755,1822348.2284168103
2020-10-31T00:00:00,,234647.96469175,29376.97072164,590998.669296418,116052.952596681,9651.58711118,155348,685097.345133544,1821173.4895512129
2020-11-30T00:00:00,,232501.45992619998,26541.57935519,617673.11013469,116745.51670822,9646.469355559999,175134,680362.22392177,1858604.3594016298
2020-12-31T00:00:00,,233667.98094685999,23276.44998953,574017.79225741,118539.02029291,8348.67796813,189541,699403.72466114,1846794.6461159799
2021-01-31T00:00:00,,232730.49593066,25473.07373873,570935.47494836,121627.09324008001,8327.17734471,169193,722986.7667237801,1851273.0819263195
2021-02-28T00:00:00,,231616.6609231,21757.14511329,546405.84377421,121180.46165859,8339.23093697,171538,733304.3872210201,1834141.7296271797
2021-03-31T00:00:00,,233244.07252723002,21281.94897616,574323.13406937,121412.63917883999,8344.27218702,158916,735896.07183627,1853418.1387748902
2021-04-30T00:00:00,,239321.72821821,26756.56424518,546273.8903757901,122587.06683978,8346.52724207,148314,740355.2496429299,1831955.02656396
2021-05-31T00:00:00,,239707.46863314,32827.92565025,546024.43021381,123898.66866577,8335.35962039,125738,749806.25477325,1826338.1075566101
2021-06-30T00:00:00,,236044.32148699003,37067.301540399996,589665.93829606,125064.75578211,6974.271275239999,104459,736003.1600438801,1835278.7484246797
2021-07-31T00:00:00,,242738.40159768,30070.8391127,588411.43849233,127306.03965777,6944.86690481,90671.45738346,762785.3635501,1848928.40669885
2021-08-31T00:00:00,,232903.89115376002,37336.64787662,604676.48580799,126489.17191866001,7095.79908908,76157.5864079,787800.1154679562,1872459.697721966
2021-09-30T00:00:00,,228857.69903221,34632.79121118,655337.90318246,128232.88785613001,7110.01429209,75635.91192202,760896.93238045,1890704.1398765398
2021-10-31T00:00:00,,226395.57106410997,34753.36027828,597982.38625717,126871.24908241001,7085.84287783,88512.27068997,770899.48042856,1852500.16067833
2021-11-30T00:00:00,,225671.39332875,34114.99042164,652158.09550231,128252.69007044,6833.72933337,70707.52679737,775302.93386074,1893041.35931462
2021-12-31T00:00:00,,227497.13381994,33815.94189745,575309.23499696,128334.80563762,6896.64293771,92182.25446222001,784670.93398097,1848706.9477328698
2022-01-31T00:00:00,,227187.1729697,37678.59678069,569639.75621494,131103.12297646,6921.57115804,65839.44464476,789585.4137218101,1827955.0784664005
2022-02-28T00:00:00,,227115.73072738,34566.34947601,549145.56809145,130692.70595484,6902.13653394,60005.20938783001,784237.97382004,1792665.67399149
2022-03-31T00:00:00,,229242.24229129002,37600.2370751,636956.37950989,126858.36713139,6938.08391933,65752.8896206,781651.27432353,1884999.4738711303
2022-04-30T00:00:00,,244748.23031721,28874.18682818,609701.34848979,127250.25163928,6318.835504510001,53445.0388771,775221.05127541,1845558.9429314802
2022-05-31T00:00:00,,233549.95333907998,35820.14127331,645602.45719695,131411.30270736,5779.64851295,39493.772551660004,773137.76855941,1864795.0441407203
2022-06-30T00:00:00,,231592.14596629998,35604.99433808999,682172.87381345,130735.00354928999,5652.35340261,118428.90268744,781918.24151845,1986104.5152756304
2022-07-31T00:00:00,,230813.10451401002,36436.63109038,700297.88223745,130895.18345586,5703.280695359999,123385.53196144,778046.7583820998,2005578.3723366002
2022-08-31T00:00:00,,224031.52438455,40279.53931584,696156.2257041901,133201.65178445,5706.69665943,104855.27787932,794729.02008761,1998959.9358153902
2022-09-30T00:00:00,,222718.84711063,38824.71644176,724634.86282218,131151.77425929002,5753.04715929,79734.66326817,788147.84789776,1990965.7589590803
2022-10-31T00:00:00,,223051.65077176,35721.63438263,728644.26186192,136323.74836124,5462.75608981,56881.377774370005,791102.87284792,1977188.3020896504
2022-11-30T00:00:00,,220881.61186685998,33296.88856753,739149.64201886,134751.14099943,5423.961292520001,71413.21895315,792708.62883679,1997625.09253514
2022-12-31T00:00:00,,222448.96383092002,28738.52839147,637533.9805159301,135861.80628237998,5348.90234452,68294.77720328,835560.31307521,1933787.2716437099
2023-01-31T00:00:00,,223622.33892392,25346.630904470003,665705.21484305,135532.36777164,5455.67706625,41945.76473761,824594.0920492399,1922202.0862961798
2023-02-28T00:00:00,,224978.46795889002,26405.7785295,653601.4047386501,134851.15812173998,5086.9891008,54042.19199066,824058.610034,1923024.6004742405
2023-03-31T00:00:00,,231833.43685208,26969.14454231,543313.21031601,135318.39558177,5284.10049134,102945.85782415,805946.3700096199,1851610.5156172803
2023-04-30T00:00:00,,242243.53244525,21816.89512654,521529.06047969003,138764.75235614,5246.85286514,91123.89170641999,802027.9912295099,1822752.9762086896
2023-05-31T00:00:00,,235159.42371181,27187.033773979998,622784.13836843,139852.45671518,5257.44930343,58382.74105538,783646.5262707201,1872269.7691989301
2023-06-30T00:00:00,,246943.52030888002,18137.87939191,499385.24992882006,139681.58004628,5383.526658649999,82816.08043364,839926.1820971504,1832274.0188653306
2023-07-31T00:00:00,,235946.2494729,23528.44307189,472760.43876423,140523.74597507998,5692.74845025,74654.79109551001,832712.3240897096,1785818.7409195697
2023-08-31T00:00:00,,232918.19930947002,26346.04574132,445359.2394383466,141546.68969865,5890.4447599,53786.28916583,855946.9806685027,1761793.8887820193
2023-09-30T00:00:00,,231662.00540782002,24870.53039797,506039.85030366504,141217.54605056997,5622.71030353,80107.65298857,833008.8449495122,1822529.1404016372
2023-10-31T00:00:00,,230844.54518476,26485.294466029998,453334.57414758997,141861.18946965996,6425.9209205,65857.37980991,839090.7471418403,1763899.6511402905
2023-11-30T00:00:00,,233496.79265360002,23406.98194119,501569.51087791007,141991.38726596,6316.94565262,78905.47400031,835470.6729674799,1821157.7653590702
2023-12-31T00:00:00,,234754.67687044002,21671.81261635,484937.89787183,142041.652737,6271.34595195,70304.80414224,848249.1236828801,1808231.3138726905
2024-01-31T00:00:00,,234885.41846679998,23502.11417299,504343.5031802,142210.12112139,6262.05891135,50691.14417238,854921.18165544,1816815.5416805502
2024-02-29T00:00:00,,240147.70692345002,22127.56914634,468214.81055407994,142055.37261946,6399.233371310001,44631.27344107,852826.13513233,1776402.1011880396
2024-03-31T00:00:00,,252186.23435729,18784.1894025,482173.79757482,147242.086972,6379.23816775,93593.92983354,858651.5787158799,1859011.05502378
2024-04-30T00:00:00,,252648.18876692,18180.17833287,486402.0856378,148739.72304219002,6533.407524560001,46771.567065070005,860772.9410617698,1820048.09143118
2024-05-31T00:00:00,,251269.72274453,22557.086815259998,566850.0045727199,149859.18036317002,7040.33952105,59267.018729100004,854107.78082299,1910951.13356882
2024-06-30T00:00:00,,254721.73816811,20177.10186168,517082.70062193,148733.65830683,6400.83193072,77030.85377295001,870829.6554092302,1894976.5400714502
2024-07-31T00:00:00,,248398.14510968,23163.63437911,490811.74783847,150322.97965114,6715.368318430001,59717.6299441,870515.50942306,1849645.0146639897
2024-08-31T00:00:00,,247171.64682818,22778.12021061,546791.3267476,152969.97282494,7250.7873798,73035.87377819,870963.4314974099,1920961.1592667298
2024-09-30T00:00:00,,246391.87278906,23938.82722873,471701.04860609,152767.56468442,7718.43605161,86771.12203698,882429.63930376,1871718.51070065
2024-10-31T00:00:00,,247745.02780935,23547.388749439997,420710.49250694003,154049.83799867998,7489.5422453500005,59476.663007719995,878424.92597455,1791443.87829203
2024-11-30T00:00:00,,248180.82909919,22150.0505356,470492.76677072,156416.29699588,7682.93719717,78536.19780621001,877672.8794875499,1861131.9578923204
2024-12-31T00:00:00,,250425.60427026,22488.71278953,464055.25266758003,155343.54783463,7625.24588883,82857.84099338,898490.34145841,1881286.5459026198
2025-01-31T00:00:00,,253683.70160198002,21681.277862810002,463157.74081026006,157895.13891223999,7754.1671250399995,78887.17935153,887860.27155759,1870919.4772214505
2025-02-28T00:00:00,,259086.0599359,21164.54360889,423210.16909574,157970.27960417,7861.36027138,103419.25436287999,899556.12494765,1872267.7918266098
2025-03-31T00:00:00,,275627.15386659,17569.1458632,483002.12423826,160284.14177528,7588.63667808,99838.22635831,909576.6548570899,1953486.08363681
2025-04-30T00:00:00,,266802.3076037,25602.90868609,468687.68363692006,162475.69897084,7520.73007088,65363.762972209995,922568.4201245998,1919021.51206524
2025-05-31T00:00:00,,268908.18364262,25511.40087717,506296.88174317,162290.70664553,7509.8903152600005,109163.00443657,920464.83417512,2000144.9018354402
2025-06-30T00:00:00,,267888.96322412,27603.01891567,485266.61382080003,165487.34310072,7300.22980805,74121.10022036001,929479.2917136499,1957146.56080337
2025-07-31T00:00:00,,263788.45299321,28181.202201580003,453705.41674541,166334.82601712004,7477.890444029999,58353.12597825001,932521.93810246,1910362.8524820602
2025-08-31T00:00:00,,261365.43832513,28595.60591666,467569.00195306004,166314.67274437004,7387.6941406000005,111991.51355775999,938902.55589004,1982126.48252762
2025-09-30T00:00:00,,259609.70394848002,28758.725876110002,438446.33852287,165504.78634817,7599.22024888,78604.99662362,952783.95946587,1931307.7310339997
2025-10-31T00:00:00,,260628.90027612,21077.28200847,448945.09436670004,168167.88912431002,8029.52888859,62900.01329603999,940463.95391601,1910212.6618762403
2025-11-30T00:00:00,,261550.52350729,17532.5428173,447885.88287707,166927.7119189,7840.69413007,84525.33099659,978096.7096693,1964359.39591652
2025-12-31T00:00:00,,264971.19719047,13556.64323752,431825.40235462005,166515.84040265996,7902.653142939999,71800.40054336001,960203.78168786,1916775.91855943
2026-01-31T00:00:00,,266562.04474951,10736.843246479999,448601.474787462,166395.09341767,8013.82581583,93600.42421003,940381.3763167597,1934291.0825437417
2026-02-28T00:00:00,,272142.19656026,9968.359515729999,388303.4982379995,167971.53450053997,7648.82213529,109857.5006226,949545.3396606251,1905437.2512330448
,,,,,,,,,
,,,,,,,,,
* Representing monetary policy instruments.,,,,,,,,,*تمثل أدوات السياسة النقدية.
