,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 8b: Balance Sheet of Saudi Central Bank - Liabilities,,,,,,,,,جدول 8b: الـمـركــــز الـمـالــي للبنك المركزي الســـعـــودي - الــمـطـلـوبـــات         
(Million ﷼),,,,,,,,,(مليون ﷼)
نهاية الفترة,,العملة المصدرة,,ودائع هيئات وجهات حكومية ,الودائع النظامية,ودائع ,أذونات البنك المركزي واتفاقيات,مطلوبات متنوعة ,
,,Currency Issued,,وشبه حكومية,للمؤسسات المالية, لجهات أجنبية بالمحلية, اعادة الشراء المعاكس*,أخرى,الإجمالي
,,في التداول,لدى البنك المركزي,"Deposits of Government,",Regulatory Deposits ,Foreign Institutions,SAMA Bills and ,Other,TOTAL
End of Period,,,, Quasi Government ,for Financial ,Deposits in,Reverse Repurchase ,Miscellaneous,
,,In Circulation,At SAMA,and Institutions,Institutions ,Local Currency,Agreements*,Liabilities,
Q4,2011,139847.13878941,29187,1203477.63829994,63511,3773.77892727,379202.27188796,238866.61161295004,2057865.4395175301
Q1,2012,140758.68616039027,24171,1299676.6119883498,68010.90789713,3750.01208357,388531.44825289,229166.20998792996,2154064.87637026
Q2,2012,145730.7261603903,27702,1423126.14886508,68257.63588423001,3774.0213624099997,368725.15389784,226640.3121132101,2263955.9982831604
Q3,2012,149801.88616038952,30980,1487352.57184737,69193.33392303,3814.79530819,374118.86176794,233058.72409170994,2348320.17309863
Q4,2012,152812.10846938984,33415,1536820.84367977,70790.88478802,4090.61981726,441210,245924.6045352101,2485064.06128965
Q1,2013,156321.35102887,26407.93513152,1581254.3862429399,75254.04315352,4509.717015390001,435030.99842920003,257943.21043411994,2536721.6414355603
Q2,2013,161366.73646035,35390.90950004,1586230.53708578,79614.02677366,5320.9411499200005,425846.85024349,320119.64535713,2613889.64657037
Q3,2013,163966.97207018,33130.68629021,1645181.8121495699,79647.88161683,5661.075589550001,408143.14033951,324959.8251673101,2660691.39322316
Q4,2013,166388.07417765,28295.627182739998,1650146.20876303,81901.44526349001,6357.65664651,459932.31880675,345707.10038466,2738728.43122483
Q1,2014,171540.29054123,23845.93081916,1617933.01107273,86360.10275332001,7052.96295472,480660.78469055,395049.23637551005,2782442.31920722
Q2,2014,178552.08554171,27055.25581868,1630225.4482168402,90368.71933227,7653.82748657,443152.3057328,422283.3775569,2799291.01968577
Q3,2014,190634.62083291,29198.93252748,1641635.89473619,91097.27902265,8031.866498439999,423583.10313432,439492.03848228,2823673.73523427
Q4,2014,180892.09211176,35240.14124863,1561217.24635911,92558.21105433001,9694.99542526,427815.08896157,484691.5505691101,2792109.32572977
Q1,2015,193987.54975913,35507.34360126,1375194.70316346,97377.77092102,10617.58733748,378323.37726611,565359.4253423101,2656367.75739077
Q2,2015,205907.97269360002,35259.52066679,1250858.22643259,100818.78861814999,10644.592643200001,365340.91115782,596454.8956250098,2565284.9078371595
Q3,2015,212283.27031435,34613.82304604,1190367.918854,99755.557908,10871.778902389999,294537.86497416,664205.77250119,2506635.98650013
Q4,2015,197912.09247888,39299.98904151,1165377.9496157002,98116.71562322999,11213.30662643,182947.31600805,678514.6520183899,2373382.02141219
Q1,2016,199746.79123285,32956.67780754,1092431.7188216401,95979.6919818,18450.79515694,132789.94521527,672845.30650484,2245200.92672088
Q2,2016,224538.17581627,21452.79743612,1088387.18534677,95732.36443761,18495.76614661,89969.48597913,627090.4734406,2165666.24860311
Q3,2016,207661.16759418,34465.46749821,1051455.35073654,94445.05250044,18460.58918849,95836.96599933,662824.1394344,2165148.73295159
Q4,2016,199989.45820095,34515.65518544,885094.23159977,97838.65477041001,18490.361086560002,164754.96599933,676187.22343277,2076870.5502752298
Q1,2017,199653.96949416999,36166.97070122,812178.24944762,96152.85591025,18548.466006950002,151610,657084.25193094,1971394.7634911502
Q2,2017,223393.6785406,25901.86441279,773731.85572947,98715.12581249,18448.656390869997,124074,661885.8458079501,1926151.0266941702
Q3,2017,203306.51374805998,36167.597459330005,735987.5568212601,98964.6498102,18516.51243143,83826,701502.64798548,1878271.47825576
Q4,2017,203356.95356887998,25831.23752851,729723.25167184,97534.49527582001,18468.51283485,138786,689962.4244124799,1903662.8752923799
Q1,2018,212506.41110686,23185.521697530003,695185.7389286599,98713.77267919,18518.643923080002,108108,753832.32325459,1910050.4115899103
Q2,2018,225924.86924195001,30721.652860439997,716269.36368756,98861.96848573,18501.720964189997,84817,761560.7512802101,1936657.3265200804
Q3,2018,211453.89576752,37854.55689987,767300.7725077299,98414.47652094,17932.17484798,89025,720516.2753353901,1942497.15187943
Q4,2018,210865.37290428,32583.75605311,679218.0842021,99942.62424247,17190.465135669998,116326,743737.85855621,1899864.1610938397
Q1,2019,214560.03433168,23217.19429171,703169.96526649,100444.1471077,15520.23582919,79312,756605.67571139,1892829.2525381602
Q2,2019,223889.13971398,38674.16304341,716847.81960174,101213.36567384998,14384.79012584,99192,764055.9440920699,1958257.2222508905
Q3,2019,217929.10353444,49080.80811095,686742.7359444599,103285.55073101999,13182.90755777,72954,778254.0099086498,1921429.1157872898
Q4,2019,218479.70989933,42987.16532206,626170.1242084199,105469.77303161999,12248.82152688,124007,783443.93178122,1912806.5257695303
Q1,2020,232713.54125639002,36079.732605,597176.13596673,107459.92981540998,12241.56252966,61963,776110.8591896101,1823744.7613624102
Q2,2020,240832.41899185002,34529.76768454,604788.85317414,112974.48485988,9647.53739712,102971,697365.2193994401,1803109.2815065798
Q3,2020,236065.85045426,31451.71706213,615314.87592764,115001.63955568,9675.08449955,118451,696388.06091755,1822348.2284168103
Q4,2020,233667.98094685999,23276.44998953,574017.79225741,118539.02029291,8348.67796813,189541,699403.72466114,1846794.6461159799
Q1,2021,233244.07252723002,21281.94897616,574323.13406937,121412.63917883999,8344.27218702,158916,735896.07183627,1853418.1387748902
Q2,2021,236044.32148699003,37067.301540399996,589665.93829606,125064.75578211,6974.271275239999,104459,736003.1600438801,1835278.7484246797
Q3,2021,228857.69903221,34632.79121118,655337.90318246,128232.88785613001,7110.01429209,75635.91192202,760896.93238045,1890704.1398765398
Q4,2021,227497.13381994,33815.94189745,575309.23499696,128334.80563762,6896.64293771,92182.25446222001,784670.93398097,1848706.9477328698
Q1,2022,229242.24229129002,37600.2370751,636956.37950989,126858.36713139,6938.08391933,65752.8896206,781651.27432353,1884999.4738711303
Q2,2022,231592.14596629998,35604.99433808999,682172.87381345,130735.00354928999,5652.35340261,118428.90268744,781918.24151845,1986104.5152756304
Q3,2022,222718.84711063,38824.71644176,724634.86282218,131151.77425929002,5753.04715929,79734.66326817,788147.84789776,1990965.7589590803
Q4,2022,222448.96383092002,28738.52839147,637533.9805159301,135861.80628237998,5348.90234452,68294.77720328,835560.31307521,1933787.2716437099
Q1,2023,231833.43685208,26969.14454231,543313.21031601,135318.39558177,5284.10049134,102945.85782415,805946.3700096199,1851610.5156172803
Q2,2023,246943.52030888002,18137.87939191,499385.24992882006,139681.58004628,5383.526658649999,82816.08043364,839926.1820971504,1832274.0188653306
Q3,2023,231662.00540782002,24870.53039797,506039.85030366504,141217.54605056997,5622.71030353,80107.65298857,833008.8449495122,1822529.1404016372
Q4,2023,234754.67687044002,21671.81261635,484937.89787183,142041.652737,6271.34595195,70304.80414224,848249.1236828801,1808231.3138726905
Q1,2024,252186.23435729,18784.1894025,482173.79757482,147242.086972,6379.23816775,93593.92983354,858651.5787158799,1859011.05502378
Q2,2024,254721.73816811,20177.10186168,517082.70062193,148733.65830683,6400.83193072,77030.85377295001,870829.6554092302,1894976.5400714502
Q3,2024,246391.87278906,23938.82722873,471701.04860609,152767.56468442,7718.43605161,86771.12203698,882429.63930376,1871718.51070065
Q4,2024,250425.60427026,22488.71278953,464055.25266758003,155343.54783463,7625.24588883,82857.84099338,898490.34145841,1881286.5459026198
Q1,2025,275627.15386659,17569.1458632,483002.12423826,160284.14177528,7588.63667808,99838.22635831,909576.6548570899,1953486.08363681
Q2,2025,267888.96322412,27603.01891567,485266.61382080003,165487.34310072,7300.22980805,74121.10022036001,929479.2917136499,1957146.56080337
Q3,2025,259609.70394848002,28758.725876110002,438446.33852287,165504.78634817,7599.22024888,78604.99662362,952783.95946587,1931307.7310339997
Q4,2025,264971.19719047,13556.64323752,431825.40235462005,166515.84040265996,7902.653142939999,71800.40054336001,960203.78168786,1916775.91855943
,,,,,,,,,
2000-01-31T00:00:00,,51747.007490009964,26548,41415.70183285,10510.51202833,5567.43994753,18732.2344943,60223.861644020006,214744.75743703998
2000-02-29T00:00:00,,51561.395970149984,26551,44820.98740992,10724.620481450002,5567.43994753,21022.663654900003,61912.76382546997,222160.87128941994
2000-03-31T00:00:00,,51162.03986647999,26951,46082.8959615,10827.92274799,5567,22276,66237.91593056,229104.77450653
2000-04-30T00:00:00,,51821.05173015001,22001,41945.37185666,11039.15264003,5567.351946350001,22552.0144355,68987.58022822997,223913.52283692
2000-05-31T00:00:00,,53185.41209014997,18726,42869.368392050004,11254.200368700001,5563.29644635,21179.7563772,71688.08817928999,224466.12185373995
2000-06-30T00:00:00,,52102.756601299974,20719,41891.51850693,11213.99259107,5563.2959949,5500,51146.66360664,188137.22730083996
2000-07-31T00:00:00,,50688.89392677002,20767,44219.66534377,11347.01963452,5562.6129949099995,22253.7432921,57527.77756973997,212366.71276180996
2000-08-31T00:00:00,,49681.56409015,21290,48954.11404221,11211.24079409,5562.30629409,22355.0366593,56769.73314610001,215823.99502594
2000-09-30T00:00:00,,49546.83038423996,20839,47761.790942039996,11181.9571559,5562,21563.6756379,63131.26978025,219586.52390032998
2000-10-31T00:00:00,,49674.12409015003,18673,55023.05472723,11230.57882322,5562.87901384,21154.7478987,63916.80865349997,225235.19320664
2000-11-30T00:00:00,,50995.64409014999,18691,54559.65486288,11128.285349700001,5562.974247810001,20673.7553744,65483.52342651997,227094.83735145992
2000-12-31T00:00:00,,56989.86123043005,13595,53305.781966580005,11212.52747501,5295.5544131999995,23606.787398700002,69434.97453763998,233440.48702156002
2001-01-31T00:00:00,,52631.24510252997,16778,46793.56333394,11389,5294.9934008,30681,70015.94443245001,233583.74626971997
2001-02-28T00:00:00,,56938.72209014994,12735,53900.65267627,11588.698351680001,4239.10758559,20760.5405382,70487.62815929997,230650.34940118995
2001-03-31T00:00:00,,53802.222090150084,17191,49125.950287440006,11702.14011182,4235.55521792,20704.223726400003,77497.54601507999,234258.63744881004
