,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,
Table 28a: SADAD System Payments Volume* ,,,,جدول 28a:  عــدد مـدفـوعــات نظام ســـداد*
,,,,
,,عدد الفواتير المسددة      Volume of Bills Paid,,
الفترة,,,,
Period,, من خلال سداد, من خلال قنوات أخرى,الإجمالي
,, Through SADAD,Through Other Channels,Total 
2017-02-28T00:00:00,,15942476,486729,16429205
2017-03-31T00:00:00,,17852624,474159,18326783
2017-04-30T00:00:00,,17892418,513606,18406024
2017-05-31T00:00:00,,19274738,624632,19899370
2017-06-30T00:00:00,,16797661,502147,17299808
2017-07-31T00:00:00,,18806748,614333,19421081
2017-08-31T00:00:00,,19416531,801295,20217826
2017-09-30T00:00:00,,14675384,568370,15243754
2017-10-31T00:00:00,,21538730,672089,22210819
2017-11-30T00:00:00,,18235316,829879,19065195
2017-12-31T00:00:00,,20136286,871730,21008016
2018-01-31T00:00:00,,19716938,806694,20523632
2018-02-28T00:00:00,,15144243,648016,15792259
2018-03-31T00:00:00,,20382921,653014,21035935
2018-04-30T00:00:00,,20644297,529457,21173754
2018-05-31T00:00:00,,21253102,625685,21878787
2018-06-30T00:00:00,,15256101,583157,15839258
2018-07-31T00:00:00,,22495150,631548,23126698
2018-08-31T00:00:00,,18087028,672407,18759435
2018-09-30T00:00:00,,20129463,617108,20746571
2018-10-31T00:00:00,,21317997,647654,21965651
2018-11-30T00:00:00,,19325011,643313,19968324
2018-12-31T00:00:00,,21881438,761035,22642473
2019-01-31T00:00:00,,22458780,490812,22949592
2019-02-28T00:00:00,,19096045,302155,19398200
2019-03-31T00:00:00,,22987095,418353,23405448
2019-04-30T00:00:00,,21366669,304829,21671498
2019-05-31T00:00:00,,22419801,367573,22787374
2019-06-30T00:00:00,,18629145,259918,18889063
2019-07-31T00:00:00,,25509549,339835,25849384
2019-08-31T00:00:00,,19314346,466239,19780585
2019-09-30T00:00:00,,23475919,593382,24069301
2019-10-31T00:00:00,,23554907,804166,24359073
2019-11-30T00:00:00,,19082653,852590,19935243
2019-12-31T00:00:00,,25571472,1001199,26572671
2020-01-31T00:00:00,,22282456,811155,23093611
2020-02-29T00:00:00,,18515734,808890,19324624
2020-03-31T00:00:00,,25053149,936014,25989163
2020-04-30T00:00:00,,18257116,782956,19040072
2020-05-31T00:00:00,,20117637,1024258,21141895
2020-06-30T00:00:00,,21028265,869332,21897597
2020-07-31T00:00:00,,22274423,1034309,23308732
2020-08-31T00:00:00,,24198415,1034993,25233408
2020-09-30T00:00:00,,23638990,1012029,24651019
2020-10-31T00:00:00,,22573831,1021663,23595494
2020-11-30T00:00:00,,24501335,1005477,25506812
2020-12-31T00:00:00,,24521837,1616744,26138581
2021-01-31T00:00:00,,23894275,1481655,25375930
2021-02-28T00:00:00,,19641453,1344892,20986345
2021-03-31T00:00:00,,27569641,1721947,29291588
2021-04-30T00:00:00,,22881612,1618919,24500531
2021-05-31T00:00:00,,24937136,1515805,26452941
2021-06-30T00:00:00,,23989803,1634763,25624566
2021-07-31T00:00:00,,22528066,1711828,24239894
2021-08-31T00:00:00,,27113020,1647843,28760863
2021-09-30T00:00:00,,24618142,1621888,26240030
2021-10-31T00:00:00,,25389916,1454226,26844142
2021-11-30T00:00:00,,24734267,1160814,25895081
2021-12-31T00:00:00,,25861601,1494896,27356497
2022-01-31T00:00:00,,25880475,1774412,27654887
2022-02-28T00:00:00,,22854362,1314984,24169346
2022-03-31T00:00:00,,28045641,1454981,29500622
2022-04-30T00:00:00,,23168720,1779669,24948389
2022-05-31T00:00:00,,27203479,1832029,29035508
2022-06-30T00:00:00,,26516504,1817249,28333753
2022-07-31T00:00:00,,25892785,1824433,27717218
2022-08-31T00:00:00,,28322378,2704183,31026561
2022-09-30T00:00:00,,25100150,2862228,27962378
2022-10-31T00:00:00,,27813186,2737130,30550316
2022-11-30T00:00:00,,25636256,2560117,28196373
2022-12-31T00:00:00,,25666283,1837364,27503647
2023-01-31T00:00:00,,28034860,2378926,30413786
2023-02-28T00:00:00,,23232305,1849258,25081563
2023-03-31T00:00:00,,27535582,2222382,29757964
2023-04-30T00:00:00,,25096598,2091507,27188105
2023-05-31T00:00:00,,28640153,2562636,31202789
2023-06-30T00:00:00,,23457550,3026535,26484085
2023-07-31T00:00:00,,30429664,3288547,33718211
2023-08-31T00:00:00,,27677144,3427557,31104701
2023-09-30T00:00:00,,24366797,3335061,27701858
2023-10-31T00:00:00,,30113571,3620707,33734278
2023-11-30T00:00:00,,26666306,3605607,30271913
2023-12-31T00:00:00,,27160003,3452891,30612894
2024-01-31T00:00:00,,27479025,3455385,30934410
2024-02-29T00:00:00,,26085288,3703673,29788961
2024-03-31T00:00:00,,28372318,3291210,31663528
2024-04-30T00:00:00,,28445226,3752237,32197463
2024-05-31T00:00:00,,31335472,4225680,35561152
2024-06-30T00:00:00,,29640995,3432158,33073153
2024-07-31T00:00:00,,34849698,4404428,39254126
2024-08-31T00:00:00,,30218575,4335114,34553689
2024-09-30T00:00:00,,32943826,4270906,37214732
2024-10-31T00:00:00,,33537022,4738268,38275290
2024-11-30T00:00:00,,27148698,4512388,31661086
2024-12-31T00:00:00,,33480308,4872880,38353188
2025-01-31T00:00:00,,29858084,4892102,34750186
2025-02-28T00:00:00,,24769675,4470301,29239976
2025-03-31T00:00:00,,32811518,5124795,37936313
2025-04-30T00:00:00,,34207437,4837067,39044504
2025-05-31T00:00:00,,30371443,5437586,35809029
2025-06-30T00:00:00,,30819064,4396891,35215955
2025-07-31T00:00:00,,32578182,5453385,38031567
2025-08-31T00:00:00,,30886195,5404561,36290756
2025-09-30T00:00:00,,31012788,5495002,36507790
2025-10-31T00:00:00,,31760457,6049720,37810177
2025-11-30T00:00:00,,31175159,5647919,36823078
2025-12-31T00:00:00,,32768943,6439662,39208605
2026-01-31T00:00:00,,30045296,6523368,36568664
2026-02-28T00:00:00,,26776956,6481066,33258022
,,,,
* SADAD system started operation on 4th of October  2004.,,,, * بدأ  العمل بنظام سداد في 4 أكتوبر  2004م.
