,,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,
Table 17: Offshore Riyal Position of Commercial Banks,,,,جدول 17: العـمـلـيــــــــات الـخــارجـيــــة لـلــمـــصـــارف الـتـجــاريــــة بـالـريــــال,
(Million ﷼),,,,(مليون ﷼),
نهاية الفترة,,مطلوبات بالريال,مطلوبات بالريال,صافي المطلوبات بالريال,
,,على غير المقيمين,لغير المقيمين,على غير المقيمين,
End of Period,,Riyal Claims on,Riyal Liabilities to,Net Riyal Claims on,
,,Non-Residents ,Non-Residents ,Non-Residents ,
Q4,2019,52539.79749167,46831.392406889994,5708.40508478,
Q1,2020,59671.51919443,50048.63554517,9622.883649259998,
Q2,2020,55958.843255,43324.95085337001,12633.892401629999,
Q3,2020,43290.64094357,41903.83714538,1386.8037981899977,
Q4,2020,37164.22775417,49392.9804932,-12228.752739029997,
Q1,2021,33687.3041,45293.64638084,-11606.342280840003,
Q2,2021,42742.04066667,46299.80676072,-3557.7660940499977,
Q3,2021,45308.76602085,45512.60511236,-203.83909150999784,
Q4,2021,38570.687333329995,61723.32666967,-23152.639336340002,
Q1,2022,32368.08445833,46362.29829504999,-13994.213836719997,
Q2,2022,32193.913,46671.922773089995,-14478.009773089998,
Q3,2022,30531.215031,48005.27127713,-17474.05624613,
Q4,2022,27065.911938,29442.088247000003,-2376.176309000004,
Q1,2023,24721.766035999997,30441.519472329997,-5719.753436329998,
Q2,2023,20388.64326067,39814.42593668999,-19425.782676019997,
Q3,2023,22128.546671359996,43046.78681101,-20918.240139650006,
Q4,2023,23072.52942944,43016.3073446,-19943.77791516,
Q1,2024,22428.20117059,48651.55370231,-26223.352531719993,
Q2,2024,23097.54016222,47049.95044690999,-23952.41028468999,
Q3,2024,23518.43448888,46930.7314701,-23412.29698122,
Q4,2024,27223.99488459,50642.379227,-23418.384342409998,
Q1,2025,22787.429583510002,65882.48930223999,-43095.05971873,
Q2,2025,18630.04010468,65503.15583219001,-46873.115727510005,
Q3,2025,28004.88289647,72210.21952371685,-44205.336627246856,
Q4,2025,22912.176926160002,77125.95488818575,-54213.77796202576,
