,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 28d: SADAD System Payments Value by Sectors,,,,,,,,,جدول 28d: مبــــالغ مـدفوعات نظام سداد حسب القـطاعـــــات
(Thousand ﷼),,,,,,,,, (ألف ﷼)
الفترة,,المال والتأمين وخدمات الاعمال,خدمات التعــــليم,الخدمات الحكومية,التقنية والاعلام والترفيه,الاتصالات وخدمات المرافق,خدمات النقل,أخرى,المجموع
,,,,,,,,,
Period,,"Financial, Insurance",Education Services,Government,"Technology, Media",Telecom ,Transportation,Other,Total
,,and Business Services ,,Services,and Entertainment,and  Utilities,Services,,
2022-02-28T00:00:00,,4836940.276,65922.848,33325637.833,34656.902,6698780.403,230837.635,368142.154,45560918.051
2022-03-31T00:00:00,,5977856.10046,56637.006890000004,38190079.27966,51853.513450000006,8818054.9557565,292868.81242000003,208270.16767,53595619.8363065
2022-04-30T00:00:00,,5180509.184214501,16494.2504,45499814.3876,36503.47670000001,7028557.27253,271220.49076,145826.55378,58178925.6159845
2022-05-31T00:00:00,,5210751.632095001,41924.55803,50155396.598,52830.082409999995,9349639.981,302565.108,184542.9479,65297650.90743501
2022-06-30T00:00:00,,5762134.6024295,48591.98678,40834069.415300004,42874.3839,9809049.091370001,364054.25566,178217.12928,57038990.86471951
2022-07-31T00:00:00,,5483635.520314001,28448.47311,41920596.84324,43847.33429,9679693.87723,305424.58785,145351.08417,57606997.720204
2022-08-31T00:00:00,,7328045.956965,168501.14979,39657084.97614,44579.69745,11882294.04543,317819.10605,292853.75594,59691178.687765
2022-09-30T00:00:00,,7406527.1700100005,102994.21367,34821151.91524,39390.962920000005,10725258.82079,222816.99216999998,304055.17919,53622195.253989995
2022-10-31T00:00:00,,7387891.652050001,42962.97717,46283568.41341,47731.28695,12361037.476875,230668.60037,282373.84108,66636234.24790501
2022-11-30T00:00:00,,6946220.50059,98304.78431,43744677.13968,41011.59751,15719616.46238,232197.61526,263299.03225,67045327.13198
2022-12-31T00:00:00,,5196823.52568999,110671.81657,39698472.41604,42019.07741,10804883.29056,224580.40748,346315.74425,56423766.27799999
2023-01-31T00:00:00,,6315702.283340001,104894.37903,49614754.762040004,48701.521179999996,13476850.801709998,240151.87982,349161.15692000004,70150216.78404
2023-02-28T00:00:00,,5402399.15247,57435.26006,36524451.00717,34764.69249,7318731.231729999,233455.81342,258811.61983,49830048.777169995
2023-03-31T00:00:00,,6616088.828,96707.667,37008667.406,53115.816,10167766.128,270385.612,301162.25,54513893.707
2023-04-30T00:00:00,,5831614.09691,28487.33946,58713597.466699995,43372.789450000004,9202186.79091,230361.89222,246802.44727,74296422.82292
2023-05-31T00:00:00,,7520815.92645,57779.10041,57189186.25401,46853.27964,9963261.001290001,235403.92680000002,336454.52444,75349754.01304
2023-06-30T00:00:00,,8104955.4598,31655.80166,42475262.608739994,31836.63623,8351954.254520001,240251.01215,362685.86046,59598601.633559994
2023-07-31T00:00:00,,9276529.6921,42286.94568,47972544.033499904,52678.01225,12561282.72349,297597.78368,432989.66292000003,70635908.85361989
2023-08-31T00:00:00,,9300127.4183,284409.00199,40926386.94674,43960.29568,12087485.56991,242772.17712,522621.038,63407762.447739996
2023-09-30T00:00:00,,8252525.3251,78550.95016,36296997.970580004,32542.84955,11122078.272969998,174181.6511,461210.70788,56418087.727340005
2023-10-31T00:00:00,,9667698.85824999,37130.077840000005,56142885.71996,50650.387630000005,15841961.57943,196058.25337,541448.03835,82477832.91482998
2023-11-30T00:00:00,,9093130.802930001,84272.33812999999,42654093.58181,39250.57175,13269758.542473499,203199.3474,470877.64548,65814582.8299735
2023-12-31T00:00:00,,8893964.323479999,81766.15281,48459501.72236,41406.18747,12195753.67204,191822.64164,539186.14088,70403400.84068
2024-01-31T00:00:00,,10275067.7015425,183652.41852,49979103.7952,42207.68613,9019850.13343,202339.83725,602778.50422,70305000.0762925
2024-02-29T00:00:00,,10324162.983520001,97062.73728,44149066.50225,37271.039079999995,9030375.16284,205475.35838,731301.34894,64574715.13229
2024-03-31T00:00:00,,9713987.05377,52019.74862,41524493.19944,44751.96506,10218809.70703,209955.92278999998,624178.42004,62388196.01675
2024-04-30T00:00:00,,10610233.84916,17016.499969999997,72810852.23184,39998.65997,8638535.28431,191162.74249,522610.98683999997,92830410.25458
2024-05-31T00:00:00,,12268496.52248,52029.386979999996,49267476.5604401,40218.08364,10562636.0056,243127.05757,853147.6734099999,73287131.29012011
2024-06-30T00:00:00,,10038362.28682,51075.178479999995,42551819.53154,36174.76448,9964769.99064,233036.23969999998,630626.1708099999,63505864.16246999
2024-07-31T00:00:00,,12972157.00071,89296.77466,59153858.43823,43772.14573,12396242.67335,271137.6667,783581.3625599999,85710046.06194
2024-08-31T00:00:00,,12397319.141,230764.58254,42234739.551769994,35487.950939999995,11268096.074709998,197639.18227000002,1359865.35451,67723911.83774
2024-09-30T00:00:00,,12605464.318020001,169813.91853,51261574.47306,41815.025219999996,13290797.565399999,196638.85969,2109625.6859,79675729.84582
