,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 1: Gross Written Premiums by Line of Business,,,,,,,,,,,,,جدول 1: إجمالي أقساط التأمين المكتتب بها حسب نوع النشاط
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q4,2013,76573.133,76601,444912.96424,142777.69551999998,257183.77050999997,252338.89527600002,1391472.8754599977,21786.241976665984,2663646.5759826633,164134.87253,3021297.010602933,5849078.4591155965
Q1,2014,8031.99,62959,421740.04,242002.93,723665.91,230292.84,2459213.32,60187.12,4208093.15,265635.52,4141428.75,8615157.42
Q2,2014,39511.92,182095,394009.36,186585.83,481033.91,190282.42,1641596.3,48545.92,3163660.66,194505.62,3762581.04,7120747.32
Q3,2014,20858.35,89950,252187.74,215931.43,401215.93,188847.45,1760325.94,47410.64,2976727.48,180869.08,4619763.07,7777359.630000001
Q4,2014,71952.69,55735,418668.96,167091.48,323105.19,192852.08,2195699.88,42927.51,3468032.79,154234.09,3236967.33,6859234.21
Q1,2015,21793.52,102173,370242.86,230138.18,708741.91,291951.35,3454737.7,115202.55,5294981.07,214997.05,4973033.94,10483012.06
Q2,2015,31720.89,257155,298670.46,163055.78,500672.67,234186.33,2269158.92,41715.41,3796335.46,183851.82,4856765.59,8836952.87
Q3,2015,18213.44,46975,331300.37,183702.77,426565.77,170463.17,2778782.61,42757.32,3998760.4499999997,233122.9,4806032.3,9037915.649999999
Q4,2015,74919.34,156334,203796.31,149323.12,325969.76,201900.82,2296636.26,24211.63,3433091.2399999998,182568.36,4331180.05,7946839.649999999
Q1,2016,36192.36,18419,277858.08,222278.69,643133.68,269019.12,4463651.58,128307.6,6058860.109999999,259852.17,5432883.86,11751596.14
Q2,2016,19297.07,248740,286501.59,145270.93,434854.77,202444.33,2911457.03,39632,4288197.72,238970.89,4490374.01,9017542.62
Q3,2016,15610.42,83339,121842.9,129474.18,358223.03,158584.92,2307868.47,29357.31,3204300.2300000004,232074.52,4241586.5,7677961.25
Q4,2016,68557.05,106664,186882.7,127248.66,344061.57,186226.05,2103352.87,31722.53,3154715.43,191479.82,4434317.93,7780513.18
Q1,2017,17067.62,47735,254855.99,204223.41,666388.55,269190.35,4320730.98,119584.01,5899775.91,268535.96,5325220,11493531.870000001
Q2,2017,28560.88,181201,288476.29,177227.98,465108.27,216584.02,2413712.89,52926.57,3823797.9,250259.75,4715256.77,8789314.42
Q3,2017,16476.71,289135,178363.87,115677.15,328159.16,169776.1,2263664.24,53582.17,3414834.4000000004,259473.54,4581145.13,8255453.07
Q4,2017,72838.61,221096,210005.48,129653.53,266957.97,189994.79,2143471.1,48771.13,3282788.61,369968.94,4450469.61,8103227.16
