,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 2: Net Written Premiums by Line of Business,,,,,,,,,,,,,جدول 2: صافي أقساط التأمين المكتتب بها حسب نوع النشاط*
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q1,2012,212.67362000000003,1077,56180.1196990237,75937.1871818,75287.318680672,92749.74046601493,1364792.4322346158,12394.090589999994,1678630.5624721262,130366.02023,2563595.6447400004,4372592.227442127
Q2,2012,909.7580899999994,1087,44526.87101212518,50908.93801723998,37272.532088743064,77457.46326458312,1057936.9906364658,15800.48201000001,1285900.035119157,146152.97795000003,2190795.1357579995,3622848.1488271565
Q3,2012,972.3475200000012,3877,49885.92991614439,57727.53985565524,47108.98661229474,60757.33458751433,928477.4389841671,6280.123689999954,1155086.7011657758,131052.99055000002,2561418.853459998,3847558.545175774
Q4,2012,-313.42723000000115,1275,14583.975200861261,46469.37248732,40446.04535198396,58058.65136626422,1137005.4253225818,2530.136710000023,1300055.1792090111,125988.07708000002,2804685.233704005,4230728.489993016
Q1,2013,29.385149999999157,605.04,62662.30547132977,88952.03147076,128320.44059779946,114340.44094500078,1908731.894230135,16036.079020000001,2319677.616885025,126159.05923000001,2726649.233308,5172485.909423025
Q2,2013,-926.4447199999995,165654,-114044.93850457996,49911.41929774001,87201.83979843817,87276.29624396878,1296893.2400783822,12167.843949999953,1584133.2561439492,124137.74154999999,2857459.248771001,4565730.24646495
Q3,2013,3820.663010000004,4614,37519.850296397155,61862.700084430006,46808.02451436366,74049.32424533129,1428442.263959749,10586.518650000062,1667703.344760271,120785.07311,3150099.8653469756,4938588.283217247
Q4,2013,709.5908800000034,1363,28131.768888953928,39746.00070198022,15629.03652097368,66007.88134879281,1331423.8975235745,2278.406086665994,1485289.5819509411,140428.65284000002,2717037.1273029465,4342755.362093888
Q1,2014,1090.42,1616,83819.52,91612.62,158750.06,117616.65,2329246.22,22369.68,2806121.1700000004,202077.31,3879688.32,6887886.800000001
Q2,2014,1423.71,92490,-44877.97,52240.39,59470.7,105214.93,1541968.37,17669.08,1825599.2100000002,156238.53,3488198.9,5470036.640000001
