,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,,,,,,,,,
Table 2a: Exchange Rates of Some Foreign Currencies Against Saudi Riyal,,,,,,,,,,,,,جدول 2a:  سعــــر صرف بعض العــمـــلات الأجــنبـيــــة مقـــــابل الريال السعودي,
,,,,,,,,,,,,,,
متوسط,,الدولار,الريال ,اليوان,الين ,الروبية ,الجنيه,الوان,الدولار,اليورو,البات,الليرة,الفرنك ,
الفترة ,,الاسترالي,البرازيلي,الصيني,الياباني ,الهندية,الإسترليني ,الكوري الجنوبي,الأمريكي ,,التايلاندي,التركية,السويسري ,
Period,,Australian,Brazilian,Chinese,Japanese,Indian,Pound,Korean,U.S.,EURO,Thai,Turkish,Swiss,
Average,,Dollar,Real,Yuan,Yen,Rupee,Sterling,Won,Dollar,,Baht,Lira,Franc,
Q1,2009,2.49006697536323,1.62127466324471,0.548586838196799,0.0400644909161283,0.0754029557388868,5.3767402152169,0.00266194469132103,3.75,4.88572572905857,0.106143385639596,-,3.26102798703146,
Q2,2009,2.8510685227214,1.82178670850152,0.549043821856297,0.0385614855706346,0.0770565222686478,5.82323839919778,0.00291304265753167,3.75,5.11195490210709,0.10819683336022,-,3.3736775318738,
Q3,2009,3.1225219090383,2.01205294242432,0.548964215865498,0.0400404173131639,0.07744265290698,6.15312991928127,0.00302321427597338,3.75,5.36364396856364,0.110400758020125,-,3.52886252312893,
Q4,2009,3.41495765423067,2.15972439236533,0.549240460404976,0.0418330908062179,0.0804103952384991,6.12725298851038,0.00321080411679624,3.75,5.54228789249978,0.112560804010678,-,3.67407481723152,
Q1,2010,3.39279656322739,2.08457445184237,0.549298188470582,0.0413690976825666,0.0816980177209958,5.84421661920863,0.00328072273563555,3.75,5.18699229697393,0.114005991776782,-,3.54680654599144,
Q2,2010,3.31071925589518,2.0973288314603,0.549577265986674,0.0407618298412913,0.0821720832503235,5.590163918664,0.00322978524611182,3.75,4.7677367909152,0.115787519670675,-,3.38732365442659,
Q3,2010,3.39223124462896,2.14335296240127,0.553755236925091,0.0437081496022904,0.0806767180605797,5.81779911037988,0.00316586733764956,3.75,4.8454976772626,0.11871133368091,-,3.63342739774289,
Q4,2010,3.70203862137302,2.21204887097212,0.563099073466623,0.0454343223156224,0.0836526870903511,5.93575212761996,0.00331237542364386,3.75,5.09947698509673,0.125087919273875,-,3.85362729537076,
Q1,2011,3.76810715277957,2.2508766249866,0.569629013552854,0.0455883565614795,0.0828610255192118,6.01183123822686,0.00334649581896234,3.75,5.13226069459675,0.122821486604091,-,3.98743752785417,
Q2,2011,3.9818669687356,2.34774151396556,0.576877514087369,0.0459265857284178,0.0838012452903757,6.10819434929761,0.00345979613993693,3.75,5.39719660319313,0.123771614746651,-,4.30659646162022,
Q3,2011,3.93260783280991,2.30392578257362,0.584417707634918,0.0482275615237018,0.0820196931395127,6.03666084440418,0.0034638412812946,3.75,5.29545678465852,0.124483124702397,-,4.55137211903146,
Q4,2011,3.8010629190584,2.09304421348812,0.591498847849551,0.048457727352638,0.0736744012345655,5.90069411267374,0.00327931733791284,3.75,5.05711575678854,0.12093318296197,-,4.11470673293428,
Q1,2012,3.95836857885196,2.12258495901632,0.594553382835834,0.0472790106702011,0.0746818265308859,5.89345383651927,0.00331514935264119,3.75,4.91833823033252,0.121024703435083,2.09333161457827,4.07322792495677,
Q2,2012,3.7875046284349,1.91908134523854,0.594574531319321,0.0467891235941671,0.0692686709911788,5.93886871968468,0.00325658012994151,3.75,4.8068524852715,0.119742872461883,2.08148855431722,4.00317497051225,
Q3,2012,3.89663645361006,1.84829970613287,0.592001299450091,0.0476990541041321,0.0678953677972201,5.92281980564035,0.00330852586044978,3.75,4.68768416397042,0.119534137855354,2.08371366926404,3.89645745357961,
Q4,2012,3.89681662658447,1.82311342375839,0.595327474566372,0.046324714697189,0.0693274846847066,6.02298339637114,0.00343542177152082,3.75,4.86086386303798,0.122221813097964,2.0944859282293,4.02442911338064,
Q1,2013,3.89495410455077,1.8784147393426,0.5972727553771,0.0406030326265915,0.0692525110752615,5.82102418932991,0.00345829736796322,3.75,4.95177934218542,0.125813849718479,2.10365590085006,4.03010382329023,
Q2,2013,3.7222238087344,1.81952392867685,0.604295950403625,0.0380103634939853,0.0671326515577415,5.76024507395345,0.00334273375116545,3.75,4.89911639426786,0.125564468486706,2.04096070398622,3.98189018667191,
Q3,2013,3.43836162839161,1.64054505241927,0.608026626491844,0.0379254978418199,0.0603528368830967,5.81714925242737,0.00337549785594092,3.75,4.96954380038418,0.119114222586162,1.90390900445188,4.02494173784438,
Q4,2013,3.48713048911249,1.64776102122251,0.611554092833105,0.0374551773073757,0.0604364234504591,6.06550233160497,0.00352992849579206,3.75,5.10202598449551,0.118433908623313,1.85348290420285,4.15130120419044,
Q1,2014,3.3642250048231,1.58520463845766,0.6129106988617,0.0364744140482579,0.0606988003437436,6.20339402292938,0.00350691185720408,3.75,5.13514265544743,0.114770217193896,1.69178041275553,4.19892799190245,
Q2,2014,3.49932138179234,1.68111836377504,0.608953802847432,0.0367163396450353,0.0627288103330294,6.31153637519585,0.00364032753743171,3.75,5.14199039548947,0.115521320999053,1.77414509165846,4.2190749225645,
Q3,2014,3.47210631123884,1.65168772689279,0.609113184040482,0.0361275455254899,0.0618759045189235,6.26118352541781,0.00365459154547514,3.75,4.96961540711829,0.116820670833895,1.73497822028302,4.10245128030891,
Q4,2014,3.20983006913241,1.4758125539489,0.611080586852268,0.0329203596396868,0.0605051762548126,5.93800734575915,0.00345412620797893,3.75,4.68510783244997,0.114647111909973,1.6581886276158,3.88961434483521,
Q1,2015,2.94687288177914,1.31518644153985,0.610930768142774,0.0314659072707105,0.0602729264613146,5.67551182488682,0.0034073383868217,3.75,4.21397932134201,0.114837198914041,1.52726666666667,3.94021927964897,
Q2,2015,2.92069741752582,1.21957633515034,0.612757485474152,0.0308947875220736,0.0590582549516509,5.74897218466204,0.00341649729726422,3.75,4.14522848935707,0.112680750834198,1.40816666666667,3.98236108101826,
Q3,2015,2.72196511112397,1.06778492522616,0.599472756608992,0.030656105745196,0.0577959264183464,5.81453980411791,0.00321138437758321,3.75,4.16863462406805,0.106355358914685,1.3186,3.88845548211985,
Q4,2015,2.70048139232403,0.974456443566153,0.586519328389376,0.0308861822434589,0.0568901252709461,5.69181667745457,0.0032389444379827,3.75,4.10903831177075,0.104652534867236,1.2902,3.78829369166012,
Q1,2016,2.70793930618371,0.96312015480847,0.573518766108467,0.0325373099468553,0.0555496112198627,5.36455386669577,0.00312298821342714,3.75,4.13228799437519,0.105245885273723,1.2744,3.77358049512012,
Q2,2016,2.79738008018242,1.06824816438117,0.573933579972915,0.0347166575130503,0.0560358886982172,5.37970878788677,0.00322507971113847,3.75,4.23562571194803,0.106299463464276,1.29483333333333,3.86462216543113,
Q3,2016,2.84448204282712,1.15579433069721,0.562564375517822,0.0366539166941063,0.0560079607130867,4.92555759289643,0.00334615187612284,3.75,4.18758131836926,0.107682248531054,1.26833333333333,3.84546694021752,
Q4,2016,2.81525206810406,1.13950950084034,0.547989855426074,0.03443939428387,0.0556290458546351,4.6596193097201,0.00324404101499207,3.75,4.04646635950782,0.106006605136271,1.14643333333333,3.7492256356017,
