,,,,,,
القائمة الرئيسية   Main List,,,,,,قائمة شركات التمويل       Finance Companies 
,,,,,,
Table 7: Residential New Mortgages Finance For Individuals Provided by Finance Companies,,,,,,جدول 7:التمويل العقاري السكني الجديد للأفراد المقدم من شركات التمويل
,,,,,,
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل
,,,,,,
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total
,,, (Million SAR مليون ريال ),,,
2023-04-30T00:00:00,,179,61.89887567,72.4840821,32.33603645,166.71899422
2023-05-31T00:00:00,,249,96.0347155,103.89563108,34.592932,234.52327858
2023-06-30T00:00:00,,210,72.56363499,92.6350669,33.172053,198.37075489
2023-07-31T00:00:00,,229,97.02013104,82.24920441,13.782882,193.05221745
2023-08-31T00:00:00,,374,106.27672809,176.52873862,23.780924,306.58639071000005
2023-09-30T00:00:00,,280,101.107147,106.55985182,57.29607063,264.96306945000003
2023-10-31T00:00:00,,362,105.311137,157.60093144,25.9335,288.84556844
2023-11-30T00:00:00,,319,93.04018114,129.66399695,86.858167,309.56234509
2023-12-31T00:00:00,,346,102.34224272,140.10027886,29.363136,271.80565758
2024-01-31T00:00:00,,335,127.50538231,139.2616421,6.254683,273.02170741
2024-02-29T00:00:00,,302,83.1005854,115.321411,69.738876,268.1608724
2024-03-31T00:00:00,,272,94.15696094,96.0181797,35.264928,225.44006864
2024-04-30T00:00:00,,175,71.762255,58.3650834,13.145082,143.2724204
2024-05-31T00:00:00,,292,113.153194,120.44062345,18.6197209,252.21353835
2024-06-30T00:00:00,,187,70.625922,71.582316,18.278,160.48623800000001
2024-07-31T00:00:00,,227,87.58790711,85.96349215,19.6437,193.19509926
2024-08-31T00:00:00,,203,73.91279245,78.39214835,8.391265,160.6962058
2024-09-30T00:00:00,,239,49.395385,107.32053625,45.079476,201.79539725
2024-10-31T00:00:00,,298,94.26124884,116.42959775,43.730766,254.42161259
2024-11-30T00:00:00,,232,69.2269544,99.2521298,32.3101848,200.789269
2024-12-31T00:00:00,,262,110,112,13,235
2025-01-31T00:00:00,,280,38.124238,157.37483089,28.732981,224.23204988999998
2025-02-28T00:00:00,,194,67.73345247,89.57535705,40.308503,197.61731251999998
2025-03-31T00:00:00,,233,68.83473,100.04320656,27.833776,196.71171256
2025-04-30T00:00:00,,224,72.68191555,109.89889176,31.218454,213.79926131
2025-05-31T00:00:00,,203,69.58381056,98.19080475,23.0950934,190.86970871
2025-06-30T00:00:00,,173,54.57085585,73.66715426,40.581324,168.81933411
2025-07-31T00:00:00,,215,63.79705864,102.27169476,19.154,185.2227534
2025-08-31T00:00:00,,223,67.73950412,92.90044737,6.748265,167.38821649
2025-09-30T00:00:00,,228,79.56031674,99.76639028,26.62169704,205.94840406
2025-10-31T00:00:00,,275,64,114,39,217
2025-11-30T00:00:00,,285,145.85106678,124.47987025,30.346095,300.67703202999996
2025-12-31T00:00:00,,260,74.09878199,114.2479056,30.6045,218.95118759000002
2026-01-31T00:00:00,,222,75.83396275,92.41901405,7.938,176.1909768
2026-02-28T00:00:00,,267,103.37655555,111.22698253,26.256367,240.85990508000003
,,,,,,
,,,,,,
Note:  - The data do not include the amount of interest on financing.,,,,,,ملاحظة: - البيانات لا تشمل مبلغ الفائدة على التمويل.
