,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,,,,,,
"Table 14: Credit Facilities Provided To Micro, Small And Medium Enterprises",,,,,,,,,,,,,,,,جدول 14: حجم التسهيلات المقدمة للمنشــآت الصغــيرة والمتـوسطـة ومتناهية الصغر,
(Million ﷼),,,,,,,,,,,,,,,,(مليون ﷼),
,,حجم التسهيلات المقدم من القطاع المصرفي,,,,,حجم التسهيلات المقدم من قطاع شركات التمويل,,,,,إجمالي حجم التسهيلات,,,,,
نهاية,, Credit Facilities Provided by Banks ,,,,, Credit Facilities Provided by Finance Companies ,,,,,Total Credit Facilities ,,,,,
الفترة,,متناهية,صغيرة,متوسطة,الإجمالي,نسبة من إجمالي,متناهية,صغيرة,متوسطة,الإجمالي,نسبة من إجمالي,متناهية,صغيرة,متوسطة,الإجمالي,نسبة من إجمالي,
End of,,الصغر,,,,تسهيلات المصارف,الصغر,,,,تسهيلات شركات التمويل,الصغر,,,,التسهيلات,
Period,,Micro,Small,Medium,Total,Percentage of Total,Micro,Small,Medium,Total,Percentage of Total Finance,Micro,Small,Medium,Total,Percentage of Total,
,,,,,,Banks' Credit Facilities,,,,,Companies' Credit Facilities,,,,,Credit Facilities,
Q4,2019,3526,23008,81437,107971,0.05702504917090773,1687.68227444181,3810.18642368109,3882.5414648117,9380.4101629346,0.1902083678422101,5213.68227444181,26818.18642368109,85319.5414648117,117351.41016293461,0.060405958380406306,
Q1,2020,3776,27468,93918,125162,0.06379888888945526,1740.73685460228,4230.13139507294,3705.23828244137,9676.10653211659,0.19801883061721604,5516.73685460228,31698.131395072938,97623.23828244137,134838.1065321166,0.0670607617762151,
Q2,2020,5325,31276,110797,147398,0.07426538495838512,2026.7470493492,4761.60609918395,3848.31865927324,10636.67180780639,0.21315783509245523,7351.7470493492,36037.60609918395,114645.31865927324,158034.6718078064,0.07767177150937679,
Q3,2020,6196,37257,121536,164989,0.08006201580481034,1857.560273344,5165.3923969627,3728.78819550232,10751.74086580902,0.21075878315788135,8053.560273344,42422.3923969627,125264.78819550232,175740.74086580903,0.08321926888179901,
Q4,2020,7182,39915,123257,170354,0.0804882001446722,2514.33162163558,5180.69679129725,4191.95128877126,11886.979701704091,0.21962023365183872,9696.33162163558,45095.69679129725,127448.95128877126,182240.9797017041,0.08395748269479697,
Q1,2021,8342,39666,127452,175460,0.07927160124026217,2789.66609687696,5630.80224746071,4545.74408459707,12966.212428934741,0.2202955347164184,11131.666096876961,45296.80224746071,131997.74408459707,188426.21242893473,0.08292453668574387,
Q2,2021,8470,44180,132109,184759,0.080596318269063,2702.83129170003,6099.61949690156,4658.2938831906,13460.744671792188,0.21861927465351022,11172.83129170003,50279.61949690156,136767.2938831906,198219.7446717922,0.08420651392167001,
Q3,2021,11143,45081,129993,186217,0.07916807139610904,2768.23598618025,6611.33622542279,4776.33103358665,14155.903245189691,0.21541023383707647,13911.23598618025,51692.33622542279,134769.33103358664,200372.9032451897,0.08287012708418823,
Q4,2021,9368,50587,128637,188592,0.07823050521793885,2938.27297551679,6769.33710693391,4934.20632538466,14641.816407835362,0.21508972275165594,12306.27297551679,57356.33710693391,133571.20632538467,203233.81640783537,0.08198757850822083,
Q1,2022,13825,54040,135541,203406,0.0805120637871061,3149.4485352802,7221.2708986814,4897.8250219109,15268.5444558725,0.2150096537727589,16974.4485352802,61261.270898681396,140438.8250219109,218674.54445587247,0.08418635769107359,
Q2,2022,14943.34451,55781.34393553,134884.442149385,205609.13059491498,0.07853625123427213,3164.95978499589,7259.47251602697,4969.98767413715,15394.41997516001,0.21218199106965155,18108.30429499589,63040.816451556966,139854.42982352214,221003.55057007496,0.08213490592704954,
Q3,2022,14371.4145,61550.56868697,136643.96105359,212565.94424056,0.07880968485716072,3420.4383374561,7173.96565827596,4870.36874269788,15464.77273842994,0.20936483624665478,17791.8528374561,68724.53434524596,141514.32979628787,228030.71697898992,0.08228914007532247,
Q4,2022,15176.2505,65074.855038480004,132974.334514907,213225.44005338702,0.07741566590437893,3137.06843358759,7397.49936004495,5272.23445934151,15806.802252974048,0.209502806771358,18313.31893358759,72472.35439852496,138246.5689742485,229032.24230636106,0.08093749136260622,
Q1,2023,19617.916844,70245.9043119,145086.753769598,234950.574925498,0.08310564219242464,2923.70210088613,8296.83094168651,6058.12422485477,17278.65726742741,0.2190147498502517,22541.61894488613,78542.7352535865,151144.87799445278,252229.2321929254,0.08679529900654676,
Q2,2023,20209,75700,149433,245342,0.08395315032193071,2945.02114368512,8177.80303290429,6191.15570470695,17313.97988129636,0.21451703640241648,23154.02114368512,83877.8030329043,155624.15570470694,262655.97988129634,0.08746221494771075,
Q3,2023,21352.785753,77872.75590144,152416.84206463,251642.38371907,0.08327233578722763,2681.8980531305,8044.32426241122,6205.08191099828,16931.30422654,0.20635537276149546,24034.6838061305,85917.08016385122,158621.92397562828,268573.68794561,0.0865258768247475,
Q4,2023,22315,84090,151890,258295,0.08393824780024747,2575.42545850827,8184.67969989374,6521.15872406431,17281.26388246632,0.2039227939136446,24890.42545850827,92274.67969989374,158411.1587240643,275576.2638824663,0.08714841338430493,
Q1,2024,26800,95194,153737,275731,0.08614431991954961,2586.59552086506,8258.103847525,6849.93582296278,17694.63519135284,0.19974262285972283,29386.59552086506,103452.103847525,160586.93582296278,293425.63519135286,0.08920365687938113,
Q2,2024,31125,98256,160414,289795,0.0875143303865141,2570.17698294275,8135.97111034953,6899.60957582675,17605.75766911903,0.19522135059654175,33695.17698294275,106391.97111034954,167313.60957582676,307400.757669119,0.09036988325633141,
Q3,2024,33500,104149,174123,311772,0.09066938890790599,2643.34185218182,7882.98588350178,6929.41730257391,17455.74503825751,0.1877041493404219,36143.34185218182,112031.98588350178,181052.41730257391,329227.7450382575,0.0932245949903699,
Q4,2024,39598.205383841596,113976.476318569,179926.536070125,333501.2177725356,0.09378817426642123,2587.5538104925,8274.03691595377,7355.61886133878,18217.20958778505,0.18929645165459127,42185.759194334096,122250.51323452276,187282.1549314638,351718.42736032064,0.09630488670623817,
Q1,2025,50760.700365,131148.167673048,182592.41575908998,364501.283797138,0.09820150121585852,2669.81296646255,8427.87206502537,7587.21964241034,18684.90467389826,0.19029081333758155,53430.51333146255,139576.0397380734,190179.63540150033,383186.1884710363,0.1005748515299325,
Q2,2025,57398.39358865721,145780.01422541103,198963.36756142098,402141.7753754892,0.10577768720643668,2704.73109724195,8465.51286828288,7405.69438786843,18575.93835339326,0.18693530835310085,60103.12468589916,154245.5270936939,206369.0619492894,420717.71372888243,0.10784495999016887,
Q3,2025,62992.431892902496,152870.97857769902,211813.51065684698,427676.9211274485,0.10977747284848452,2647.63919985462,8722.50262842202,7857.55016901872,19227.691997295362,0.18723249410286594,65640.07109275712,161593.48120612104,219671.0608258657,446904.61312474386,0.11176674068261623,
Q4,2025,80073.01017789639,154418.90706748198,212155.663500498,446647.58074587636,0.11285586960879512,3203.15,9095.32,8756.34,21054.809999999998,0.19623898143826252,83276.16017789638,163514.227067482,220912.003500498,467702.3907458764,0.11505669954256358,
,,,,,,,,,,,,,,,,,
Note: According to the classification of the Small & Medium Enterprises General Authority:,,,,,,,,,,,,,,,,ملاحظة: التصنيفات أعلاه بناء على التعريف الموحد الصادر عن الهيئة العامة للمنشآت الصغيرة و المتوسطة:,
Micro enterprises have 1-5 employees and generate 0-3 millions of revenues.,,,,,,,,,,,,,,,,المنشآت متناهية  الصغر يكون حجم إيراداتها  من  0-3 مليون ريال أو عدد موظفيها  من 1-5 موظف.,
Small enterprises have 6-49 employees and generate 3-40 millions of revenues.,,,,,,,,,,,,,,,,المنشآت الصغيرة يكون حجم إيراداتها من 3-40 مليون ريال أو عدد موظفيها  من 6-49  موظف .,
Medium enterprises have 50-249 employees and generate 40-200 millions of revenues.,,,,,,,,,,,,,,,,المنشآت المتوسطة يكون حجم إيراداتها من 40-200 مليون ريال أو عدد موظفيها من 50-249 موظف.,
"Enterprises are classified by revenue. In case revenue data are not available (new enterprise), ",,,,,,,,,,,,,,,,يتم اعتماد معيار الإيرادات في تصنيف نوع المنشأة، وفي حالة غياب بيانات الإيرادات (منشأة جديدة)، يكون ,
the enterprise is classified by the number of full-time employees.,,,,,,,,,,,,,,,,معيار عدد الموظفين بدوام كلي هو المعيار في تصنيف نوع المنشأة. ,
Note: The data include credit facilities from on-balance & off-balance sheet.,,,,,,,,,,,,,,,,ملاحظة: البيانات أعلاه تشمل  التسهيلات  داخل وخارج الميزانية.,
