,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,
Table 26a: Bank Clearings,,,,,,,جدول 26a:  المقاصة المصرفية
,,,,,,,
,,(شيكات أفراد وشركات ),,,(شيكات بين المصارف ),,
الفترة,, (Commercial and Personal Cheques),,, (Inter Bank Cheques),,
,,عدد الشيكات, القيمة ,متوسط قيمة الشيك,عدد الشيكات, القيمة ,متوسط قيمة الشيك
Period,,No. of Cheques,Total Value,Average Value ,No. of Cheques,Total Value,Average Value 
,,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque
1990,,1888.464,228369,120928.43707902296,---,---,---
1997-09-30T00:00:00,,544.498,25701.729,47202.614151016154,120.8,8756.3,72485.92715231788
1997-10-31T00:00:00,,523,27290,52179.73231357553,125.2,9663.2,77182.10862619808
1997-11-30T00:00:00,,563,27018.9,47990.94138543517,120.2,8925.4,74254.57570715474
1997-12-31T00:00:00,,631,31986,50690.96671949287,132,9811,74325.75757575758
1998-01-31T00:00:00,,449.1,26856.1,59799.82186595412,96.6,7923.8,82026.91511387164
1998-02-28T00:00:00,,500.7,23398.4,46731.37607349711,109.5,7286.7,66545.20547945205
1998-03-31T00:00:00,,618.4,30509.2,49335.70504527814,240.7,19991.4,83055.25550477774
1998-04-30T00:00:00,,496.76,24847.4,50018.92261856832,108.11,8006.05,74054.6665433355
1998-05-31T00:00:00,,594.01,27449.53,46210.552010908905,129.63,9408.32,72578.26120496799
1998-06-30T00:00:00,,582.37,28552.7,49028.45270189055,128.54,9773.35,76033.53041854675
1998-07-31T00:00:00,,544.19,26577.85,48839.28407357723,119.48,8265.83,69181.70405088717
1998-08-31T00:00:00,,523.92,25038.61,47790.90319132693,119.16,7176.96,60229.60725075529
1998-09-30T00:00:00,,542.82,23966.28,44151.43141372831,117.67,7506.73,63794.76502082093
1998-10-31T00:00:00,,572,24630,43059.44055944056,119.88,7825.34,65276.443109776454
1998-11-30T00:00:00,,575.7,24713.22,42927.25377800938,121.49,8649.79,71197.54712322004
1998-12-31T00:00:00,,631.15,30819.96,48831.43468272202,127.36,9140.86,71771.82788944723
1999-01-31T00:00:00,,459.77,23085.15,50210.21380255345,94.73,6249.73,65974.13702100706
1999-02-28T00:00:00,,582.49,26310.43,45168.895603357996,114.99,7707.48,67027.39368640751
1999-03-31T00:00:00,,540.17,24853.48,46010.47818279431,118.68,9084.75,76548.28109201213
1999-04-30T00:00:00,,592,28107,47478.04054054054,124.48,8724.9,70090.77763496144
1999-05-31T00:00:00,,636.9,30288.58,47556.25686921024,128.47,9087.59,70737.0592356192
