,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 3: Money Supply,,,,,,,,جدول 3: عــــــرض الـنـقـــــــود 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,النقد المتداول,الودائع,عرض النقود,الودائع الزمنية,عرض النقود,الودائع الأخرى,عرض النقود
,,خارج المصارف, تحت الطلب,  ن 1     ,والإدخارية,  ن 2     ,*شبه النقدية,  ن 3     
,,Currency,Demand ,Money Supply,Time & Savings,Money Supply,Other Quasi-,Money Supply
End of Period,,Outside Banks,Deposits,M1,Deposits,M2,Money Deposits*,M3
,,1,2, 3=1+2,4,5 = 3 + 4,6,7 = 5 + 6
2019-12-31T00:00:00,,189160.26772414,1099151.08319698,1288311.35092112,501666.91848965,1789978.26941077,195161.18214797,1985139.4515587399
2020-12-31T00:00:00,,206283.560385,1282591.31982632,1488874.88021132,473966.98055585,1962841.86076717,186425.206063303,2149267.066830473
2021-12-31T00:00:00,,204366.04192211002,1360108.1662613498,1564474.20818346,495334.36669822,2059808.5748816798,249011.38056003003,2308819.95544171
2022-12-31T00:00:00,,199965.70505283002,1328160.3574,1528126.0624528301,654764.2713499999,2182890.33380283,312481.6821240001,2495372.01592683
2023-12-31T00:00:00,,211884.8803785,1312330.2918346801,1524215.1722131802,864069.4239041801,2388284.5961173605,297058.62959233,2685343.2257096907
2024-12-31T00:00:00,,229088.19631035,1440640.6123717302,1669728.8086820801,949707.90734594,2619436.7160280203,302035.60330071003,2921472.3193287305
2025-12-31T00:00:00,,241965.75771247002,1432320.08099126,1674285.8387037301,1173836.6563675266,2848122.4950712565,319655.4768074151,3167777.9718786716
,,,,,,,,
Q1,1993,46572.6255,85427.936,132000.5615,45748.717,177749.27850000001,55651.947,233401.2255
Q2,1993,47880.194353,89345.831,137226.025353,46155.635,183381.660353,57828.003,241209.663353
Q3,1993,43311.305902,88202.388,131513.693902,45713.529,177227.222902,60344.594,237571.816902
Q4,1993,42622.797617,78879.959,121502.756617,47892.339,169395.095617,59027.66,228422.75561700002
Q1,1994,44789.630069,80386.286,125175.916069,48772.722,173948.638069,57715.399,231664.037069
Q2,1994,44923.696395,82602.919,127526.615395,48248.855,175775.470395,57765.033,233540.503395
Q3,1994,42144.679086000004,83187.147,125331.826086,48357.727,173689.553086,58549.218,232238.771086
Q4,1994,44965.078410999995,80679.357,125644.435411,51417.12,177061.555411,59169.37,236230.925411
Q1,1995,46446.280507,82448.977,128895.257507,54625.362,183520.619507,58428.146,241948.765507
Q2,1995,46875.73062,84180.731,131056.46162,56152.393,187208.85462,58201.335,245410.18962
Q3,1995,42715.833,81546.418,124262.251,58436.185,182698.436,57466.812,240165.248
Q4,1995,43087.202999999994,81383.933,124471.136,61222.523,185693.65899999999,56075.251,241768.90999999997
