,,,,,,,
القائمة الرئيسية   Main List,,,,,,, الأرقام القياسية للأسعار       Price Indices
,,,,,,,
Table 2: Wholesale Price Indices by Principal Groups,,,,,,,جدول 2: الأرقام القياسية لأسعار الجملة حسب الأبواب الرئيسة
 ( 2014=100 ),,,,,,, ( 2014=100 )
متوسط,,الرقم القياسي,منتجات الزراعة,الخامات والمعـــــادن,المنتجات الغذائية والمشروبات ,سلع أخرى قابلة للنقل فيما عدا,المنتجات المعدنية
 الفترة ,,العــام,وصيد الأسماك ,,والتبغ والمنسوجات,المنتجات المعدنية والآلات والمعدات ,والآلات والمعدات
Period,,General ,Agriculture and fishery products,Ores and Minerals ,"Food products,beverages and tobacco and textiles","Other transportable goods,except metal products,machinery and equipment","Metal products, machinery and equipment"
Average,,Index,,,,,
2021-02-28T00:00:00,,130.565,117.407,107.823,120.382,145.508,125.521
2021-03-31T00:00:00,,131.616,117.049,108.509,120.656,148.641,125.456
2021-04-30T00:00:00,,134.571,119.056,108.419,120.755,154.301,127.613
2021-05-31T00:00:00,,137.055,120.49,107.884,120.677,159.561,129.13
2021-06-30T00:00:00,,139.828,121.81,108.991,120.968,164.559,131.436
2021-07-31T00:00:00,,140.921,123.777,109.297,121.394,166.171,132.199
2021-08-31T00:00:00,,141.87,123.57,110.454,121.854,167.49,133.297
2021-09-30T00:00:00,,142.529,125.192,110.922,122.046,168.463,133.686
2021-10-31T00:00:00,,142.611,126.121,111.598,122.445,168,133.898
2021-11-30T00:00:00,,143.222,127.933,112.711,122.886,168.964,134.013
2021-12-31T00:00:00,,144.358,129.433,112.715,123.163,171.522,134.255
2022-01-31T00:00:00,,144.506,131.012,113.808,124.635,170.29,134.672
2022-02-28T00:00:00,,145.631,132.431,113.867,126.136,170.823,136.086
2022-03-31T00:00:00,,147.532,135.554,114.404,127.16,172.534,138.283
2022-04-30T00:00:00,,149.015,141.345,115.005,129.342,173.662,138.837
2022-05-31T00:00:00,,151.04,141.083,117.162,130.688,178.728,139.071
2022-06-30T00:00:00,,151.117401479,141.614248099,117.564821524,132.141096982,178.064785489,139.075395205
2022-07-31T00:00:00,,150.54426196,145.062368467,117.432475746,132.382434059,175.666951163,138.81245109
2022-08-31T00:00:00,,149.757380584,142.101252835,117.078033663,132.529951474,175.558907379,137.510083224
2022-09-30T00:00:00,,149.092820139,140.802906298,116.703577349,132.570180669,175.497029415,136.160572868
2022-10-31T00:00:00,,149.138931511,140.616400706,117.3471039,132.765527586,175.560083974,136.169161762
2022-11-30T00:00:00,,148.924360748,138.906584502,116.341497219,132.219515819,176.021965222,135.862757875
2022-12-31T00:00:00,,148.625859378,138.044949667,116.055618204,132.362642588,175.811469469,135.419803077
2023-01-31T00:00:00,,149.69532914,138.471360062,116.533451074,134.07914175,177.43560471,135.885406239
2023-02-28T00:00:00,,149.610651382,138.520350792,115.737494454,134.038408735,176.418189621,136.555119959
2023-03-31T00:00:00,,149.183285478,139.633978601,115.86027306,133.652726071,174.75032855,136.818494368
2023-04-30T00:00:00,,149.248866907,139.432619315,115.844481597,133.769179003,174.982666652,136.779771989
2023-05-31T00:00:00,,149.434889936,141.247947061,116.390398038,134.23790468,174.948396655,136.668601523
2023-06-30T00:00:00,,149.173211587,138.716323181,116.627309036,134.728119522,174.671286709,136.580520282
2023-07-31T00:00:00,,149.180928907,139.802068177,117.518989882,135.196826048,174.149927981,136.588156532
2023-08-31T00:00:00,,149.264295185,138.816939134,116.392092479,136.125710885,174.875855924,136.008580884
2023-09-30T00:00:00,,149.832238315,139.783092918,116.022841514,136.482723104,176.648475311,135.572333243
2023-10-31T00:00:00,,150.597908857,138.673829976,115.009397056,136.2895718,179.871732724,135.104499326
2023-11-30T00:00:00,,152.456721715,137.762094198,115.347455962,136.893470515,185.111223085,135.266588922
2023-12-31T00:00:00,,153.030286816,138.109923228,115.161802592,136.836532146,186.585426963,135.410618081
2024-01-31T00:00:00,,156.108965576,136.226373725,114.614410907,137.25677501,195.910277736,135.480456413
2024-02-29T00:00:00,,154.267719302,139.309646374,113.37827233,136.716985055,189.666048989,135.727206366
2024-03-31T00:00:00,,154.837985114,139.898928562,113.362411111,136.893966826,190.876039011,135.93013006
2024-04-30T00:00:00,,154.28033975,139.756369657,113.238589181,137.010643231,189.092187224,136.022917312
2024-05-31T00:00:00,,154.179316276,139.415653869,113.084853233,136.63837212,188.982877215,136.100263728
2024-06-30T00:00:00,,153.964442659,139.968858364,112.699610671,136.498060679,188.597085853,135.83288896
2024-07-31T00:00:00,,153.749299445,139.516350739,112.454352255,136.391545659,188.543037396,135.485859378
2024-08-31T00:00:00,,153.98617815,139.367685431,112.091911688,136.158994457,188.999646515,135.833798625
2024-09-30T00:00:00,,154.484806399,139.184020716,111.827771572,136.016484732,190.722330968,135.732586282
2024-10-31T00:00:00,,154.1841216,139.773429033,111.884319368,136.088618691,189.57048897,135.792645243
2024-11-30T00:00:00,,154.516688086,142.348373959,111.894806718,136.306934881,190.053077685,135.562803087
2024-12-31T00:00:00,,154.872136675,142.561747487,112.170476221,136.65045416,190.983744275,135.46713421
2025-01-31T00:00:00,,157.455700241,142.532759923,112.095222257,136.894567355,198.895657046,135.154943449
2025-02-28T00:00:00,,156.649380508,144.755710619,111.207135766,136.81919661,196.099663108,135.059684143
2025-03-31T00:00:00,,157.212622123,144.913939375,111.162771981,137.068994697,196.958836754,135.605660555
2025-04-30T00:00:00,,157.394364791,145.991769983,111.302738575,137.004099773,196.905595395,135.899440004
2025-05-31T00:00:00,,157.328007291,145.483175434,111.434265987,136.997579776,197.121076002,135.661256434
