السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,مدائن الفهد,شقة,30,11097906.03,3782.097,3009.01774974914,3800.57,2476.25
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,البحيرات,شقة,27,15555621,4869.78,3215.50677431956,3572,2729.15
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,المسفلة,شقة,22,11161000,3560.23,3006.85478783801,3266.51,2663.35
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,النوارية,شقة,3,2009000,545.23,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الوفاء,شقة,15,8887950,2870.28,2874.36806610848,3212.24,2451.55
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الشرائع,شقة,40,23829368,7484.45,3224.74725456273,3699.68,2620.27
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,السليمانية,شقة,4,2989000,707.09,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,النهضة,شقة,29,28744433.69,5174.29,5050.36275269423,6343.97,4456.82
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الهدا,شقة,1,550000,234.69,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,طيبة,شقة,3,1820140.08,509.95,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,النعيم,شقة,34,27423546.15,5613.73,4853.46259973529,5582.18,4332.85
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,بني مالك,شقة,21,11565864.5,3599.02,3431.77032197033,4266.08,2692.64
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,المنار,شقة,423,232158666.88,61449.0199999999,3862.07394203473,4312.08,3345.09
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الجامعه,شقة,1,500000,113.02,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,أبحر الجنوبية,عمارة,3,13344389,667.22,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الواحة,عمارة,3,2145000,88.59,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,العزيزية,شقة,94,62867795.88,17068.557,3794.38019330795,3986.58,3436.27
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,القرينية,شقة,2,814310,324.72,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,العسيلة,شقة,1,570600,168.52,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,العمرة,شقة,18,11523005,3852.93,3000.41492760614,3459.1,2475.79
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,مريخ,شقة,453,242815348.14,72872.132,3432.38068683643,4039.58,2757.4
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,مشرفة,شقة,74,45953385.29,14045.86,3273.18695086005,3972.98,2835.58
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,التنعيم,شقة,20,11596850,3832.14,2991.48823501326,3482.1,2632.83
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الحمراء,شقة,48,13022759,5160.68,2222.09169494696,2426.01,2066.97
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الخالدية,شقة,5,2266000,980,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,السلامة,شقة,13,5965108,2089.84,2971.70643218866,3150.79,2669.95
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,النسيم,شقة,13,15613187.01,2421.92,6757.17539654111,7066.54,6510.92
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,النزلة اليمانية,شقة,1,450000,114.75,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,النزهة,شقة,165,109165720.35,27009.83,4068.44174907352,4652.47,3420.51
