المؤشر العقاري لمدينة الرياض  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
المدينة,الرياض,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
الشهر,تصنيف العقار,نوع العقار,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات
مارس,تجاري,معرض/محل,600000,96,1,4200000,83.16,2,500000,28.31,1,,,
مارس,تجاري,مركز تجاري,,,,73808973,38233.67,2,22857142,4650,1,,,
مارس,تجاري,قصر,,,,56000000,18793,2,,,,,,
مارس,تجاري,بيت,,,,900000,408,1,,,,,,
مارس,زراعي,,4050000,51515.43,2,3590150,1873,4,2083000,590.3,4,1416190563,394849.14,306
مارس,زراعي,قطعة أرض,3600000,10000,1,,,,2083000,590.3,4,187261774,42118.05000000002,301
مارس,زراعي,فيلا,,,,1343750,625,1,,,,,,
مارس,زراعي,مركز تجاري,,,,2246400,1248,3,,,,,,
مارس,زراعي,أرض زراعية,450000,41515.43,1,,,,,,,1228928789,352731.08999999997,5
مارس,صناعي,,,,,,,,,,,150000,750,1
مارس,صناعي,معرض/محل,,,,,,,,,,150000,750,1
ابريل,,,4281092591,3853958.2384999976,4330,5196363863,4181038.601499995,5618,991404636,443294.4229999997,969,4843022940,4866628.082100005,3457
ابريل,سكني,,3274134938,2485630.882400001,4072,4117939813,3331803.9214000013,5244,889316139,404202.1729999998,913,2880862889,2154084.696399999,2885
ابريل,سكني,قطعة أرض,3024744206,2402411.9537000027,3767,3257144462,3016860.2335000024,4533,826387060,384397.7349999998,822,2751970427,2106738.727699999,2714
ابريل,سكني,عمارة,1750106,719.23,1,3045000,2289.49,4,,,,488000,372.34000000000003,2
ابريل,سكني,فيلا,29836659,12251.528699999999,26,481810505,166472.76,96,4445000,1700,4,14415159,6929.7,16
ابريل,سكني,شقة,104712848,28317.45000000002,161,243828096,73592.1413,476,39848459,11658.188,69,33588489,13004.2837,83
ابريل,سكني,معرض/محل,106702375,37322.56,88,96349068,35972.3116,93,17600620,5957.1,16,71193260,23729.525,58
ابريل,سكني,مركز تجاري,,,,1052000,5355,3,,,,5475000,1500,1
ابريل,سكني,بيت,6388744,4608.159999999999,29,22510682,15988.984999999997,32,1035000,489.15,2,3732554,1810.12,11
ابريل,سكني,مرفق,,,,10200000,12000,1,,,,,,
ابريل,سكني,إستراحة,,,,1650000,2873,5,,,,,,
ابريل,سكني,أرض زراعية,,,,350000,400,1,,,,,,
ابريل,تجاري,,1006957653,1368327.3560999997,258,1076167050,797537.1801000003,370,95635708,37064.85,47,1860549180,2690181.935699999,410
ابريل,تجاري,قطعة أرض,979689507,1356500.9561,206,1047750957,782318.8011000005,321,92697504,35933.84,39,1665750263,2553707.9156999993,365
ابريل,تجاري,عمارة,4300000,928,1,,,,,,,400000,122.58,1
ابريل,تجاري,فيلا,3661000,4108,8,1050000,1452,3,,,,,,
ابريل,تجاري,شقة,18417146,6375.879999999998,40,21991945,9921.819000000001,43,2938204,1131.01,8,15527962,6111.09,39
ابريل,تجاري,معرض/محل,,,,2874148,2177.22,1,,,,,,
ابريل,تجاري,مركز تجاري,,,,2300000,1599.62,1,,,,178790955,130144.54,4
ابريل,تجاري,بيت,890000,414.52,3,200000,67.72,1,,,,80000,95.81,1
ابريل,زراعي,,,,,2107000,50787.5,3,6452789,2027.4,9,101610871,22361.45,162
ابريل,زراعي,قطعة أرض,,,,500000,3750,1,5552789,1652.4,8,101610871,22361.45,162
ابريل,زراعي,شقة,,,,607000,437.5,1,,,,,,
ابريل,زراعي,بيت,,,,,,,900000,375,1,,,
ابريل,زراعي,أرض زراعية,,,,1000000,46600,1,,,,,,
ابريل,صناعي,,,,,150000,910,1,,,,,,
ابريل,صناعي,مركز تجاري,,,,150000,910,1,,,,,,
مايو,,,4196616505,4662524.099299998,4003,4465907056,3969108.7470999993,3953,1748886549,2361039.0995999994,1161,,,
مايو,سكني,,2939623001,2624061.2496999977,3734,3039817814,2475688.343699998,3668,1361754866,1547579.2465999997,1086,,,
مايو,سكني,قطعة أرض,2697244612,2518842.5563999983,3409,2644476144,2333330.707999999,3299,1266244127,1513643.2770000002,952,,,
مايو,سكني,عمارة,990000,169,1,1225000,508.73,3,,,,,,
مايو,سكني,فيلا,21690054,14170.130000000001,31,122396531,41888.17,52,18450000,7065.629999999999,13,,,
مايو,سكني,شقة,91511858,29818.255999999994,174,122739782,40506.02199999998,234,53271192,15738.087599999999,96,,,
