المؤشر العقاري لمدينة مكة المكرمة  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,مكة المكرمة,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,,,
الشهر,تصنيف العقار,نوع العقار,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,
ابريل,تجاري,,51036883,28566.038,42,79871847,31866.75,42,3800000,1787.3600000000001,2,49287072,33985.46,47,,,
ابريل,تجاري,قطعة أرض,49986883,27755.413,39,79871847,31866.75,42,3800000,1787.3600000000001,2,47887072,33437.39,45,,,
ابريل,تجاري,فيلا,1050000,810.625,3,,,,,,,1200000,400,1,,,
ابريل,تجاري,شقة,,,,,,,,,,200000,148.07,1,,,
ابريل,زراعي,,1691300,24291.510000000002,3,500000,69888.26,1,1196590,337.58,2,56488492,217367.197,122,,,
ابريل,زراعي,قطعة أرض,751300,12537.54,1,,,,1196590,337.58,2,56488492,217367.197,122,,,
ابريل,زراعي,أرض زراعية,940000,11753.97,2,500000,69888.26,1,,,,,,,,,
مايو,,,773979077,865449.8528999999,592,399830212,364765.4896000002,528,378696315,40884.83,97,,,,,,
مايو,سكني,,594855160,376729.04999999993,541,365954428,241751.92460000017,501,367286244,36457.9,89,,,,,,
مايو,سكني,قطعة أرض,518164329,340748.5489999999,393,310701875,223690.9746000002,382,346562019,30602.660000000003,55,,,,,,
مايو,سكني,عمارة,,,,90000,500,1,,,,,,,,,
مايو,سكني,فيلا,5850000,3000,8,3250000,1600,4,,,,,,,,,
مايو,سكني,شقة,68250831,21957.171000000006,138,51632553,15838.300000000001,113,20724225,5855.240000000001,34,,,,,,
مايو,سكني,بيت,90000,983.76,1,280000,122.65,1,,,,,,,,,
مايو,سكني,أرض زراعية,2500000,10039.57,1,,,,,,,,,,,,
مايو,تجاري,,88221917,28370.068000000003,44,32875784,16047.455000000002,26,10760071,4232.35,7,,,,,,
مايو,تجاري,قطعة أرض,87871917,27970.068000000003,43,32875784,16047.455000000002,26,10760071,4232.35,7,,,,,,
مايو,تجاري,فيلا,350000,400,1,,,,,,,,,,,,
مايو,زراعي,,90902000,460350.7349,7,1000000,106966.11,1,650000,194.58,1,,,,,,
مايو,زراعي,قطعة أرض,87762000,437894.5549,2,1000000,106966.11,1,650000,194.58,1,,,,,,
مايو,زراعي,أرض زراعية,3140000,22456.18,5,,,,,,,,,,,,
يونيو,,,2352301112,98762.80499999998,234,287201266,378962.4216,434,2135290160,722856.2826999993,1509,,,,,,
يونيو,سكني,,2323059478,89532.10799999998,217,247605948,359047.9116,405,1920673487,640145.6176999994,1393,,,,,,
يونيو,سكني,قطعة أرض,2289802002,80296.08799999997,160,195414948,341604.1816,307,1792167805,602573.1246999993,1122,,,,,,
